ensembl_gene_id	external_gene_name	entrezgene_id
ENSMUSG00000097342	Gm26618	
ENSMUSG00000062393	Dgkk	331374
ENSMUSG00000004317	Clcn5	12728
ENSMUSG00000063018	2010204K13Rik	
ENSMUSG00000031144	Syp	20977
ENSMUSG00000031148	Gpkow	209416
ENSMUSG00000000134	Tfe3	209446
ENSMUSG00000031153	Gripap1	54645
ENSMUSG00000031154	Otud5	54644
ENSMUSG00000031155	Pim2	18715
ENSMUSG00000031156	Slc35a2	22232
ENSMUSG00000039278	Pcsk1n	30052
ENSMUSG00000031161	Hdac6	15185
ENSMUSG00000031166	Wdr13	73447
ENSMUSG00000031167	Rbm3	100043257
ENSMUSG00000031167	Rbm3	19652
ENSMUSG00000031169	Porcn	53627
ENSMUSG00000040653	Ppp1r14c	76142
ENSMUSG00000052364	B630019K06Rik	
ENSMUSG00000047344	Lancl3	236285
ENSMUSG00000040675	Mthfd1l	270685
ENSMUSG00000031176	Dynlt3	67117
ENSMUSG00000038587	Akap12	83397
ENSMUSG00000031174	Rpgr	19893
ENSMUSG00000019763	Rmnd1	66084
ENSMUSG00000019768	Esr1	13982
ENSMUSG00000096054	Syne1	64009
ENSMUSG00000058254	Tspan7	21912
ENSMUSG00000001376	Vps50	73288
ENSMUSG00000019774	Mtrf1l	108853
ENSMUSG00000019775	Rgs17	56533
ENSMUSG00000031007	Atp6ap2	70495
ENSMUSG00000000766	Oprm1	18390
ENSMUSG00000044148	1810030O07Rik	69155
ENSMUSG00000064127	Med14	26896
ENSMUSG00000023964	Calcr	12311
ENSMUSG00000032757	Bet1	12068
ENSMUSG00000085891	Gm14634	552913
ENSMUSG00000031010	Usp9x	22284
ENSMUSG00000000787	Ddx3x	13205
ENSMUSG00000019796	Lrp11	237253
ENSMUSG00000031012	Cask	12361
ENSMUSG00000019795	Pcmt1	18537
ENSMUSG00000040034	Nup43	69912
ENSMUSG00000040021	Lats1	16798
ENSMUSG00000019794	Katna1	23924
ENSMUSG00000040006	Ginm1	215751
ENSMUSG00000015757	Ppil4	67418
ENSMUSG00000015189	Casd1	213819
ENSMUSG00000028232	Tmem68	72098
ENSMUSG00000025037	Maoa	17161
ENSMUSG00000015755	Tab2	68652
ENSMUSG00000028233	Tgs1	116940
ENSMUSG00000004631	Sgce	20392
ENSMUSG00000042228	Lyn	17096
ENSMUSG00000015305	Sash1	70097
ENSMUSG00000060487	Samd5	320825
ENSMUSG00000019790	Stxbp5	78808
ENSMUSG00000092035	Peg10	170676
ENSMUSG00000028234	Rps20	67427
ENSMUSG00000037369	Kdm6a	22289
ENSMUSG00000003282	Plag1	56711
ENSMUSG00000032827	Ppp1r9a	243725
ENSMUSG00000042198	Chchd7	66433
ENSMUSG00000097385	Gm26814	
ENSMUSG00000101621	Gm28905	
ENSMUSG00000066324	Bpnt2	242291
ENSMUSG00000049119	Fam110b	242297
ENSMUSG00000042607	Asb4	65255
ENSMUSG00000025255	Zfhx4	80892
