ensembl_gene_id,log2FoldChange,padj,comparison,external_gene_name
ENSMUSG00000000001,0.303416889383215,0.537732175472067,ip_input_control,Gnai3
ENSMUSG00000000056,0.357444818911261,0.426109642948564,ip_input_control,Narf
ENSMUSG00000000058,-0.343231408083337,0.535066059260991,ip_input_control,Cav2
ENSMUSG00000000078,0.16719555207402,0.704332740476006,ip_input_control,Klf6
ENSMUSG00000000085,0.588516719616942,0.0224777487833472,ip_input_control,Scmh1
ENSMUSG00000000088,0.793683900682104,0.00119355011130606,ip_input_control,Cox5a
ENSMUSG00000000120,0.818407377911169,0.295634391911272,ip_input_control,Ngfr
ENSMUSG00000000125,0.17771873904068,0.896684603777637,ip_input_control,Wnt3
ENSMUSG00000000126,1.19307672095108,0.373988750304683,ip_input_control,Wnt9a
ENSMUSG00000000127,0.0909189103715256,0.837890355370804,ip_input_control,Fer
ENSMUSG00000000131,0.934214190619399,0.000142163412811541,ip_input_control,Xpo6
ENSMUSG00000000134,0.601147920286515,0.0904607094063633,ip_input_control,Tfe3
ENSMUSG00000000142,0.789804016779852,0.0354810344113748,ip_input_control,Axin2
ENSMUSG00000000148,0.847126886787909,0.347624544909167,ip_input_control,Brat1
ENSMUSG00000000149,0.953262345484302,0.010649963079754,ip_input_control,Gna12
ENSMUSG00000000167,-0.192238955225769,,ip_input_control,Pih1d2
ENSMUSG00000000168,0.713606960688341,0.117829199642434,ip_input_control,Dlat
ENSMUSG00000000171,0.992317266932053,0.00407579226354956,ip_input_control,Sdhd
ENSMUSG00000000182,-0.205747205759903,,ip_input_control,Fgf23
ENSMUSG00000000184,0.716323368716408,0.13928105167063,ip_input_control,Ccnd2
ENSMUSG00000000194,1.40991530254663,1.84218073347864e-06,ip_input_control,Gpr107
ENSMUSG00000000197,0.605719323865267,0.0143177972608543,ip_input_control,Nalcn
ENSMUSG00000000202,1.5114968681617,0.0847966375776509,ip_input_control,Btbd17
ENSMUSG00000000214,1.6067328633729,0.000130154643669189,ip_input_control,Th
ENSMUSG00000000223,0.981975879572686,0.00510470895397543,ip_input_control,Drp2
ENSMUSG00000000247,0.816074015119126,0.155111146237295,ip_input_control,Lhx2
ENSMUSG00000000253,0.877366495372737,0.0528293543348539,ip_input_control,Gmpr
ENSMUSG00000000263,0.640807682030505,0.313023505683322,ip_input_control,Glra1
ENSMUSG00000000266,0.353301416883661,0.167022023556092,ip_input_control,Mid2
ENSMUSG00000000275,1.50870020514445,0.00507220318149724,ip_input_control,Trim25
ENSMUSG00000000276,0.588515781005726,0.0555888293270729,ip_input_control,Dgke
ENSMUSG00000000278,1.3245047809287,0.000731589092652797,ip_input_control,Scpep1
ENSMUSG00000000282,1.04187027293584,0.0445102108968399,ip_input_control,Mnt
ENSMUSG00000000290,2.13761118133973,,ip_input_control,Itgb2
ENSMUSG00000000295,-0.0632867244942173,0.921910386138731,ip_input_control,Hddc2
ENSMUSG00000000296,0.611682012995588,0.152547745412159,ip_input_control,Tpd52l1
ENSMUSG00000000305,0.614679355241224,0.0160539677189867,ip_input_control,Cdh4
ENSMUSG00000000308,1.08296980791126,0.00642261652289879,ip_input_control,Ckmt1
ENSMUSG00000000317,0.0207055244267419,,ip_input_control,Bcl6b
ENSMUSG00000000318,-0.412564108804483,,ip_input_control,Clec10a
ENSMUSG00000000325,1.23244028524405,0.0234818993817048,ip_input_control,Arvcf
ENSMUSG00000000326,0.964489412539607,0.00120981951971122,ip_input_control,Comt
ENSMUSG00000000339,0.884630273092443,0.0149355791515614,ip_input_control,Rtca
ENSMUSG00000000340,0.540388891015306,0.31645161235941,ip_input_control,Dbt
ENSMUSG00000000346,0.404908611619875,0.0735716240959267,ip_input_control,Dazap2
ENSMUSG00000000355,0.928543162615689,0.130238827942704,ip_input_control,Mcts1
ENSMUSG00000000374,0.928794725327417,0.00297315794249944,ip_input_control,Trappc10
ENSMUSG00000000378,0.613311212917219,0.328156950641077,ip_input_control,Ccm2
ENSMUSG00000000384,1.49889736047503,0.00259086102272467,ip_input_control,Tbrg4
ENSMUSG00000000399,1.32662656668863,2.04626855317025e-06,ip_input_control,Ndufa9
ENSMUSG00000000402,1.21120722237721,0.250224103556446,ip_input_control,Egfl6
ENSMUSG00000000409,1.81552062594423,,ip_input_control,Lck
ENSMUSG00000000411,3.05406938765549,,ip_input_control,Tssk3
ENSMUSG00000000416,0.275603901895541,0.450804858569471,ip_input_control,Cttnbp2
ENSMUSG00000000420,0.324715351030944,0.217326273912417,ip_input_control,Galnt1
ENSMUSG00000000439,0.532334068169072,0.218978928328058,ip_input_control,Mkrn2
ENSMUSG00000000441,0.483162763865223,0.259926211742924,ip_input_control,Raf1
ENSMUSG00000000486,0.290171332495446,,ip_input_control,Septin1
ENSMUSG00000000489,1.30809427793355,,ip_input_control,Pdgfb
ENSMUSG00000000530,1.50262639779624,,ip_input_control,Acvrl1
ENSMUSG00000000531,0.960508857306279,0.386553336322614,ip_input_control,Grasp
ENSMUSG00000000532,0.785721404375306,0.00274541134192985,ip_input_control,Acvr1b
ENSMUSG00000000538,0.948909133513802,5.91284453400136e-05,ip_input_control,Tom1l2
ENSMUSG00000000552,0.817000687673012,0.0119159124589117,ip_input_control,Zfp385a
ENSMUSG00000000555,0.742322957843039,,ip_input_control,Itga5
ENSMUSG00000000560,0.455918437757497,0.160785401095607,ip_input_control,Gabra2
ENSMUSG00000000561,0.806979161434969,0.0409216032389195,ip_input_control,Wdr77
ENSMUSG00000000563,1.01866633728937,0.00213289414375976,ip_input_control,Atp5pb
ENSMUSG00000000567,0.443361157442064,0.228321355042555,ip_input_control,Sox9
ENSMUSG00000000568,0.121190019407461,0.603216951709756,ip_input_control,Hnrnpd
ENSMUSG00000000579,0.955823338564548,0.185178894681854,ip_input_control,Dynlt1c
ENSMUSG00000000581,0.294393728844858,0.524488750528322,ip_input_control,C1d
ENSMUSG00000000594,0.535209448455627,0.0543449967662189,ip_input_control,Gm2a
ENSMUSG00000000600,-0.0282068117698697,0.930435820565126,ip_input_control,Krit1
ENSMUSG00000000605,0.327571113657846,0.191946461464073,ip_input_control,Clcn4
ENSMUSG00000000627,1.14925069447406,0.00787869296080039,ip_input_control,Sema4f
ENSMUSG00000000628,0.935833412279173,0.337779584793082,ip_input_control,Hk2
ENSMUSG00000000631,1.31585106979615,6.84749105692053e-06,ip_input_control,Myo18a
ENSMUSG00000000632,0.814848895729207,0.00770086124353773,ip_input_control,Sez6
ENSMUSG00000000693,0.149202568333508,0.885911898999847,ip_input_control,Loxl3
ENSMUSG00000000708,0.235966425777656,0.46544599175695,ip_input_control,Kat2b
ENSMUSG00000000711,0.55966142156591,0.140577909476654,ip_input_control,Rab5b
ENSMUSG00000000732,1.12137400765983,0.331689849504424,ip_input_control,Icosl
ENSMUSG00000000738,0.896386371740451,0.106824485896596,ip_input_control,Spg7
ENSMUSG00000000740,0.830874819172808,0.00603638174571567,ip_input_control,Rpl13
ENSMUSG00000000743,1.24292399452889,3.09731503009228e-05,ip_input_control,Chmp1a
ENSMUSG00000000751,0.729632332390529,0.263442456374004,ip_input_control,Rpa1
ENSMUSG00000000753,0.954157002304985,0.198486071576816,ip_input_control,Serpinf1
ENSMUSG00000000759,0.874409451246205,0.0290312073978823,ip_input_control,Tubgcp3
ENSMUSG00000000766,0.626876565932481,0.1077951217753,ip_input_control,Oprm1
ENSMUSG00000000776,0.802068781419658,0.0930033964237338,ip_input_control,Polr3d
ENSMUSG00000000782,-0.562762239933285,,ip_input_control,Tcf7
ENSMUSG00000000787,0.765033618282826,0.00337375835561694,ip_input_control,Ddx3x
ENSMUSG00000000791,0.328699809191707,,ip_input_control,Il12rb1
ENSMUSG00000000792,0.629505674873338,0.200954951955486,ip_input_control,Slc5a5
ENSMUSG00000000794,0.397460968347317,0.196210263007566,ip_input_control,Kcnn3
ENSMUSG00000000804,0.348616461369226,0.119618087042813,ip_input_control,Usp32
ENSMUSG00000000805,0.870728305063398,0.168999733879829,ip_input_control,Car4
ENSMUSG00000000811,0.624585610654372,0.472806467339648,ip_input_control,Txnrd3
ENSMUSG00000000817,3.15612269625136,,ip_input_control,Fasl
ENSMUSG00000000823,0.83859801867718,0.0442207713387261,ip_input_control,Zfp512b
ENSMUSG00000000826,0.682414345809138,0.0233306238021217,ip_input_control,Dnajc5
