ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison,external_gene_name
ENSMUSG00000027301,16689.380286005,4.70070877751336,0.0745542370913004,63.0508601644839,0,0,hypoip_vs_hypoinput,Oxt
ENSMUSG00000037727,114424.405749792,5.2419349845028,0.107594299245922,48.7194490901571,0,0,hypoip_vs_hypoinput,Avp
ENSMUSG00000064345,50916.3922931209,-7.00111984907282,0.0918727679266375,-76.2045163879614,0,0,hypoip_vs_hypoinput,mt-Nd2
ENSMUSG00000064356,13371.943300934,-7.33159449940257,0.114068219795972,-64.2737697889578,0,0,hypoip_vs_hypoinput,mt-Atp8
ENSMUSG00000064357,80361.7162833282,-7.39090668619534,0.188826859217097,-39.1411831814557,0,0,hypoip_vs_hypoinput,mt-Atp6
ENSMUSG00000064368,8065.08281237132,-6.8173810715253,0.12697394889977,-53.6911794159191,0,0,hypoip_vs_hypoinput,mt-Nd6
ENSMUSG00000064370,108710.620953261,-6.980376045902,0.185111264412681,-37.7090830644438,0,0,hypoip_vs_hypoinput,mt-Cytb
ENSMUSG00000090625,4786.78007352809,5.46645433898556,0.122750897517206,44.532907290713,0,0,hypoip_vs_hypoinput,Gm20721
ENSMUSG00000090546,3771.53699211985,-4.56480271586119,0.126678528212247,-36.0345417671174,2.40855806075567e-284,3.42925144339146e-281,hypoip_vs_hypoinput,Cdr1
ENSMUSG00000064363,126649.588770111,-6.7698839227864,0.197585262936597,-34.2631015196654,2.78318413456086e-257,3.56637215002628e-254,hypoip_vs_hypoinput,mt-Nd4
ENSMUSG00000064367,84039.5124247301,-6.19115484388073,0.180808468126558,-34.2415093055664,5.83461378040211e-257,6.79679463473387e-254,hypoip_vs_hypoinput,mt-Nd5
ENSMUSG00000064341,140968.03359873,-6.27042050266297,0.184192307309206,-34.0427925262739,5.1886908074475e-254,5.54065700055269e-251,hypoip_vs_hypoinput,mt-Nd1
ENSMUSG00000027643,3930.40274624973,4.27904143116058,0.133826333429185,31.9745846838496,2.46038915818802e-224,2.42518666715548e-221,hypoip_vs_hypoinput,Ghrh
ENSMUSG00000024027,1229.11580446111,4.65549981021839,0.153495107325891,30.3299557316451,4.61850056535609e-202,4.22724758889092e-199,hypoip_vs_hypoinput,Glp1r
ENSMUSG00000024661,33781.4632123756,-1.96297706032362,0.0689224605391887,-28.4809486627003,2.01712336905167e-178,1.72316125673521e-175,hypoip_vs_hypoinput,Fth1
ENSMUSG00000073680,3621.59806545005,-2.90723163056354,0.102984444429984,-28.2298132174717,2.51882679049509e-175,2.01726540583775e-172,hypoip_vs_hypoinput,Tmem88b
ENSMUSG00000004366,6506.85112126507,2.34789813845791,0.0850038985759688,27.62106418401,6.2153732826703e-168,4.68492901436101e-165,hypoip_vs_hypoinput,Sst
ENSMUSG00000021647,3433.06313801334,2.5269641592749,0.0931117326356141,27.1390520587131,3.40959501473907e-162,2.42725280660369e-159,hypoip_vs_hypoinput,Cartpt
ENSMUSG00000026575,1507.08310869509,-3.83750390583449,0.15193148656475,-25.2581212268928,9.22256959543811e-141,6.21989509452337e-138,hypoip_vs_hypoinput,Nme7
ENSMUSG00000064354,67988.4461193962,-6.68392785758588,0.266981629534567,-25.0351601690277,2.53313761436313e-138,1.62298126952246e-135,hypoip_vs_hypoinput,mt-Co2
ENSMUSG00000028565,2318.95961354761,-2.34919396935622,0.095418694775592,-24.6198501759127,7.74388646548031e-134,4.72524576993641e-131,hypoip_vs_hypoinput,Nfia
ENSMUSG00000034647,6363.14109255055,-1.85894803608466,0.0805753667009917,-23.0709224443627,9.07093491612281e-118,5.28340727341808e-115,hypoip_vs_hypoinput,Ankrd12
ENSMUSG00000024907,2082.49222376084,2.42746428750338,0.107715175627004,22.5359544128602,1.844202610462e-112,1.02746140219392e-109,hypoip_vs_hypoinput,Gal
ENSMUSG00000068735,6058.45407687498,1.8152460352872,0.0806762312409207,22.5003821741052,4.11501383573003e-112,2.19707447046019e-109,hypoip_vs_hypoinput,Trp53i11
ENSMUSG00000044349,14729.3073835756,-3.73029204092176,0.168874412238868,-22.0891489211839,4.01895972664784e-108,2.05995799749062e-105,hypoip_vs_hypoinput,Snhg11
ENSMUSG00000039278,11142.9779320133,1.31416432535755,0.0602799841260505,21.8010064934576,2.2697101994705e-105,1.11861794215442e-102,hypoip_vs_hypoinput,Pcsk1n
ENSMUSG00000020315,12717.7572624495,-1.73580821903295,0.0810843627484429,-21.4074349257469,1.13912383231005e-101,5.40619732860037e-99,hypoip_vs_hypoinput,Sptbn1
ENSMUSG00000061601,7569.23439250163,-1.93199954005712,0.0904631343527908,-21.3567610041307,3.37411754922929e-101,1.54414079556515e-98,hypoip_vs_hypoinput,Pclo
ENSMUSG00000026421,3662.67530645836,-2.01152507297277,0.0943757767051485,-21.3139975447008,8.41910967691039e-101,3.72008522068723e-98,hypoip_vs_hypoinput,Csrp1
ENSMUSG00000035383,4829.5568696308,-2.56421120952704,0.120904037617482,-21.2086482805456,7.94638423934019e-100,3.39416558809684e-97,hypoip_vs_hypoinput,Pmch
ENSMUSG00000028649,7610.30336938243,-2.428603478139,0.115611041194618,-21.006674215923,5.6989007815459e-98,2.35566821337836e-95,hypoip_vs_hypoinput,Macf1
ENSMUSG00000034981,5945.08204281391,1.62122862430603,0.0772043219487303,20.9991951665951,6.67059989016389e-98,2.6711583435175e-95,hypoip_vs_hypoinput,Parm1
ENSMUSG00000018339,8691.23766090597,1.87163963581724,0.0901440358747307,20.7627672497177,9.39951327223948e-96,3.64985948698414e-93,hypoip_vs_hypoinput,Gpx3
ENSMUSG00000039087,641.165203309321,-3.7515101717528,0.182964576393063,-20.5040245806566,1.98203577368071e-93,7.46994305998373e-91,hypoip_vs_hypoinput,Rreb1
ENSMUSG00000027199,1685.17590843804,-2.56007464926427,0.128106114834769,-19.9840160055299,7.58682203036722e-89,2.7776439284893e-86,hypoip_vs_hypoinput,Gatm
ENSMUSG00000000948,1215.80391500187,-2.55400074665887,0.128062432917807,-19.9434032953136,1.71023759515315e-88,6.08749570674792e-86,hypoip_vs_hypoinput,Gm38393
ENSMUSG00000026385,4502.53004779593,-1.74236713302526,0.0887567564316841,-19.6308112539732,8.43570059624337e-86,2.92148830919628e-83,hypoip_vs_hypoinput,Dbi
ENSMUSG00000026204,13950.1762512185,1.43302833139723,0.0730544755243707,19.6158869269984,1.13146086140858e-85,3.81540512581305e-83,hypoip_vs_hypoinput,Ptprn
ENSMUSG00000004558,40634.8567787938,-2.07987513795454,0.106355998277411,-19.5557859607461,3.68286172316271e-85,1.21005615693864e-82,hypoip_vs_hypoinput,Ndrg2
ENSMUSG00000026247,2028.56859944903,1.690262702265,0.0871280659398784,19.399750057936,7.75474912246912e-84,2.48423388138298e-81,hypoip_vs_hypoinput,Ecel1
ENSMUSG00000096054,3013.09966900574,-2.1076105428002,0.109025513412789,-19.3313516884844,2.92649608173735e-83,9.1463709247274e-81,hypoip_vs_hypoinput,Syne1
ENSMUSG00000035640,14909.5584724613,1.22433975565745,0.0637798251980319,19.1963485609432,3.97041894732166e-82,1.21135591407095e-79,hypoip_vs_hypoinput,Cbarp
ENSMUSG00000019874,731.826477821808,-2.7886949263219,0.146989548857128,-18.9720626262515,2.90289704876209e-80,8.65063320531102e-78,hypoip_vs_hypoinput,Fabp7
ENSMUSG00000033061,5125.76981230343,1.53061464378879,0.080813473578966,18.9400922396087,5.33036458059343e-80,1.55234753944828e-77,hypoip_vs_hypoinput,Resp18
ENSMUSG00000057522,12264.9443513169,-1.77370070344619,0.0940646635365921,-18.8561850620579,2.61415124767641e-79,7.44394090838346e-77,hypoip_vs_hypoinput,Spop
ENSMUSG00000033577,954.87698732504,-2.5699245814952,0.136900131143255,-18.7722579959108,1.27355573388569e-78,3.54768329869809e-76,hypoip_vs_hypoinput,Myo6
ENSMUSG00000064351,335550.479324046,-5.47159475294604,0.292019584969477,-18.7370814649913,2.46798517016603e-78,6.72867275968244e-76,hypoip_vs_hypoinput,mt-Co1
ENSMUSG00000022587,5664.7635191672,1.27145216706524,0.0679716959517217,18.7056119354196,4.45588438726749e-78,1.18953546955095e-75,hypoip_vs_hypoinput,Ly6e
ENSMUSG00000004151,1097.34787287864,-2.16000492743576,0.116686351196399,-18.5112046549487,1.67707852542858e-76,4.38573147445751e-74,hypoip_vs_hypoinput,Etv1
ENSMUSG00000048154,4613.50487261143,-1.42658473893327,0.0775383431633577,-18.3984423800202,1.35195396697213e-75,3.46478762655617e-73,hypoip_vs_hypoinput,Kmt2d
ENSMUSG00000022425,2850.56831425111,-2.26071182096,0.123158845840868,-18.3560653359892,2.95239622028793e-75,7.41804022877835e-73,hypoip_vs_hypoinput,Enpp2
ENSMUSG00000029309,11487.419448617,-2.0665759835554,0.112965558576019,-18.2938588504807,9.26203066108102e-75,2.28237809405946e-72,hypoip_vs_hypoinput,Sparcl1
ENSMUSG00000027375,2515.9424333162,-2.51301103998879,0.137667441270053,-18.2542147715172,1.91544927425998e-74,4.63105037742781e-72,hypoip_vs_hypoinput,Mal
ENSMUSG00000043388,13792.5114745959,1.11944978308295,0.0614894439745739,18.2055603486323,4.66258480986062e-74,1.1064141065473e-71,hypoip_vs_hypoinput,Tmem130
ENSMUSG00000058006,2281.61013917698,-2.26190244242627,0.12497960244102,-18.0981728077884,3.29415568868371e-73,7.67478381723509e-71,hypoip_vs_hypoinput,Mdn1
ENSMUSG00000005360,2465.38446914831,-2.66631792582326,0.147438861107251,-18.0842276303512,4.24270517468858e-73,9.70821859079633e-71,hypoip_vs_hypoinput,Slc1a3
ENSMUSG00000071658,23941.6615918916,1.16564682850863,0.0647404347480507,18.0049274158408,1.78233260082811e-72,4.00680876263359e-70,hypoip_vs_hypoinput,Gng3
ENSMUSG00000048022,2585.80261301998,-1.86379185950291,0.103562907812287,-17.9967123256247,2.06732378697146e-72,4.56735982866419e-70,hypoip_vs_hypoinput,Tmem229a
ENSMUSG00000022548,1698.72775495172,-2.88123782545335,0.160597642320302,-17.9407230630877,5.67123603747334e-72,1.23171556922345e-69,hypoip_vs_hypoinput,Apod
ENSMUSG00000040943,1901.01187112144,-2.0496989025734,0.11487010361387,-17.8436236939714,3.23987350973236e-71,6.91928985895175e-69,hypoip_vs_hypoinput,Tet2
ENSMUSG00000061436,6330.43153370049,-1.29829270578,0.0728072832955674,-17.8319070155313,3.99557073398818e-71,8.39331858775812e-69,hypoip_vs_hypoinput,Hipk2
ENSMUSG00000074264,402.308071073193,-3.21353792213594,0.181228664503605,-17.7319516807013,2.37639877907289e-70,4.91147967016775e-68,hypoip_vs_hypoinput,Amy1
ENSMUSG00000049606,3420.04016617754,-1.52009001385353,0.0857748638609314,-17.7218586591764,2.84359772083773e-70,5.78378749124042e-68,hypoip_vs_hypoinput,Zfp644
ENSMUSG00000036098,1301.43855061632,-2.57432990910455,0.145646071171349,-17.6752444360543,6.50578329531154e-70,1.30257979915816e-67,hypoip_vs_hypoinput,Myrf
ENSMUSG00000066036,4607.09731486824,-1.45095729775643,0.0825055000115392,-17.586188769882,3.14319822587101e-69,6.19645262558632e-67,hypoip_vs_hypoinput,Ubr4
ENSMUSG00000021750,5176.63254088788,-2.17095475147455,0.124059677063553,-17.4992777900141,1.45097310542477e-68,2.81708626862319e-66,hypoip_vs_hypoinput,Fam107a
ENSMUSG00000034160,2579.10769040428,-1.57770539750842,0.090220770726534,-17.4871638183026,1.79469458894525e-68,3.4324203675738e-66,hypoip_vs_hypoinput,Ogt
ENSMUSG00000028517,1812.26411927822,-2.42300055764699,0.139155992724259,-17.4121179419719,6.67675022570115e-68,1.25817466753139e-65,hypoip_vs_hypoinput,Plpp3
ENSMUSG00000068748,3089.83479994636,-2.39829697634325,0.137887814019465,-17.3931031788255,9.30566573261984e-68,1.72815653185204e-65,hypoip_vs_hypoinput,Ptprz1
ENSMUSG00000027400,1434.75028249211,2.0499983181566,0.118036190566124,17.3675404833418,1.4532281876703e-67,2.66023799954388e-65,hypoip_vs_hypoinput,Pdyn
ENSMUSG00000003363,11001.9743085686,1.071250705169,0.0617049633957955,17.3608514812278,1.63283744623304e-67,2.94692662479298e-65,hypoip_vs_hypoinput,Pld3
ENSMUSG00000059361,28766.3668839181,1.16522581513255,0.0674612941142439,17.2725090799366,7.57750887810217e-67,1.34858609394446e-64,hypoip_vs_hypoinput,Nrsn2
ENSMUSG00000024176,655.883021552933,-2.66196697133043,0.15679548119422,-16.9773194422171,1.20882486988665e-64,2.1219016277709e-62,hypoip_vs_hypoinput,Sox8
ENSMUSG00000047907,3963.47794522565,-1.73428894212014,0.103262615257555,-16.7949352996195,2.65794147170718e-63,4.60254892141294e-61,hypoip_vs_hypoinput,Tshz2
ENSMUSG00000041852,9005.04727585591,-1.29609228066667,0.0772323609279859,-16.7817254981392,3.32046160031416e-63,5.67311932619008e-61,hypoip_vs_hypoinput,Tcf20
ENSMUSG00000026519,729.444441304839,-2.85499586985998,0.170499364000655,-16.7449062733689,6.16875577952165e-63,1.04008469156303e-60,hypoip_vs_hypoinput,Tmem63a
ENSMUSG00000093989,12276.1347243517,1.24665580120471,0.0745167173931741,16.7298808216008,7.93969991595817e-63,1.32128980159855e-60,hypoip_vs_hypoinput,Rnasek
ENSMUSG00000037266,2181.85611077769,-2.09497087139472,0.125239752256166,-16.7276829732916,8.23812907600614e-63,1.3533767433326e-60,hypoip_vs_hypoinput,Rsrp1
ENSMUSG00000021313,1998.65958145695,-1.83015203376762,0.109491868379449,-16.7149584791552,1.01990975169562e-62,1.65431943775034e-60,hypoip_vs_hypoinput,Ryr2
ENSMUSG00000024654,4221.06343408372,-1.47021534556865,0.0881447562831755,-16.679555399137,1.84587573435885e-62,2.95663145750929e-60,hypoip_vs_hypoinput,Asrgl1
ENSMUSG00000021127,607.119600442486,-2.59011147892731,0.155381823494927,-16.669333778361,2.19022076736995e-62,3.46487517445415e-60,hypoip_vs_hypoinput,Zfp36l1
ENSMUSG00000020422,1921.65723955289,-2.19379584304978,0.132462790262801,-16.5616007234739,1.32034105457557e-61,2.06327442357699e-59,hypoip_vs_hypoinput,Tns3
ENSMUSG00000062078,10381.2328159681,-3.00381746994576,0.182629070748185,-16.4476414277304,8.71983224704448e-61,1.34621602907985e-58,hypoip_vs_hypoinput,Qk
ENSMUSG00000025931,3085.98056693111,-1.96065541838183,0.119861881357216,-16.3576225917781,3.83822021874129e-60,5.85511355749415e-58,hypoip_vs_hypoinput,Paqr8
ENSMUSG00000074785,3108.12979301276,1.39238961242523,0.0855158401809252,16.2822420908145,1.31944769554162e-59,1.98910620831415e-57,hypoip_vs_hypoinput,Plxnc1
ENSMUSG00000074505,5640.09556101118,-1.48377893718014,0.091303533461569,-16.251057116039,2.19545909995451e-59,3.27123405893222e-57,hypoip_vs_hypoinput,Fat3
ENSMUSG00000025278,928.367416719209,-3.1085148273223,0.191419061837883,-16.2393170119858,2.65867711650969e-59,3.91589523804082e-57,hypoip_vs_hypoinput,Flnb
ENSMUSG00000048960,1287.32797472186,-2.12657588401324,0.131038733327827,-16.2286053139194,3.16570849164386e-59,4.5579088328005e-57,hypoip_vs_hypoinput,Prex2
ENSMUSG00000066705,7593.33486286508,1.41622420071682,0.0872641516645821,16.2291636794955,3.13704440043897e-59,4.5579088328005e-57,hypoip_vs_hypoinput,Fxyd6
ENSMUSG00000030329,6416.89264641606,1.08774425260662,0.0670906115865527,16.2130621093435,4.07736805272863e-59,5.80526602529607e-57,hypoip_vs_hypoinput,Pianp
ENSMUSG00000037062,2242.572124552,-1.6124322602673,0.0996975156853038,-16.1732441293418,7.78867593523963e-59,1.09674827949627e-56,hypoip_vs_hypoinput,Sh3glb1
ENSMUSG00000025203,22095.5941882408,-1.64798395099725,0.102251381716484,-16.1169846639987,1.93839374705111e-58,2.69984537768618e-56,hypoip_vs_hypoinput,Scd2
ENSMUSG00000032826,6465.93531890177,-1.11411496412924,0.0691368300990324,-16.1146376328416,2.01340739943044e-58,2.77417230282814e-56,hypoip_vs_hypoinput,Ank2
ENSMUSG00000032060,1765.1959255058,-2.18635195851558,0.135761126195405,-16.1044035195222,2.37577963002724e-58,3.23864257225203e-56,hypoip_vs_hypoinput,Cryab
ENSMUSG00000031765,1853.99687695845,-1.56318276620811,0.0972333217739974,-16.0766158934842,3.72161079249223e-58,5.01986533631531e-56,hypoip_vs_hypoinput,Mt1
ENSMUSG00000024810,972.134338824482,-2.36596777695148,0.147713590026175,-16.0172654156753,9.68153586838629e-58,1.29228333976564e-55,hypoip_vs_hypoinput,Il33
ENSMUSG00000020660,3728.62551314739,3.31642812967907,0.207112847135095,16.0126625438925,1.04251441044542e-57,1.37719377891213e-55,hypoip_vs_hypoinput,Pomc
ENSMUSG00000060675,775.164522974616,-2.76802748454335,0.173401273658143,-15.9631323700682,2.30848863664729e-57,3.01846667244881e-55,hypoip_vs_hypoinput,Plaat3
ENSMUSG00000031762,2099.19354160717,-1.96844829023542,0.123443081601321,-15.9462018016759,3.02759208356433e-57,3.91874393523165e-55,hypoip_vs_hypoinput,Mt2
