ensembl_gene_id,log2FoldChange,padj,comparison,external_gene_name
ENSMUSG00000000001,-0.355057970746124,0.101046864948494,ip_input_cre,Gnai3
ENSMUSG00000000028,1.1160248567695,0.162874358984911,ip_input_cre,Cdc45
ENSMUSG00000000056,-0.956655377836191,0.00395662597443594,ip_input_cre,Narf
ENSMUSG00000000058,-0.740671200378686,0.289777811786823,ip_input_cre,Cav2
ENSMUSG00000000078,-0.459963248028096,0.0306195517118647,ip_input_cre,Klf6
ENSMUSG00000000085,-0.481309039366266,0.0568091346228768,ip_input_cre,Scmh1
ENSMUSG00000000088,0.955013501114837,0.000744458326469937,ip_input_cre,Cox5a
ENSMUSG00000000120,-2.55284092133731,0.0221885977726278,ip_input_cre,Ngfr
ENSMUSG00000000127,-0.866989748366955,0.0220282194009122,ip_input_cre,Fer
ENSMUSG00000000131,0.148037866391607,0.350351694433707,ip_input_cre,Xpo6
ENSMUSG00000000134,0.523518461866788,0.11393945298992,ip_input_cre,Tfe3
ENSMUSG00000000142,-0.151204286793604,0.752348471382687,ip_input_cre,Axin2
ENSMUSG00000000148,0.202560160020067,0.754014616209857,ip_input_cre,Brat1
ENSMUSG00000000149,-0.941356822733013,0.00175353968312849,ip_input_cre,Gna12
ENSMUSG00000000167,-0.533882279664081,0.50351608852316,ip_input_cre,Pih1d2
ENSMUSG00000000168,0.491446094567066,0.0364726310847644,ip_input_cre,Dlat
ENSMUSG00000000171,0.79371951029054,0.00195776044702999,ip_input_cre,Sdhd
ENSMUSG00000000182,-1.12675276529297,0.447948593799588,ip_input_cre,Fgf23
ENSMUSG00000000184,0.305053765742316,,ip_input_cre,Ccnd2
ENSMUSG00000000194,0.48508268321221,0.109174967221026,ip_input_cre,Gpr107
ENSMUSG00000000197,-0.497772405297243,0.152460843139731,ip_input_cre,Nalcn
ENSMUSG00000000202,-0.671664578903086,0.609477250807118,ip_input_cre,Btbd17
ENSMUSG00000000214,-1.47329940736709,3.26365396691631e-06,ip_input_cre,Th
ENSMUSG00000000223,-0.748651634458144,0.000410035190403067,ip_input_cre,Drp2
ENSMUSG00000000247,0.267133408156194,0.577602152132532,ip_input_cre,Lhx2
ENSMUSG00000000253,0.507497562215485,0.394431238417143,ip_input_cre,Gmpr
ENSMUSG00000000263,-0.892648952399778,0.215741664067693,ip_input_cre,Glra1
ENSMUSG00000000266,-0.214404402157501,0.20023496393555,ip_input_cre,Mid2
ENSMUSG00000000275,1.36609518344873,8.45940875064123e-06,ip_input_cre,Trim25
ENSMUSG00000000276,0.0104928164343136,0.977653041177983,ip_input_cre,Dgke
ENSMUSG00000000278,-0.119851843965672,0.81897437865348,ip_input_cre,Scpep1
ENSMUSG00000000282,0.485968316657116,0.0147846762919224,ip_input_cre,Mnt
ENSMUSG00000000295,0.229596089992329,0.413404633786629,ip_input_cre,Hddc2
ENSMUSG00000000296,0.476733353449855,0.143723465343621,ip_input_cre,Tpd52l1
ENSMUSG00000000308,-0.0894844623328749,0.777059564871845,ip_input_cre,Ckmt1
ENSMUSG00000000325,-0.199846578285045,0.251885474947955,ip_input_cre,Arvcf
ENSMUSG00000000326,0.299985263808033,0.317225910597374,ip_input_cre,Comt
