Experiment	Location	Section	total_1	total_1_2	total_1_glp1r	total_1_2_Glp1r
Ghrh	caudal	43B8 section4	25		15	
Ghrh	caudal	51B6 section3	37		16	
Ghrh	caudal	49B8 section4	45		13	
Ghrh	caudal	45B8 section4	28		7	
Ghrh	rostral	43B8 section3	25		12	
Ghrh	rostral	45B8 section2	16		10	
Ghrh	rostral	49B8 section2	15		8	
Ghrh	rostral	51B6 section2	24		15	
Sst Unc13c	caudal	49B2 section3	41	17	16	9
Sst Unc13c	caudal	45B2 section4	30	9	8	7
Sst Unc13c	caudal	37B8 section4	45	26	19	17
Sst Unc13c	caudal	65B4 section2	53	13	11	9
Sst Unc13c	rostral	37B8 section3	46	22	18	17
Sst Unc13c	rostral	45B2 section2	23	12	6	6
Sst Unc13c	rostral	49B2section2	25	13	9	9
Sst Unc13c	rostral	65B4 section1	33	13	7	7
Pomc Anxa2	caudal	39B9 section3	80	20	37	1
Pomc Anxa2	caudal	47B8 section1	37	10	8	0
Pomc Anxa2	caudal	43B9 section2	42	19	16	2
Pomc Anxa2	caudal	51B8 section2	69	25	38	2
Pomc Anxa2	rostral	39B9 section4	51	9	27	2
Pomc Anxa2	rostral	47B8 section3	59	7	35	1
Pomc Anxa2	rostral	43B9 section4	39	6	22	2
Pomc Anxa2	rostral	51B8 section3	40	13	25	3
Oxt	PVH	39A2_4	45		17	
Oxt	PVH	39A2_3	6		4	
Oxt	PVH	39A2_2	9		2	
Oxt	PVH	39A2_1	0		0	
Oxt	PVH	43A2_4	32		18	
Oxt	PVH	43A2_3	81		44	
Oxt	PVH	43A2_2	4		2	
Oxt	PVH	43A2_1	15		9	
Oxt	PVH	47A2_4	30		13	
Oxt	PVH	47A2_3	67		26	
Oxt	PVH	47A2_2	1		1	
Oxt	PVH	47A2_1	12		4	
Oxt	PVH	51A2_4	30		12	
Oxt	PVH	51A2_3	77		41	
Oxt	PVH	51A2_2	3		3	
Oxt	PVH	51A2_1	9		1	
Tbx19 Anxa2	caudal	51B1_4	33	10	9	3
Tbx19 Anxa2	caudal	59C8_1	25	7	8	2
Tbx19 Anxa2	caudal	63C6_2	21	11	8	5
Tbx19 Anxa2	caudal	67B10_1	18	4	6	2
Tbx19 Anxa2	caudal	51B1_3	25	6	9	4
Tbx19 Anxa2	caudal	59B5_3	22	6	7	4
Tbx19 Anxa2	caudal	63B6_4	35	17	5	3
Tbx19 Anxa2	caudal	67A5_5	15	2	2	0
Trh Nkx2-4	rostral	37B7_3	6	3	5	3
Trh Nkx2-4	rostral	39B5_3	6	2	6	2
Trh Nkx2-4	rostral	43B2_3	8	2	6	2
Trh Nkx2-4	rostral	61B1_4	8	3	2	1
Trh Nkx2-4	caudal	37B7_4	10	2	6	2
Trh Nkx2-4	caudal	39B5_4	8	1	6	1
Trh Nkx2-4	caudal	43C10_1	33	16	23	15
Trh Nkx2-4	caudal	61C9_2	20	4	8	4
Npw Nkx2-4	VMH	37C7_1	5	0	0	0
Npw Nkx2-4	VMH	39C9_2	20	5	5	4
Npw Nkx2-4	VMH	43C8_2	20	3	4	2
Npw Nkx2-4	VMH	61C10_2	30	6	2	1
Npw Nkx2-4	VMH	37C7_2	7	1	1	1
Npw Nkx2-4	VMH	39C9_1	22	9	4	3
Npw Nkx2-4	VMH	43C10_1	18	5	3	3
Npw Nkx2-4	VMH	61C10_1	34	12	5	3
