section,Pnoc,Crabp1,Tmem215,Htr3b,Pnoc/Crabp1,Pnoc/Crabp1-,Pnoc/Crabp1/Tmem215,Pnoc/Crabp1/Htr3b,Pnoc/Crabp1/Tmem215/Htr3b
figure1 wt1,88,40,41,10,29,11,22,9,3
figure3 wt3,68,54,39,18,36,18,14,20,5
figure4 wt3 middle 1a,75,69,31,19,48,21,1,16,1
figure5 wt3 middle2a,105,123,86,23,77,28,34,16,6
figure6 middle 1a,52,71,61,20,62,9,38,19,4
figure7 wt1 middle 1b,75,73,55,23,52,23,24,12,4
figure8 middle2b ,89,100,64,17,72,28,24,13,9
figure9 awt3 anterior,95,50,31,13,43,17,25,11,2
figure 10 wt4 middle 1a,101,78,46,12,70,8,28,12,4
figure11 wt4 middle 1b,90,69,48,20,52,17,24,17,6
figure12 wt4 middle2a,112,71,78,19,60,11,28,18,9
figure13 wt4 middle2b,103,71,39,23,52,19,12,23,8
figure14 wt4 postb,102,96,52,34,74,20,24,34,12
figure15 wt4 post a,104,90,46,33,73,17,19,31,8
