Product	Source	Identifier
Antibodies		
Heintz Lab TRAP anti-GFP 19F7 antibody	"Heintz Lab; Rockefeller University (Heiman et al., 2008)"	"Cat# Htz-GFP-19F7, RRID:AB 2716736"
Heintz Lab TRAP anti-GFP 19C8 antibody	"Heintz Lab; Rockefeller University (Heiman et al., 2008)"	"Cat# Htz-GFP-19C8, RRID:AB 2716737"
Chemicals and consumables		
Agilent RNA 6000 Pico Kit	Agilent	Cat# 5067-1513
"Complete Mini, EDTA-free"	Sigma Aldrich/Merck	Cat# 1836170001
Cycloheximide	AppliChem	"Cat# A0879,0001"
DHPC	Avanti Polar Lipids	Cat# 850306P
DTT	AppliChem	"Cat# A1101,0005"
HEPES	AppliChem	"Cat# A1069,0250"
KCl	Sigma Aldrich/Merck	Cat# P9541
MgCl2	Invitrogen	Cat# AM9530G
Nonident P40	AppliChem	"Cat# A1694,0250"
Protein A Dynabeads	Invitrogen	Cat# 10001
RNAscope Multiplex Fluorescent Reagent Kit v2	Advanced Cell Diagnostics	Cat# 323100
RNasin	Promega	Cat# N2511
RNeasy Micro Kit	QIAGEN	Cat#74004
SuperFrost Plus slides	ThermoFisher	Cat# J4800AMNZ
Vectashield Antifade Mounting Medium with DAPI	Vector Laboratories	Cat# H-1200
ISH probes		
Mm-Anxa2	Advanced Cell Diagnostics	Cat#501011
Mm-Ghrh	Advanced Cell Diagnostics	Cat#470991
Mm-Glp1R	Advanced Cell Diagnostics	Cat#418851
Mm-Nkx2-4	Advanced Cell Diagnostics	Cat#1070491
Mm-NPW	Advanced Cell Diagnostics	Cat#495671
Mm-Oxt	Advanced Cell Diagnostics	Cat#493171
Mm-Pomc	Advanced Cell Diagnostics	Cat#314081
Mm-Sst	Advanced Cell Diagnostics	Cat#404631
Mm-Tbx19	Advanced Cell Diagnostics	Cat#484741
Mm-TRH	Advanced Cell Diagnostics	Cat#43681
Mm-Unc13c	Advanced Cell Diagnostics	Cat#519021
