clustering_1	clustering_2	clustering_1_total	clustering_2_total	n	pct_clustering_1	pct_clustering_2	out_degree_1	in_degree_1	component_id	out_degree_2	in_degree_2
Oligodendrocytes	Anxa2.Pomc.Tcf7l2.Tbx3.HY1	18	11	1	0.0555555555555556	0.0909090909090909	2	2	1	6	6
Oligodendrocytes	Mobp.Sepp1.Pitx2.Foxb1.HY2	18	59	17	0.944444444444444	0.288135593220339	2	2	1	29	29
Astrocytes	Slc7a10.Sepp1.Pitx2.Foxb1.HY2	9	53	6	0.666666666666667	0.113207547169811	3	3	1	31	31
Astrocytes	Smim3.Oxt	9	46	2	0.222222222222222	0.0434782608695652	3	3	1	14	14
Astrocytes	Mobp.Sepp1.Pitx2.Foxb1.HY2	9	59	1	0.111111111111111	0.0169491525423729	3	3	1	29	29
Ependymal	Prph.Lef1.Hmx2.HY1	17	2	1	0.0588235294117647	0.5	11	11	1	2	2
Ependymal	Smim3.Oxt	17	46	5	0.294117647058824	0.108695652173913	11	11	1	14	14
Ependymal	Slc7a10.Sepp1.Pitx2.Foxb1.HY2	17	53	2	0.117647058823529	0.0377358490566038	11	11	1	31	31
Ependymal	C1ql1.Gad2.Arx.HY1	17	7	1	0.0588235294117647	0.142857142857143	11	11	1	4	4
Ependymal	Trh.Sim1.Nrn1.HY2	17	53	2	0.117647058823529	0.0377358490566038	11	11	1	15	15
Ependymal	Nts.Hmx3.Hmx2.HY1	17	14	1	0.0588235294117647	0.0714285714285714	11	11	1	5	5
Ependymal	Pmaip1.Calca.Gad2.Arx.HY1	17	5	1	0.0588235294117647	0.2	11	11	1	4	4
Ependymal	Grin2c.Nms.Six6.HY1	17	4	1	0.0588235294117647	0.25	11	11	1	3	3
Ependymal	Mobp.Sepp1.Pitx2.Foxb1.HY2	17	59	1	0.0588235294117647	0.0169491525423729	11	11	1	29	29
Ependymal	Th.Prok2.Hmx3.Hmx2.HY1	17	25	1	0.0588235294117647	0.04	11	11	1	11	11
Ependymal	Crh.Pou3f3.Sim1.Nrn1.HY2	17	26	1	0.0588235294117647	0.0384615384615385	11	11	1	15	15
Immune	Sst.Nrn1.HY2	2	20	1	0.5	0.05	2	2	1	5	5
Immune	Slc7a10.Sepp1.Pitx2.Foxb1.HY2	2	53	1	0.5	0.0188679245283019	2	2	1	31	31
Vascular	Slc7a10.Sepp1.Pitx2.Foxb1.HY2	6	53	3	0.5	0.0566037735849057	4	4	1	31	31
Vascular	Ebf3.Oxt	6	14	1	0.166666666666667	0.0714285714285714	4	4	1	4	4
Vascular	Smim3.Oxt	6	46	1	0.166666666666667	0.0217391304347826	4	4	1	14	14
Vascular	Otp.Crhbp.Sim1.Nrn1.HY2	6	2	1	0.166666666666667	0.5	4	4	1	2	2
Neurons_Adcyap1 1 (Tac1)	Prdm13.Foxp2.Ifi27l2a.Fezf1.HY2	13	2	1	0.0769230769230769	0.5	9	9	1	2	2
Neurons_Adcyap1 1 (Tac1)	Slc7a10.Sepp1.Pitx2.Foxb1.HY2	13	53	1	0.0769230769230769	0.0188679245283019	9	9	1	31	31
Neurons_Adcyap1 1 (Tac1)	C1ql2.Nr5a1.Cd40.Fezf1.HY2	13	4	3	0.230769230769231	0.75	9	9	1	2	2
Neurons_Adcyap1 1 (Tac1)	Gpr149.Nr5a1.Cd40.Fezf1.HY2	13	13	2	0.153846153846154	0.153846153846154	9	9	1	10	10
Neurons_Adcyap1 1 (Tac1)	Lef1.HY14.HY10.HY2	13	4	2	0.153846153846154	0.5	9	9	1	3	3
Neurons_Adcyap1 1 (Tac1)	Otp.Ebf1.Sim1.Nrn1.HY2	13	12	1	0.0769230769230769	0.0833333333333333	9	9	1	8	8
Neurons_Adcyap1 1 (Tac1)	Slc30a3.Meis2.Gad2.Arx.HY1	13	11	1	0.0769230769230769	0.0909090909090909	9	9	1	5	5
Neurons_Adcyap1 1 (Tac1)	Anxa2.Pomc.Tcf7l2.Tbx3.HY1	13	11	1	0.0769230769230769	0.0909090909090909	9	9	1	6	6
Neurons_Adcyap1 1 (Tac1)	Qrfpr.Cd40.Fezf1.HY2	13	1	1	0.0769230769230769	1	9	9	1	1	1
Neurons_Adcyap1 2	Nfia.Slc17a8.Ifi27l2a.Fezf1.HY2	15	3	2	0.133333333333333	0.666666666666667	12	12	1	2	2
Neurons_Adcyap1 2	Prdm13.Slc17a8.Ifi27l2a.Fezf1.HY2	15	1	1	0.0666666666666667	1	12	12	1	1	1
Neurons_Adcyap1 2	Prkd1.Nr5a1.Cd40.Fezf1.HY2	15	6	3	0.2	0.5	12	12	1	4	4
Neurons_Adcyap1 2	Trh.Sim1.Nrn1.HY2	15	53	1	0.0666666666666667	0.0188679245283019	12	12	1	15	15
Neurons_Adcyap1 2	Otp.Ebf1.Sim1.Nrn1.HY2	15	12	1	0.0666666666666667	0.0833333333333333	12	12	1	8	8
Neurons_Adcyap1 2	Adarb2.Onecut2.Gad2.Arx.HY1	15	9	1	0.0666666666666667	0.111111111111111	12	12	1	5	5
Neurons_Adcyap1 2	Hk2.HY14.HY10.HY2	15	2	1	0.0666666666666667	0.5	12	12	1	2	2
Neurons_Adcyap1 2	Ttr.Pomc.Tcf7l2.Tbx3.HY1	15	3	1	0.0666666666666667	0.333333333333333	12	12	1	3	3
Neurons_Adcyap1 2	Eomes.Foxg1.HY14.HY10.HY2	15	8	1	0.0666666666666667	0.125	12	12	1	4	4
Neurons_Adcyap1 2	Gpr149.Nr5a1.Cd40.Fezf1.HY2	15	13	1	0.0666666666666667	0.0769230769230769	12	12	1	10	10
Neurons_Adcyap1 2	Slc7a10.Sepp1.Pitx2.Foxb1.HY2	15	53	1	0.0666666666666667	0.0188679245283019	12	12	1	31	31
Neurons_Adcyap1 2	Lmo3.Foxp2.Ifi27l2a.Fezf1.HY2	15	2	1	0.0666666666666667	0.5	12	12	1	2	2
Neurons_Avp 1, high	Ebf3.Oxt	8	14	6	0.75	0.428571428571429	3	3	1	4	4
Neurons_Avp 1, high	Mobp.Sepp1.Pitx2.Foxb1.HY2	8	59	1	0.125	0.0169491525423729	3	3	1	29	29
Neurons_Avp 1, high	Dkk2.Nms.Six6.HY1	8	3	1	0.125	0.333333333333333	3	3	1	3	3
Neurons_Avp 2, high	Ebf3.Oxt	8	14	5	0.625	0.357142857142857	3	3	1	4	4
Neurons_Avp 2, high	Smim3.Oxt	8	46	1	0.125	0.0217391304347826	3	3	1	14	14
Neurons_Avp 2, high	Mobp.Sepp1.Pitx2.Foxb1.HY2	8	59	2	0.25	0.0338983050847458	3	3	1	29	29
Neurons_Avp 3, medium	Pvalb.Meis2.Gad2.Arx.HY1	7	5	1	0.142857142857143	0.2	4	4	1	4	4
Neurons_Avp 3, medium	Crh.Pou3f3.Sim1.Nrn1.HY2	7	26	2	0.285714285714286	0.0769230769230769	4	4	1	15	15
Neurons_Avp 3, medium	Ebf3.Oxt	7	14	2	0.285714285714286	0.142857142857143	4	4	1	4	4
Neurons_Avp 3, medium	Smim3.Oxt	7	46	2	0.285714285714286	0.0434782608695652	4	4	1	14	14
Neurons_Dopamine 1	Anxa2.Pomc.Tcf7l2.Tbx3.HY1	14	11	1	0.0714285714285714	0.0909090909090909	8	8	1	6	6
Neurons_Dopamine 1	Slc7a10.Sepp1.Pitx2.Foxb1.HY2	14	53	1	0.0714285714285714	0.0188679245283019	8	8	1	31	31
Neurons_Dopamine 1	C1ql1.Gad2.Arx.HY1	14	7	1	0.0714285714285714	0.142857142857143	8	8	1	4	4
Neurons_Dopamine 1	Nts.Prok2.Hmx3.Hmx2.HY1	14	9	2	0.142857142857143	0.222222222222222	8	8	1	7	7
Neurons_Dopamine 1	Sncg.Gad2.Arx.HY1	14	18	4	0.285714285714286	0.222222222222222	8	8	1	4	4
Neurons_Dopamine 1	Th.Prok2.Hmx3.Hmx2.HY1	14	25	2	0.142857142857143	0.08	8	8	1	11	11
Neurons_Dopamine 1	Mab21l2.Pax6.Tbr1.Nrn1.HY2	14	1	1	0.0714285714285714	1	8	8	1	1	1
Neurons_Dopamine 1	Slc6a3.Fam159b.Satb2.HY1	14	6	2	0.142857142857143	0.333333333333333	8	8	1	3	3
Neurons_Dopamine 2 (low VMAT2)	Sncg.Gad2.Arx.HY1	7	18	5	0.714285714285714	0.277777777777778	3	3	1	4	4
