rbo,cluster,signature_name,current_p
0.376243881142738,K169-1,agrp,0.98
0.0140673605190221,K169-10,agrp,0.98
0.0036980203047234,K169-100,agrp,0.98
0.00356248983476349,K169-101,agrp,0.98
0.0315981516666741,K169-102,agrp,0.98
0.0059629586319908,K169-103,agrp,0.98
0.00553212171304516,K169-104,agrp,0.98
0.029180890133537,K169-105,agrp,0.98
0.0277069390429567,K169-106,agrp,0.98
0.0545646152500845,K169-107,agrp,0.98
0.0179209026268426,K169-108,agrp,0.98
0.000701705430599664,K169-109,agrp,0.98
0.00297938056958999,K169-11,agrp,0.98
0.00305295625178204,K169-110,agrp,0.98
0.00320467591565658,K169-111,agrp,0.98
0.0187607339608828,K169-112,agrp,0.98
0.0181283794284177,K169-113,agrp,0.98
0.00671198672188817,K169-114,agrp,0.98
0.0243309909990677,K169-115,agrp,0.98
0.0177758117512505,K169-116,agrp,0.98
0.000776678393225212,K169-117,agrp,0.98
0.000710836709953853,K169-118,agrp,0.98
0.00961903845109788,K169-119,agrp,0.98
0.0464282661553705,K169-12,agrp,0.98
0.00445068564783535,K169-120,agrp,0.98
0.00681270292303884,K169-121,agrp,0.98
0.0251222838600847,K169-122,agrp,0.98
0.0103382611201318,K169-123,agrp,0.98
0.0610310272261736,K169-124,agrp,0.98
0.0617643090722919,K169-125,agrp,0.98
0.0119526327822863,K169-126,agrp,0.98
0.00217152600419781,K169-127,agrp,0.98
0.0258048047018571,K169-128,agrp,0.98
0.00148051922172701,K169-129,agrp,0.98
0.00947518733146592,K169-13,agrp,0.98
0.0406596374698942,K169-130,agrp,0.98
0.0409000970963335,K169-131,agrp,0.98
0.0201223645255717,K169-132,agrp,0.98
0.0138857797128851,K169-133,agrp,0.98
0.0436979985182978,K169-134,agrp,0.98
0.000162826762735432,K169-135,agrp,0.98
0.00768067351873605,K169-136,agrp,0.98
0.000295486850297582,K169-137,agrp,0.98
0.0210556177899005,K169-138,agrp,0.98
0.028545660128624,K169-139,agrp,0.98
0.0173082589890189,K169-14,agrp,0.98
0.0131287930607118,K169-140,agrp,0.98
0.0557855178281335,K169-141,agrp,0.98
0.0273488138971433,K169-142,agrp,0.98
0.000399541197198962,K169-143,agrp,0.98
0.0303410343180307,K169-144,agrp,0.98
0.000451190306177534,K169-145,agrp,0.98
0.00230605345593038,K169-146,agrp,0.98
0.00368337203493534,K169-148,agrp,0.98
0.0358925654290795,K169-149,agrp,0.98
0.026746530555564,K169-15,agrp,0.98
0.00480065714938204,K169-150,agrp,0.98
0.00396887133679085,K169-151,agrp,0.98
0.017571275040636,K169-152,agrp,0.98
0.00530871092407751,K169-153,agrp,0.98
0.0470436316234645,K169-154,agrp,0.98
0.0809859467520097,K169-155,agrp,0.98
0.000255752464165338,K169-156,agrp,0.98
0.0183935411900136,K169-157,agrp,0.98
0.00107063467837059,K169-158,agrp,0.98
0.0613948093983385,K169-159,agrp,0.98
0.00570887184651175,K169-16,agrp,0.98
0.00678752532159213,K169-160,agrp,0.98
0.00171028430088388,K169-161,agrp,0.98
0.0100844171861511,K169-162,agrp,0.98
0.016251251430695,K169-163,agrp,0.98
5.25618255583354e-05,K169-164,agrp,0.98
0.00415503655061023,K169-165,agrp,0.98
0.0338902248705259,K169-166,agrp,0.98
0.0155788939658761,K169-167,agrp,0.98
0.0117627149153492,K169-17,agrp,0.98
0.000901178459126571,K169-170,agrp,0.98
0,K169-171,agrp,0.98
0.00932044184724477,K169-18,agrp,0.98
0.00242770362652516,K169-19,agrp,0.98
0.000668469192575954,K169-2,agrp,0.98
0.00234108165171825,K169-20,agrp,0.98
0.12716883095522,K169-21,agrp,0.98
0.00637900966907001,K169-22,agrp,0.98
0.00213746171849931,K169-23,agrp,0.98
0.0896140621097938,K169-24,agrp,0.98
0.00647526215638767,K169-25,agrp,0.98
0.000543780308791166,K169-26,agrp,0.98
0.00831512791939141,K169-27,agrp,0.98
0.107438989443392,K169-28,agrp,0.98
0.0394977635078775,K169-29,agrp,0.98
0.00375615979168585,K169-3,agrp,0.98
0.00460411082108285,K169-30,agrp,0.98
0.00850896463853396,K169-31,agrp,0.98
0.16227026932565,K169-32,agrp,0.98
0.000876170992796261,K169-33,agrp,0.98
0.00819034116944731,K169-34,agrp,0.98
0.0910485379949943,K169-35,agrp,0.98
0.0112469570651735,K169-36,agrp,0.98
0.0609872062714398,K169-37,agrp,0.98
0.0363526305346278,K169-38,agrp,0.98
0.110270807356276,K169-39,agrp,0.98
0.00987386720979111,K169-4,agrp,0.98
0.0235168790244311,K169-40,agrp,0.98
0.0479870963337542,K169-41,agrp,0.98
0.00191099021480176,K169-42,agrp,0.98
0.00745140011078219,K169-43,agrp,0.98
0.0764527936165066,K169-44,agrp,0.98
0.0586437350792789,K169-45,agrp,0.98
0.00384407314856965,K169-46,agrp,0.98
0.000698789852634309,K169-47,agrp,0.98
0.00964740144286208,K169-48,agrp,0.98
0.00103716378116229,K169-49,agrp,0.98
0.0115765091499328,K169-5,agrp,0.98
0.115270011268731,K169-50,agrp,0.98
0.00113406292792431,K169-51,agrp,0.98
0.0191208241238076,K169-52,agrp,0.98
0.00275074337439137,K169-53,agrp,0.98
0.00069499701627429,K169-54,agrp,0.98
0.000767329286380345,K169-55,agrp,0.98
0.00470319734005026,K169-56,agrp,0.98
0.00258624377950101,K169-57,agrp,0.98
0.0120428559386893,K169-58,agrp,0.98
0.00381053142906582,K169-59,agrp,0.98
0.0462341785547297,K169-6,agrp,0.98
0.0740574699071168,K169-60,agrp,0.98
0.000475217366795249,K169-61,agrp,0.98
0.000541519409701252,K169-62,agrp,0.98
0.00173900906814426,K169-63,agrp,0.98
0.00232839631056835,K169-64,agrp,0.98
0.00290309153757356,K169-65,agrp,0.98
0.000122140914868055,K169-66,agrp,0.98
0.0949389135735817,K169-67,agrp,0.98
