K169_named	K169_pruned	global_cor	Campbell	Rossi	Lee_Idol	RomanovDev	Moffit	kimDev	Mickelsen	wenDropSeq	wen10x	Chen	Flynn	Kim	Mousebrainorg
Gm8773.Agrp.Npy.Otp.HY1	K169-1	0.27834	0.237890741593498		0.240910041431837	0.704368403825801				0.225862505577539		0.227443633993711	0.313031137078136	0.732628356975486	
Vip.Cd24a.Six6.HY1	K169-10	0.19132	0.198004712459382		0.130887843964894		0.249819775896759			0.162831000467549	0.191007901821718	0.100027150657936			
Smim3.Gldn.Cd40.Fezf1.HY2	K169-100	0.87185												0.876101279558978	
Lhx8.Nfix.St18.Arx.HY1	K169-103	0.28406	0.131621879743953	0.3675626331019			0.255356129460304					0.25188815851108	0.124892520697878	0.752671709248037	0.211427959843927
C1ql2.Nr5a1.Cd40.Fezf1.HY2	K169-104	0.85784	0.105854742030141							0.20742667269905				0.880397748111375	
Il1rapl2.Pthlh.Six3.Hmx2.HY1	K169-105	0.77848	0.218915239562314		0.244752683135617				0.312495075021488				0.325852734208104	0.855525390313574	
Crh.Pou3f3.Sim1.Nrn1.HY2	K169-106	0.47497		0.372431246110473		0.729477015619497	0.411712543028355		0.456461743013693			0.358508551679193	0.491209651226896		
Prph.Lef1.Hmx2.HY1	K169-107	0.37797	0.302760392556404		0.287144279499222							0.24196333081828	0.345977440655445	0.692843304988508	
Gm13481.Gldn.Cd40.Fezf1.HY2	K169-109	0.81586												0.81677979344936	
Meis2.Adora2a.Crym.Ppp1r1b.HY2	K169-11	0.23324					0.225586350672998					0.14436250939482		0.900192901799223	
C1ql3.Prokr2.Six6.HY1	K169-113	0.62315	0.614008261110278		0.545061229328675		0.610692315741728			0.597532318848516	0.675610613990235	0.532236474483126			
Gm20754.Nfib.Six3.Hmx2.HY1	K169-116	0.75919	0.32276156082059	0.261638324092277					0.441131312652268	0.288325891348775			0.426088686541511	0.857134165558816	
Gbx1.Lhx8.Lhx6.Arx.HY1	K169-118	0.31019		0.243118066893164			0.27744045864951		0.310028235845552			0.246537731748079	0.291104927447236	0.752349614443064	0.0972895492323614
Sox6.Tmem114.Lef1.Hmx2.HY1	K169-119	0.70523		0.248398657395299					0.354218041300231					0.895272702941438	
Tac2.Tbx3.HY1	K169-12	0.28213	0.206356381340063		0.226394091758153	0.67423371917256						0.177468989050718	0.291639521380619	0.695319551285697	
Npy2r.Gpr149.Cd40.Fezf1.HY2	K169-120	0.86357												0.866086763256408	
Shox2.Tbr1.Nrn1.HY2	K169-121	0.64154					0.73554349308938					0.4753571594266			0.529993269056774
Nmu.Serpinb1b.Lhx8.Arx.HY1	K169-122	0.24475					0.246550536475307					0.0930452537488257			0.26108641254161
Hk2.HY14.HY10.HY2	K169-123	0.77269	0.200915102549181											0.830025560338931	
Gpr50.Hmx3.Hmx2.HY1	K169-125	0.53939	0.192511028465301	0.243952248648078	0.151575718225025		0.464366116928921		0.203187482994435	0.254369334323607		0.163188268848009		0.795736755037303	
Ebf3.Tbr1.Nrn1.HY2	K169-127	0.38484										0.277797220521605	0.382608900268296		
Ebf1.Nkx2-4.Gsx1.Hmx2.HY1	K169-128	0.6822	0.281887284935166	0.282256884687333					0.412296768124003			0.273091123473663		0.918259013521318	
Vip.Six6.HY1	K169-13	0.24444	0.218831255931008		0.226534306526197		0.26029716591057			0.236769323003422	0.225984430091134	0.209804276559172			0.212586041168122
Nts.Npy.Otp.HY1	K169-130	0.76765	0.220435675142442											0.831629358815609	
Qrfp.Lhx9.Rfx4.HY10.HY2	K169-132	0.69046	0.297219524423415						0.371577557999093	0.318489585794229				0.841412890071757	
Otp.Gm28928.Hmx3.Hmx2.HY1	K169-134	0.79878	0.221239192159115						0.286383893041287					0.856059161225255	
Tac2.Arx.Six6.HY1	K169-136	0.3927	0.290146323971825				0.331810472994372		0.379359990109796	0.297435489837764				0.747629035250888	
Foxb1.Pitx2.Tbr1.Nrn1.HY2	K169-137	0.13123		-0.125080268780869					0.127039312068953				0.118833641787156		
Nrn1.HY14.HY10.HY2	K169-138	0.64534	0.305296258245528											0.796681123011781	
Parpbp.Otx1.HY10.HY2	K169-139	0.6942		0.639195135652324				0.686950651565543	0.660255204332527			0.675426473121337		0.713344071727179	0.658994695001676
Gal.Zic1.Hmx3.Hmx2.HY1	K169-14	0.3341	0.380439572914947	0.244305961233699	0.262265413473034		0.324780861661092			0.351684813080301		0.256491915309647			0.254159002761721
Sst.Nrn1.HY2	K169-141	0.67265	0.636232777557385		0.616757884156495	0.776852745947323	0.663499162969504		0.698545187377569	0.60795513818096		0.661490239138295			
Hcrt.Rfx4.HY10.HY2	K169-142	0.66103		0.562204664672924					0.659381320947734					0.8574651186186	0.61240335854811
Pdzrn3.Alk.Epha6.Fezf1.HY2	K169-143	0.88123	0.246181334865979											0.894259792966292	
Smim3.Oxt	K169-144	0.71425			0.565506396763555					0.622909837678054				0.903878821517965	0.576054965745077
Trh.Ppp1r17.Hmx2.HY1	K169-149	0.83024	0.709436215790516										0.796054856202545	0.930930444252715	
Otp.Ebf1.Sim1.Nrn1.HY2	K169-15	0.31122	0.280191314142722	0.267521134663275	0.251409090864257		0.349708663740275		0.375776075535549	0.267720721098212		0.249126934524241			0.276052159835848
Foxd2.Otx1.HY10.HY2	K169-150	0.68064							0.330557367286366				0.31442933905308	0.87767567353666	
C1ql1.Gad2.Arx.HY1	K169-153	0.24919	0.158512344324733				0.362408293528565			0.142930339343254		0.12297819842254			
Npvf.Lhx9.Rfx4.HY10.HY2	K169-154	0.62847	0.386274985671325						0.504011955943757			0.326092780173863	0.534349741102061	0.824044516596657	
Myo1a.Pitx2.Foxb1.HY2	K169-161	0.35535											0.346580936420897		
Col6a1.Nfib.Six3.Hmx2.HY1	K169-17	0.7957	0.111687363758307		0.159627961656332							0.0920708076251459	0.23217101741509	0.835968756926135	
