clustering_1	clustering_2	clustering_1_total	clustering_2_total	n	pct_clustering_1	pct_clustering_2
Glu7	C286-51: Nr5a1.Hmcn2.Gpr149.GLU-3	237	13	12	0.0506329113924051	0.923076923076923
Glu7	C286-53: Adamts9.Fezf1.Gpr149.GLU-3	237	9	8	0.0337552742616034	0.888888888888889
Glu7	C286-45: Rai14.Hmcn2.Gpr149.GLU-3	237	53	50	0.210970464135021	0.943396226415094
Glu7	C286-32: Gpr88.Arhgap36.Fezf1.GLU-3	237	16	9	0.0379746835443038	0.5625
Glu7	C286-50: Nkd2.Bcl11b.Gpr149.GLU-3	237	11	11	0.0464135021097046	1
Glu7	C286-52: H2-Q2.Hmcn2.Gpr149.GLU-3	237	10	7	0.029535864978903	0.7
Glu7	C286-43: Esr1.Iigp1.Cd40.GLU-3	237	18	7	0.029535864978903	0.388888888888889
Glu7	C286-44: Smim3.Iigp1.Cd40.GLU-3	237	20	12	0.0506329113924051	0.6
zothers	C286-37: Mc4r.Fezf1.GLU-3	2303	12	7	0.00303951367781155	0.583333333333333
zothers	C286-61: Prdm13.Tcf4.GLU-3	2303	17	9	0.00390794615718628	0.529411764705882
Glu7	C286-38: Satb2.Cd40.GLU-3	237	11	6	0.0253164556962025	0.545454545454545
Glu7	C286-62: Nfia.Tcf4.GLU-3	237	32	18	0.0759493670886076	0.5625
Glu7	C286-61: Prdm13.Tcf4.GLU-3	237	17	7	0.029535864978903	0.411764705882353
Glu7	C286-60: Tac1.Vcan.GLU-3	237	8	7	0.029535864978903	0.875
zothers	C286-62: Nfia.Tcf4.GLU-3	2303	32	10	0.00434216239687364	0.3125
	C286-44: Smim3.Iigp1.Cd40.GLU-3	1264	20	6	0.00474683544303798	0.3
Glu7	C286-35: Sox14.Unassigned.Fezf1.GLU-3	237	12	11	0.0464135021097046	0.916666666666667
	C286-43: Esr1.Iigp1.Cd40.GLU-3	1264	18	11	0.00870253164556962	0.611111111111111
Glu7	C286-30: Gpr149.Unassigned.Fezf1.GLU-3	237	21	19	0.080168776371308	0.904761904761905
Glu7	C286-47: Nr5a1.Tcf7l2.Gpr149.GLU-3	237	11	7	0.029535864978903	0.636363636363636
