clustering_1	clustering_2	clustering_1_total	clustering_2_total	n	pct_clustering_1	pct_clustering_2
Tsix_Esr1	C286-43: Esr1.Iigp1.Cd40.GLU-3	974	580	552	0.566735112936345	0.951724137931035
Dlk1_2	C286-32: Gpr88.Arhgap36.Fezf1.GLU-3	1044	1234	922	0.883141762452107	0.747163695299838
Nr5a1_Foxp2_1	C286-60: Tac1.Vcan.GLU-3	427	277	262	0.613583138173302	0.945848375451263
Nr5a1_Foxp2_2	C286-50: Nkd2.Bcl11b.Gpr149.GLU-3	386	255	237	0.613989637305699	0.929411764705882
Esr1_3	C286-41: Gldn.Cbln4.Cd40.GLU-3	480	725	424	0.883333333333333	0.584827586206897
Satb2_1	C286-38: Satb2.Cd40.GLU-3	932	930	742	0.796137339055794	0.797849462365591
Gluta_VMH-out_1	C286-61: Prdm13.Tcf4.GLU-3	623	264	255	0.409309791332263	0.965909090909091
Gluta_VMH-out_1	C286-62: Nfia.Tcf4.GLU-3	623	282	272	0.436597110754414	0.964539007092199
Dlk1_4	C286-36: Nkx2-2.Unassigned.Fezf1.GLU-3	635	429	355	0.559055118110236	0.827505827505827
Dlk1_1	C286-37: Mc4r.Fezf1.GLU-3	505	572	447	0.885148514851485	0.781468531468532
Nr5a1_4	C286-52: H2-Q2.Hmcn2.Gpr149.GLU-3	962	385	317	0.32952182952183	0.823376623376623
Dlk1_3	C286-36: Nkx2-2.Unassigned.Fezf1.GLU-3	96	429	13	0.135416666666667	0.0303030303030303
Tsix_Esr1	C286-44: Smim3.Iigp1.Cd40.GLU-3	974	355	331	0.339835728952772	0.932394366197183
Dlk1_4	C286-34: Egflam.Unassigned.Fezf1.GLU-3	635	652	209	0.329133858267717	0.320552147239264
Dlk1_5	C286-34: Egflam.Unassigned.Fezf1.GLU-3	395	652	262	0.663291139240506	0.401840490797546
Nr5a1_5	C286-51: Nr5a1.Hmcn2.Gpr149.GLU-3	542	421	315	0.581180811808118	0.748218527315915
Nr5a1_Foxp2_1	C286-59: Tcf7l2.Vcan.GLU-3	427	170	160	0.374707259953162	0.941176470588235
Nr5a1_3	C286-52: H2-Q2.Hmcn2.Gpr149.GLU-3	107	385	10	0.0934579439252336	0.025974025974026
Nr5a1_4	C286-47: Nr5a1.Tcf7l2.Gpr149.GLU-3	962	534	204	0.212058212058212	0.382022471910112
Satb2_2	C286-38: Satb2.Cd40.GLU-3	125	930	97	0.776	0.104301075268817
Nr5a1_2	C286-53: Adamts9.Fezf1.Gpr149.GLU-3	475	507	378	0.795789473684211	0.745562130177515
Nup62cl	C286-40: Nts.Cd40.GLU-3	235	271	215	0.914893617021277	0.793357933579336
Nr5a1_4	C286-45: Rai14.Hmcn2.Gpr149.GLU-3	962	69	8	0.00831600831600832	0.115942028985507
Satb2_1	C286-40: Nts.Cd40.GLU-3	932	271	24	0.0257510729613734	0.0885608856088561
Dlk1_6	C286-37: Mc4r.Fezf1.GLU-3	327	572	99	0.302752293577982	0.173076923076923
Dlk1_3	C286-32: Gpr88.Arhgap36.Fezf1.GLU-3	96	1234	59	0.614583333333333	0.0478119935170178
Gluta_VMH-in_1	C286-32: Gpr88.Arhgap36.Fezf1.GLU-3	264	1234	66	0.25	0.053484602917342
Satb2_1	C286-30: Gpr149.Unassigned.Fezf1.GLU-3	932	263	48	0.0515021459227468	0.182509505703422
Nr5a1_Foxp2_2	C286-49: Lamp5.Bcl11b.Gpr149.GLU-3	386	123	109	0.282383419689119	0.886178861788618
