clustering_1	clustering_2	clustering_1_total	clustering_2_total	n	pct_clustering_1	pct_clustering_2	out_degree_1	in_degree_1	component_id	out_degree_2	in_degree_2
Pax6.Nfix.St18.Arx.HY1	C15-Dlx1/Dlx6os1	359	689	120	0.334261838440111	0.174165457184325	2	2	75	4	6
Irx3.Pitx2.Tbr1.Nrn1.HY2	C36-Lmx1a/Ttc6	1179	466	230	0.195080576759966	0.493562231759657	4	4	74	1	4
Vip.Cd24a.Six6.HY1	C0-Slc32a1/Gad1	199	1508	29	0.14572864321608	0.0192307692307692	2	1	70	3	12
Crhbp.Gad2.Arx.HY1	C0-Slc32a1/Gad1	411	1508	313	0.761557177615572	0.207559681697613	1	1	73	3	12
Fgf10.Gpr149.Cd40.Fezf1.HY2	C6-Megf11/Nr5a1	1548	1017	337	0.217700258397933	0.331366764995084	4	5	69	2	3
Otp.Crhbp.Sim1.Nrn1.HY2	C3-Trh/Sim1	481	1174	436	0.906444906444906	0.371379897785349	1	1	67	3	4
Ghrh.Gsx1.Hmx2.HY1	C49-Ghrh/Gal	436	310	306	0.701834862385321	0.987096774193548	1	1	66	1	1
Adarb2.Onecut2.Gad2.Arx.HY1	C31-Penk/Onecut2	456	501	173	0.379385964912281	0.345309381237525	2	2	72	2	4
Irx3.Pitx2.Tbr1.Nrn1.HY2	C44-Foxp2/Tac1	1179	350	326	0.276505513146735	0.931428571428571	4	4	74	1	1
Fgf10.Gpr149.Cd40.Fezf1.HY2	C17-Gpr149/Cnr1	1548	653	436	0.281653746770026	0.667687595712098	4	5	69	1	4
Col6a1.Nfib.Six3.Hmx2.HY1	C29-Reln/Nfib	296	536	221	0.746621621621622	0.412313432835821	2	1	75	2	6
Vipr2.Prokr2.Six6.HY1	C32-C1ql3/Rgs16	114	488	59	0.517543859649123	0.120901639344262	1	1	71	4	9
Cpne9.Sall3.Pitx2.Foxb1.HY2	C9-Rgs6/Rprm	1748	915	585	0.33466819221968	0.639344262295082	2	5	65	2	3
Prph.Lef1.Hmx2.HY1	C47-Hdc/Slc16a10	570	317	317	0.556140350877193	1	2	2	64	1	1
Nfia.Slc17a8.Ifi27l2a.Fezf1.HY2	C25-Reln/Nfia	627	610	500	0.797448165869219	0.819672131147541	1	1	63	2	2
Lef1.HY14.HY10.HY2	C16-Ntng2/Lef1	556	656	482	0.866906474820144	0.734756097560976	1	2	62	2	2
Cpne9.Sall3.Pitx2.Foxb1.HY2	C5-Adamtsl1/Sim1	1748	1105	806	0.461098398169336	0.729411764705882	2	5	65	2	2
Adarb2.Gm28928.Hmx3.Hmx2.HY1	C15-Dlx1/Dlx6os1	256	689	123	0.48046875	0.178519593613933	2	2	75	4	6
Adarb2.Onecut2.Gad2.Arx.HY1	C48-Kcnmb2/Ddc	456	312	253	0.554824561403509	0.810897435897436	2	2	72	2	2
Gsx1.Hmx3.Hmx2.HY1	C50-Gal	219	301	200	0.91324200913242	0.664451827242525	1	1	61	1	1
Kirrel3.C1ql2.Epha6.Fezf1.HY2	C7-Fezf1/Nr5a1	261	945	219	0.839080459770115	0.231746031746032	1	1	69	3	7
Trh.Sim1.Nrn1.HY2	C3-Trh/Sim1	310	1174	218	0.703225806451613	0.185689948892675	2	2	67	3	4
Th.Prok2.Hmx3.Hmx2.HY1	C57-Gal/Foxp2	152	207	76	0.5	0.367149758454106	2	1	60	2	1
Sox14.Lef1.Hmx2.HY1	C26-Unc13c/Lef1	620	607	552	0.890322580645161	0.909390444810544	1	1	59	1	1
Ebf3.Oxt	C46-Avp/Oxt	408	324	255	0.625	0.787037037037037	2	1	56	2	2
Fgf10.Gpr149.Cd40.Fezf1.HY2	C4-Slit3/Nr5a1	1548	1131	163	0.105297157622739	0.144120247568523	4	5	69	3	3
Sytl4.Tmem215.Tcf7l2.Tbx3.HY1	C18-Esr1/Npy5r	608	626	364	0.598684210526316	0.5814696485623	2	2	76	3	3
Cck.Ppp1r17.Hmx2.HY1	C24-Ppp1r17/Tafa4	809	614	581	0.718170580964153	0.946254071661238	2	2	75	1	1
Gm43122.Adarb2.Cd40.Fezf1.HY2	C10-Qrfpr/Nos1	162	876	150	0.925925925925926	0.171232876712329	1	1	55	4	6
Satb2.Adarb2.Cd40.Fezf1.HY2	C10-Qrfpr/Nos1	444	876	339	0.763513513513514	0.386986301369863	1	1	55	4	6
Tac2.Tbx3.HY1	C18-Esr1/Npy5r	544	626	104	0.191176470588235	0.166134185303514	2	2	76	3	3
Fgf10.Gpr149.Cd40.Fezf1.HY2	C8-Ebf3/Sim1	1548	936	139	0.0897932816537468	0.148504273504274	4	5	69	3	6
Cpne9.Sall3.Pitx2.Foxb1.HY2	C41-Slc17a6/Unassigned	1748	374	44	0.0251716247139588	0.117647058823529	2	5	65	2	4
SgcAlk.Epha6.Fezf1.HY2	C22-Npffr1/Lncenc1	254	618	232	0.913385826771654	0.375404530744337	1	1	54	3	3
Slc6a3.Fam159b.Satb2.HY1	C53-Prlr/Th	145	261	132	0.910344827586207	0.505747126436782	1	1	53	2	2
Prdm13.Slc17a8.Ifi27l2a.Fezf1.HY2	C25-Reln/Nfia	390	610	70	0.17948717948718	0.114754098360656	2	2	63	2	2
Gpr149.Nr5a1.Cd40.Fezf1.HY2	C4-Slit3/Nr5a1	1220	1131	573	0.469672131147541	0.506631299734748	2	2	69	3	3
Adarb2.Gm28928.Hmx3.Hmx2.HY1	C30-Nts/Pnoc	256	511	110	0.4296875	0.215264187866928	2	2	75	4	4
C1ql3.Prokr2.Six6.HY1	C32-C1ql3/Rgs16	37	488	23	0.621621621621622	0.0471311475409836	1	0	52	4	9
Otp.Ebf1.Sim1.Nrn1.HY2	C3-Trh/Sim1	300	1174	283	0.943333333333333	0.241056218057922	1	1	67	3	4
Myo1a.Pitx2.Foxb1.HY2	C62-Htr1f/Tac2	134	166	111	0.828358208955224	0.668674698795181	1	1	51	3	2
Nfib.Nfix.Gad2.Arx.HY1	C31-Penk/Onecut2	237	501	144	0.607594936708861	0.287425149700599	2	1	72	2	4
Ttn.Sall3.Pitx2.Foxb1.HY2	C5-Adamtsl1/Sim1	316	1105	269	0.85126582278481	0.243438914027149	1	1	65	2	2
Prkd1.Nr5a1.Cd40.Fezf1.HY2	C4-Slit3/Nr5a1	481	1131	308	0.64033264033264	0.272325375773652	2	1	69	3	3
Ttr.Pomc.Tcf7l2.Tbx3.HY1	C37-Pomc/Cpne4	249	465	239	0.959839357429719	0.513978494623656	1	1	50	2	2
Gm8773.Agrp.Npy.Otp.HY1	C14-Agrp/Npy	407	681	400	0.982800982800983	0.587371512481645	1	1	49	2	3
Nr5a2.Satb2.HY1	C40-Vip	156	398	149	0.955128205128205	0.374371859296482	1	1	70	3	5
Trh.Nkx2-4.Gsx1.Hmx2.HY1	C33-Ebf1/Lepr	368	485	351	0.953804347826087	0.723711340206186	1	1	48	2	2
Sncg.Gad2.Arx.HY1	C0-Slc32a1/Gad1	420	1508	363	0.864285714285714	0.240716180371353	1	1	73	3	12
Gm13481.Gldn.Cd40.Fezf1.HY2	C10-Qrfpr/Nos1	113	876	92	0.814159292035398	0.105022831050228	1	1	55	4	6
Nts.Ctxn3.Pitx2.Foxb1.HY2	C9-Rgs6/Rprm	298	915	223	0.748322147651007	0.243715846994536	2	1	65	2	3
Anxa2.Pomc.Tcf7l2.Tbx3.HY1	C37-Pomc/Cpne4	175	465	169	0.965714285714286	0.363440860215054	1	1	50	2	2
C1ql2.Nr5a1.Cd40.Fezf1.HY2	C7-Fezf1/Nr5a1	151	945	52	0.344370860927152	0.055026455026455	3	0	47	3	7
Crh.Pou3f3.Sim1.Nrn1.HY2	C11-Ebf3/Sim1	215	851	186	0.865116279069767	0.218566392479436	1	1	68	2	5
Serpina3n.Agrp.Npy.Otp.HY1	C14-Agrp/Npy	223	681	203	0.910313901345291	0.298091042584435	1	1	49	2	3
Fgf10.Gpr149.Cd40.Fezf1.HY2	C7-Fezf1/Nr5a1	1548	945	254	0.164082687338501	0.268783068783069	4	5	69	3	7
Ebf3.Tbr1.Nrn1.HY2	C45-Adamtsl1/Ebf1	346	320	285	0.823699421965318	0.890625	1	1	46	1	1
Otp.Gm28928.Hmx3.Hmx2.HY1	C30-Nts/Pnoc	143	511	98	0.685314685314685	0.191780821917808	2	1	75	4	4
Gpc3.Sst.Il1rapl2.Otp.HY1	C28-Sst/Otp	107	563	105	0.981308411214953	0.186500888099467	1	1	45	2	4
Igfbp4.Prokr2.Six6.HY1	C32-C1ql3/Rgs16	56	488	38	0.678571428571429	0.0778688524590164	1	0	44	4	9
Ebf3.Foxb1.HY2	C8-Ebf3/Sim1	378	936	372	0.984126984126984	0.397435897435897	1	1	57	3	6
Prdm13.Foxp2.Ifi27l2a.Fezf1.HY2	C43-Foxp2/Tac1	571	351	345	0.604203152364273	0.982905982905983	2	3	63	1	1
Tac2.Tbx3.HY1	C42-Tac2/Kiss1	544	370	358	0.658088235294118	0.967567567567568	2	2	76	1	1
Gpr50.Hmx3.Hmx2.HY1	C66-Tac2/Gal	155	102	92	0.593548387096774	0.901960784313725	1	1	43	1	1
Tac2.Arx.Six6.HY1	C40-Vip	188	398	19	0.101063829787234	0.0477386934673367	2	0	42	3	5
Pthlh.Bcl11b.Il1rapl2.Otp.HY1	C19-Sst/Epha3	515	627	492	0.955339805825243	0.784688995215311	1	1	41	2	4
BC048546.Alk.Epha6.Fezf1.HY2	C22-Npffr1/Lncenc1	74	618	69	0.932432432432432	0.111650485436893	1	1	54	3	3
Cck.Ppp1r17.Hmx2.HY1	C15-Dlx1/Dlx6os1	809	689	103	0.127317676143387	0.149492017416546	2	2	75	4	6
Crh.Hmx3.Hmx2.HY1	C30-Nts/Pnoc	153	511	110	0.718954248366013	0.215264187866928	2	1	75	4	4
Pdzrn3.Alk.Epha6.Fezf1.HY2	C7-Fezf1/Nr5a1	66	945	52	0.787878787878788	0.055026455026455	1	0	40	3	7
Prdm13.Slc17a8.Ifi27l2a.Fezf1.HY2	C39-Cdh7/Ust	390	426	245	0.628205128205128	0.575117370892019	2	2	63	2	3
Sema3c.Lhx8.Lhx6.Arx.HY1	C52-Chrm2/Fign	82	284	21	0.25609756097561	0.073943661971831	1	0	38	1	4
Gm28928.Pthlh.Six3.Hmx2.HY1	C12-Epha3/Pou6f2	451	800	368	0.815964523281597	0.46	1	1	78	2	4
Slc30a3.Meis2.Gad2.Arx.HY1	C0-Slc32a1/Gad1	216	1508	161	0.74537037037037	0.106763925729443	1	1	73	3	12
Crabp1.Tcf7l2.Tbx3.HY1	C21-Crabp1/Vgll3	387	614	348	0.89922480620155	0.566775244299674	1	1	37	2	3
Vip.Cd24a.Six6.HY1	C40-Vip	199	398	100	0.50251256281407	0.251256281407035	2	1	70	3	5
Nfix.Fam159b.Satb2.HY1	C53-Prlr/Th	159	261	121	0.761006289308176	0.46360153256705	1	1	53	2	2
