C185	global_cor	n_markers	Affinati10x	Anderson10x	CampbellDropseq	ChenDropseq	Dowsett10xnuc	Flynn10x	Kim10x	KimDev10x	LeeDropseq	Mickelsen10x	Moffit10x	Morris10x	Mousebrainorg10x	RomanovDev10x	RossiDropseq	Rupp10x	Wen10x	wenDropseq
C185-10	0.29767	104										0.25458250286202								
C185-100	0.70786	24			0.69069913808248	0.675487913247918							0.722019558009132	0.579630057912251	0.654538262623627		0.602718948702746			0.790835003884609
C185-102	0.30682	279		0.254253977266754	0.253049769907977	0.153809090285437		0.307019378331453	0.724446424668107		0.218775358906389	0.221680880200487		0.245859260649215						
C185-103	0.00154	45		-0.0459185144101626	-0.0720550851094418	-0.113061043358878		0.0468345298922539	0.664433285710536	0.00879647602610154				-0.113066050094926	0.0481200904885404	0.0598263888592801				
C185-104	-0.14351	27		-0.145576118228655	-0.258972932030824	-0.165169492133144		-0.143295222641981	0.722735958724517		-0.234369262262204		-0.00215191218348188	-0.130690360986409	-0.0809036335670051	-0.103734122653247	-0.0105482473931174			-0.152490395853882
C185-106	0.53442	43		0.753197211082928		0.52647486844478		0.698182639899488	0.852161862521656			0.650515405081112	0.502519042830963		0.372052046203259		0.593881002756184			0.513824004253361
C185-108	0.78265	15		0.871788703765653	0.801498388487181	0.826033838222174			0.731344300665175		0.618617336316227	0.471683498773543	0.84117614637809	0.617431432203298	0.675301382126685	0.532651353405315	0.397985979227859			0.847025092288816
C185-109	0.24101	21		0.149057422160086	-0.0632398150361208	0.0494505720390732			0.753763055086335			0.144411316474709	0.138328663086933		0.125371415561853		0.0979073836735604			0.171193992341502
C185-11	0.73272	30		0.683265684066004	0.613672514811103	0.653362847144912			0.808128449435318			0.663886353298168	0.749334430581556	0.646000231365574	0.689179876164247	0.577396260293779	0.703809075843253		0.757976904014177	0.669961684277125
C185-110	0.30198	37		0.124282487487428	-0.0168160119695186	0.00445566286112789			0.744961108285282		0.0489863022953329	0.0120200689104391			0.132444680000018					0.12081739575879
C185-111	0.30694	41						0.454066332987993				0.304369031804319	0.250073178317376		0.224043217595383		0.250288910462908			
C185-113	0.24202	39		0.010995876954224	-0.0533685036236415	-0.0789484345796567		0.218958102310111	0.854420725250941		0.170468820004003	0.220456706434943		0.142900996293425	0.158793942225831	0.0812891928381061	0.0183263014856484			
C185-114	0.42626	85		0.265593598462462	0.189792679656137	0.173888427451061			0.749284555924188		0.27359699493597			0.102872062437342	0.127393842245746	0.280516549777323				
C185-115	0.53584	70		0.591987302381848	0.507148874791755	0.501633645075902		0.588119835766594	0.734465271832163		0.530018338650809			0.511475999977907	0.523814896780861	0.542360019758898				0.515996567050352
C185-116	0.34168	237		0.297427999626616	0.230996259218354															
C185-117	0.47071	51		0.138759889408634	0.0687072853091515				0.742289651404661			0.157215720304959		0.118143627926173	0.190170157269167					0.134865232313505
C185-118	0.31667	37		0.106277166825904	0.0303049579254748	0.0196670810760142		0.119827294491065	0.823243932969875		0.0196872669224656	0.0626325517619612		0.0538293241872503	0.0555131890189501	-0.00172400991774864				0.0732453200507648
C185-119	0.86023	58		0.129966431146436	0.0686565810195328				0.948442014060505				0.440215502862751		0.327275333215093					
C185-12	-0.03988	20		0.0540220959401074	-0.24528430612354	-0.19640358390756			0.750372151335364		0.0735443867972153	-0.0225184690987329	0.02291050938749	-0.152349832581286	-0.123926690336514	-0.0960602605113674	-0.0677364896211995		-0.0648532921019657	-0.0641499110446691
C185-120	0.85965	62		0.0507978859723408	-0.0238377619983602				0.937265228644488			0.00152449966126691								
C185-121	0.75481	179		0.19045328693639	0.179455815472397	0.154288338515155		0.226419378959563	0.90909526718079		0.198466749998049	0.217697905383628	0.271758941800554		0.210414357867507		0.253043788209763			0.197622481215112
C185-122	0.79607	85		0.0336434633459567	0.131356096972853	0.137178094016762		0.108180766726518	0.921915454601418						0.184154460623948					
C185-127	0.41354	54		0.287306188604185	0.272246205849035	0.293320620596898			0.738660604838609				0.423504845264016	0.0903267984479084	0.242936034303617				0.325382393497266	0.391231779844627
C185-128	0.32501	115		0.0572668308787236	0.147866624204273	0.0810461277963396			0.766958656274499		0.174197013002389			0.123271280011198	0.14293447508527					0.21285131233373
