p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	pct_diff
4.43678119197583e-66	-0.643028747489296	1	1	2.45793241254269e-61	Snhg11	0
1.40381317709119e-38	-0.503196365977395	1	1	7.77698461976749e-34	Meg3	0
1.51798646367473e-36	1.75124554221506	0.659	0.192	8.40949321011162e-32	mt-Rnr2	0.467
2.4570511165784e-33	1.80974073601247	0.93	0.872	1.36118174807327e-28	Pcsk1n	0.0580000000000001
8.30629500093087e-30	2.07564328963921	0.692	0.374	4.60160436756569e-25	Atp6v0c	0.318
2.90200591175104e-29	1.64378297527888	0.769	0.543	1.60768225505096e-24	Resp18	0.226
2.65255389914616e-28	-0.815456648351241	0.995	1	1.46948833458798e-23	Asic2	-0.005
4.56900914846759e-28	1.3709520286898	0.632	0.242	2.53118537815956e-23	Cst3	0.39
3.83779431008513e-27	2.10824074441632	0.902	0.854	2.12609966984406e-22	ENSMUSG00000106106	0.048
7.82196390844329e-24	0.788736589375745	0.97	0.959	4.3332897856385e-19	Ly6h	0.011
5.19418240803365e-22	1.52281848172887	0.677	0.429	2.87752511222656e-17	Itm2b	0.248
1.43361499825633e-21	1.42120646824597	0.506	0.164	7.94208372884024e-17	mt-Cytb	0.342
2.82943467223956e-21	1.46977160559101	0.687	0.498	1.56747851407399e-16	Caly	0.189
4.91957753272371e-21	1.38409779665066	0.556	0.237	2.72539675735361e-16	Bsg	0.319
1.33333254594283e-20	1.15969963235414	0.529	0.21	7.38652897126866e-16	Rps29	0.319
3.54908338245258e-19	1.22485130331596	0.436	0.11	1.96615670304491e-14	Rpl23	0.326
4.51407193538426e-19	-1.18265321249516	0.218	0.548	2.50075071148352e-14	Sv2c	-0.33
2.09656905949389e-18	1.29316532642736	0.409	0.091	1.16147829326902e-13	Chchd2	0.318
5.15421973047944e-18	1.23699025366092	0.524	0.219	2.8553861884883e-13	Fau	0.305
8.7202977694599e-18	1.16463714799133	0.541	0.265	4.83095776130309e-13	Rpl9	0.276
1.12495757582585e-17	1.23956206327195	0.469	0.174	6.23215247431765e-13	Rps27a	0.295
