Identity	mean_fc_up	mean_fc_down	n_down_sig	n_up_sig	n_cells_cluster	current_cluster	expressed_genes	pct_activated_genes	Name
C286-178	0.400514312585692	-0.346489733672971	1	21	713	C286-178	24	87.5	C286-178: Lepr.Agrp.GABA-4
C286-226	1.08068736804194		0	3	721	C286-226	4	75	C286-226: Slc24a2.Pex5l.Ermn.Oligodendrocytes
C286-149	0.523776386932089	-0.300609769592049	1	7	488	C286-149	15	46.67	C286-149: Grp.Ppp1r17.GABA-1
C286-139	0.469628453758267		0	6	334	C286-139	17	35.29	C286-139: Myo5b.Sox14.Lef1.GABA-1
C286-151	0.354768950336814	-0.348232561341249	2	3	217	C286-151	9	33.33	C286-151: St18.Lhx6.GABA-1
C286-248	0.414138045435724		0	3	611	C286-248	9	33.33	C286-248: Pdgfra.OPC
C286-62	0.186631422507305	-0.376180980230743	2	2	528	C286-62	6	33.33	C286-62: Nfia.Tcf4.GLU-3
C286-66	0.527928110448027		0	3	286	C286-66	10	30	C286-66: Ntng2.Lef1.Mixed.GLU-4
C286-88	0.175921021733818	-0.344654845327314	1	2	616	C286-88	7	28.57	C286-88: Col19a1.Fign.Foxb1.GLU-8
C286-32	0.247336284915405	-0.532397839344049	1	3	284	C286-32	11	27.27	C286-32: Gpr88.Arhgap36.Fezf1.GLU-3
C286-213	0.5159573934585		0	3	750	C286-213	11	27.27	C286-213: Rgs6.Trpm3.Etnppl.Astrocytes
C286-142	0.386512015827042	-0.429902101583816	1	4	210	C286-142	16	25	C286-142: Reln.Lef1.GABA-1
C286-130	0.473142638760981	-0.586394868975843	1	3	295	C286-130	13	23.08	C286-130: Tbx19.Il1rapl2.GABA-1
C286-174	0.236905534523307	-0.417603428168944	1	3	326	C286-174	13	23.08	C286-174: Trh.Nkx2-4.GABA-3
C286-45	0.148345942336242	-0.230156768065053	3	3	980	C286-45	13	23.08	C286-45: Rai14.Hmcn2.Gpr149.GLU-3
C286-157	0.293062935518447	-0.174316246928553	2	4	319	C286-157	18	22.22	C286-157: Hdc.GABA-1
C286-186	0.173830225819549	-0.35753894058836	1	2	599	C286-186	9	22.22	C286-186: Abi3bp.Meis2.GABA-5
C286-159	0.277165138116962		0	2	356	C286-159	9	22.22	C286-159: Crabp1.Sytl4.Tbx3.GABA-1
C286-175	0.383347703864518	-0.481593691309734	1	3	314	C286-175	14	21.43	C286-175: Ghrh.GABA-3
C286-143	0.681880232014535		0	3	284	C286-143	14	21.43	C286-143: Gal.Hmcn1.GABA-1
C286-71	0.840050208350804		0	6	154	C286-71	30	20	C286-71: Lpar1.GLU-4
C286-53	0.212300334293184	-0.152100364641971	1	2	471	C286-53	10	20	C286-53: Adamts9.Fezf1.Gpr149.GLU-3
C286-25	0.222478640445987	-0.235693300034351	1	2	576	C286-25	11	18.18	C286-25: Pde11a.Foxb1.GLU-2
C286-150	0.926412768359439		0	3	110	C286-150	17	17.65	C286-150: Dlx6os1.Ppp1r17.GABA-1
C286-78	0.212412190829797	-0.563207431288376	2	2	367	C286-78	12	16.67	C286-78: Tac2.GLU-5
C286-30	0.233108173202512	-0.352992908476402	1	2	285	C286-30	12	16.67	C286-30: Gpr149.Unassigned.Fezf1.GLU-3
C286-234	1.59252734229776		0	1	203	C286-234	6	16.67	C286-234: Anln.Klk6.Ermn.Oligodendrocytes
C286-51	0.22497531116586	-0.291137546303422	2	2	544	C286-51	13	15.38	C286-51: Nr5a1.Hmcn2.Gpr149.GLU-3
C286-146	0.447714208700893		0	2	184	C286-146	13	15.38	C286-146: Zfp804b.Hmcn1.GABA-1
C286-91	0.433911534933069		0	3	160	C286-91	21	14.29	C286-91: Prkch.GLU-8
C286-135	0.422403474930795	-0.406444571462363	2	2	350	C286-135	14	14.29	C286-135: Npsr1.Tmem114.Lef1.GABA-1
C286-8	0.372338406946887	-0.23678480390144	1	2	262	C286-8	14	14.29	C286-8: Stk26.Nxph4.GLU-2
C286-141	0.581739734357742	-0.475249416458223	2	2	251	C286-141	16	12.5	C286-141: Barhl2.Lef1.GABA-1
C286-179	0.506107454636404		0	2	148	C286-179	16	12.5	C286-179: Ptprk.Npy.Sst.GABA-4
C286-181	0.297597421011667	-0.432373218697025	1	1	348	C286-181	8	12.5	C286-181: Il1rapl2.Otp.Sst.GABA-4
C286-133	0.348709664708521		0	1	366	C286-133	8	12.5	C286-133: Epha3.Il1rapl2.GABA-1
C286-80	0.308696389386183	-0.490969436014106	1	1	298	C286-80	9	11.11	C286-80: Gpc3.Bace2.GLU-5
C286-195	0.542005730206075		0	2	125	C286-195	19	10.53	C286-195: Slc6a3.Satb2.GABA-6
C286-46	0.277563215892111		0	2	207	C286-46	19	10.53	C286-46: Slit3.Hmcn2.Gpr149.GLU-3
C286-199	0.832027459922935		0	1	149	C286-199	10	10	C286-199: Rassf9.Tgfb2.Tanycytes
C286-86	0.358433782000637		0	1	389	C286-86	10	10	C286-86: Myo5b.Postn.Foxb1.GLU-8
C286-158	0.222882288510599	-0.405532012992159	1	1	390	C286-158	11	9.09	C286-158: Vgll3.Tbx3.GABA-1
C286-125	0.387721520763		0	1	77	C286-125	11	9.09	C286-125: Grp.Cd24a.Lhx1.GABA-2
C286-126	0.876954873668816		0	1	52	C286-126	11	9.09	C286-126: Nkd1.Cd24a.Lhx1.GABA-2
C286-211	1.1087526168747		0	1	145	C286-211	11	9.09	C286-211: Notch2.Gjb6.Etnppl.Astrocytes
C286-98	0.199780753978899	-0.568825086114307	1	1	240	C286-98	12	8.33	C286-98: Pou6f2.Unassigned.Mixed.GABA-2
C286-38	0.289519973981212	-0.33715085410955	1	1	385	C286-38	12	8.33	C286-38: Satb2.Cd40.GLU-3
C286-238	1.21203962821745		0	1	126	C286-238	12	8.33	C286-238: Synpr.Mal.Ermn.Oligodendrocytes
C286-34	0.209949768022027		0	1	252	C286-34	12	8.33	C286-34: Egflam.Unassigned.Fezf1.GLU-3
C286-90	0.362058186100744		0	1	380	C286-90	12	8.33	C286-90: Epha8.Foxb1.GLU-8
C286-5	0.168600587327363	-0.527556510905868	2	1	338	C286-5	13	7.69	C286-5: Slc6a3.Pitx2.Irx5.GLU-2
C286-132	0.360306696796782	-0.48239561055263	1	1	263	C286-132	13	7.69	C286-132: Vcan.Col6a1.Il1rapl2.GABA-1
C286-119	0.747384951746423		0	1	204	C286-119	13	7.69	C286-119: Etv1.Pmfbp1.Onecut2.GABA-2
C286-134	0.163706194892785		0	1	303	C286-134	13	7.69	C286-134: Pthlh.Il1rapl2.GABA-1
C286-196	1.22602635398245		0	1	174	C286-196	13	7.69	C286-196: Nr5a2.Satb2.GABA-6
C286-89	0.441549316029701		0	1	120	C286-89	13	7.69	C286-89: Eya4.Fign.Foxb1.GLU-8
C286-60	0.173947225720096	-0.459521389506081	1	1	235	C286-60	14	7.14	C286-60: Tac1.Vcan.GLU-3
C286-168	0.265407630537253		0	1	113	C286-168	14	7.14	C286-168: Ecel1.Nts.GABA-1
C286-102	0.477829771188972	-0.344712765496348	1	1	144	C286-102	15	6.67	C286-102: Unassigned.C1ql2.Mixed.GABA-2
C286-117	0.238811731633451	-0.621303836808834	2	1	194	C286-117	16	6.25	C286-117: Zic1.Onecut3.Onecut2.GABA-2
C286-15	0.140138897078949	-0.540736560519113	1	1	177	C286-15	16	6.25	C286-15: Sncg.Ebf1.Trh.GLU-2
C286-140	0.442605237321391		0	1	96	C286-140	16	6.25	C286-140: Npsr1.Sox14.Lef1.GABA-1
C286-94	0.607493763538234		0	1	109	C286-94	16	6.25	C286-94: Nfix.Thrsp.Mixed.GABA-2
C286-170	0.408435262297915	-1.01407899180038	1	1	153	C286-170	17	5.88	C286-170: Dlx1.Gal.Nts.GABA-1
C286-167	0.405997060417065	-1.18761806953318	1	1	122	C286-167	18	5.56	C286-167: Hmx2.Gal.Nts.GABA-1
C286-65	0.230147924285312	-0.673007995080969	1	1	247	C286-65	18	5.56	C286-65: Tac1.Lef1.Mixed.GLU-4
C286-212	0.474841310774417		0	1	102	C286-212	18	5.56	C286-212: Pla2g7.Trpm3.Etnppl.Astrocytes
C286-147	0.208304275854491	-0.413858412402369	1	1	314	C286-147	19	5.26	C286-147: Gal.Crh.GABA-1
C286-137	0.237939212892308		0	1	116	C286-137	20	5	C286-137: Fign.Lef1.GABA-1
C286-87	0.598869312005339		0	1	128	C286-87	20	5	C286-87: Nid1.Postn.Foxb1.GLU-8
C286-116	0.271200225937749	-0.368829301258628	1	1	225	C286-116	21	4.76	C286-116: Shisal2b.Onecut3.Onecut2.GABA-2
C286-22	0.504677740857203		0	1	67	C286-22	21	4.76	C286-22: Tbr1.Meis2.Samd3.GLU-2
C286-148	0.234840631314437		0	1	104	C286-148	23	4.35	C286-148: Nts.Crh.GABA-1
C286-58	0.169174151905321	-0.360899348742508	1	1	117	C286-58	26	3.85	C286-58: Nr5a2.C1ql2.Gpr149.GLU-3
C286-185	0.41023627616207		0	1	70	C286-185	27	3.7	C286-185: Pou3f1.Sst.GABA-4
C286-218		-1.46030431787983	2	0	42	C286-218	17	0	C286-218: Rhcg.Gjb6.Etnppl.Astrocytes
C286-268		-0.876865367875322	1	0	57	C286-268	14	0	C286-268: Cga.ParsTuber
C286-76		-0.855601048737788	1	0	255	C286-76	12	0	C286-76: Glipr1.Pomc.GLU-5
C286-75		-0.617195848674671	3	0	194	C286-75	20	0	C286-75: Anxa2.Pomc.GLU-5
C286-187		-0.594168924392295	1	0	104	C286-187	13	0	C286-187: Satb1.Meis2.GABA-5
C286-6		-0.57531231236323	1	0	330	C286-6	12	0	C286-6: Nts.Irx5.GLU-2
C286-160		-0.572538860982381	1	0	158	C286-160	8	0	C286-160: Pou6f2.Sytl4.Tbx3.GABA-1
C286-97		-0.568446527411748	1	0	239	C286-97	16	0	C286-97: Zic3.Unassigned.Mixed.GABA-2
C286-131		-0.564576679855074	1	0	148	C286-131	14	0	C286-131: Satb1.Col6a1.Il1rapl2.GABA-1
