p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	pct_diff
9.41564731944845e-78	2.61446630040423	0.987	0.845	5.21617445850125e-73	Pcsk1n	0.142
9.93055556368569e-59	-1.49634613133991	0.203	0.797	5.50142847672624e-54	Myrip	-0.594
1.39824902778408e-57	-0.890871131990512	0.989	0.996	7.746159789021e-53	Asic2	-0.00700000000000001
5.86751066535049e-55	-1.48098128670186	0.392	0.888	3.25054223349752e-50	N4bp2l1	-0.496
1.82681933027977e-52	-1.63895506127137	0.501	0.931	1.01203964078169e-47	Pde10a	-0.43
2.3279795637501e-52	-1.49012776038476	0.458	0.905	1.28967739852192e-47	Lepr	-0.447
7.31468748405141e-52	-0.453663805754121	1	1	4.05226371928964e-47	Snhg11	0
5.98709889636984e-50	1.9433636701324	0.74	0.22	3.31679291759993e-45	mt-Rnr2	0.52
2.02305394377176e-49	-1.14246026470347	0.13	0.672	1.12075165431012e-44	Zbtb16	-0.542
3.20154779055466e-47	-1.1738160433564	0.143	0.698	1.77362546048937e-42	ENSMUSG00000118193	-0.555
8.92189762309409e-45	1.32760013953151	0.981	0.974	4.9426420642179e-40	Ly6h	0.00700000000000001
3.21723519162293e-43	2.28841160116524	0.753	0.384	1.78231612380719e-38	Atp6v0c	0.369
1.57772919813692e-42	-0.849342483401358	0.904	0.987	8.74046198475873e-38	Tnik	-0.083
2.58434450265364e-42	1.94961736472337	0.729	0.349	1.43170101102509e-37	Cst3	0.38
1.52859466398518e-41	-1.14040973381617	0.548	0.927	8.46826157901148e-37	Ncoa2	-0.379
1.44118937624636e-40	2.25751451989194	0.891	0.772	7.98404502546719e-36	Resp18	0.119
7.58050940742111e-39	-0.940153478449771	0.03	0.409	4.19952640661722e-34	Fam107b	-0.379
2.44772668924405e-36	-1.58809965133333	0.29	0.737	1.35601610857431e-31	Sorcs1	-0.447
2.7666416849937e-36	-1.11710476561111	0.493	0.892	1.53269182706966e-31	Fstl4	-0.399
3.67287028963822e-36	-1.17867693544419	0.533	0.905	2.03473341175668e-31	Asap1	-0.372
9.62288031630149e-36	1.73237521797132	0.682	0.315	5.33097946642786e-31	Bsg	0.367
2.760388222643e-35	-1.14718990062032	0.139	0.573	1.52922747146199e-30	1700016P03Rik	-0.434
3.42914296383972e-35	-0.820032220328844	0.977	0.996	1.89971091053757e-30	Ghr	-0.019
1.7128109732282e-33	-0.756459000414604	0.066	0.461	9.48880151058692e-29	Chd7	-0.395
2.30040969010524e-33	1.91804548776345	0.938	0.931	1.2744039642214e-28	ENSMUSG00000106106	0.0069999999999999
2.63073258047631e-33	-1.14252565170523	0.22	0.681	1.45739954225807e-28	Pex5l	-0.461
8.97008197401972e-33	-1.15911341516987	0.426	0.819	4.96933571278719e-28	Rasgef1b	-0.393
