p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	pct_diff
1.57944681804681e-126	-2.07539244106855	0.754	0.981	9.06002283768011e-122	Pcsk1n	-0.227
2.53379346344428e-90	-0.936159221661463	0.987	0.999	1.45343460650091e-85	Gnas	-0.012
8.85830576192122e-79	1.92327711185199	0.997	0.998	5.08130135115325e-74	mt-Rnr2	-0.001
1.32191276557814e-76	1.06624778625434	0.993	0.99	7.58275600590935e-72	Scg2	0.003
5.88373759966684e-73	1.84218470433999	0.351	0.034	3.37502956192089e-68	Xist	0.317
3.17420731541863e-64	1.08545558173287	0.974	0.947	1.82078880027043e-59	Hspa5	0.027
4.42671067027615e-59	0.934516268060913	0.984	0.947	2.53924977468381e-54	Snhg11	0.037
1.22105345400435e-56	-1.42480165328687	0.377	0.842	7.00420682285978e-52	Nenf	-0.465
5.09066244571107e-55	0.944648464373335	0.993	0.988	2.92010579210879e-50	Agrp	0.005
1.53568743825289e-49	-0.767391609990951	0.866	0.985	8.80901028330621e-45	Slc25a4	-0.119
1.66301215870508e-48	-1.34933909627073	0.187	0.697	9.53937034476408e-44	Eif3f	-0.51
6.29226921212619e-46	0.755337581363771	0.984	0.983	3.60937146545983e-41	Npy	0.001
3.39814619102519e-45	-1.18436497470768	0.148	0.646	1.94924461809587e-40	Ptov1	-0.498
3.83957440873187e-44	-0.479897971207376	0.997	0.999	2.20245667233678e-39	Hsp90ab1	-0.002
2.11392571401725e-43	-0.954179687848972	0.787	0.952	1.21259006807457e-38	Rps14	-0.165
2.88317743464374e-43	-0.862997450478949	0.731	0.943	1.65384824006034e-38	Fkbp3	-0.212
1.34522321428203e-42	0.762388209584311	0.99	0.946	7.71646940176457e-38	Meg3	0.044
1.4060354856479e-42	-1.14834089043276	0.364	0.797	8.06530075277351e-38	Chchd10	-0.433
4.21565973488095e-41	-0.844676349757357	0.734	0.951	2.41818673712241e-36	Rpl8	-0.217
1.35494214241647e-39	-1.39795208923011	0.108	0.554	7.77221911732934e-35	Tatdn1	-0.446
2.04650129155559e-39	-1.03508391894767	0.331	0.793	1.17391407086212e-34	Rps2	-0.462
2.89147529185784e-39	1.57294038769183	0.636	0.36	1.65860805691549e-34	Vgf	0.276
4.1775455331794e-39	-1.09576462503638	0.079	0.521	2.39632366874237e-34	Cnih2	-0.442
4.05731619916688e-38	-1.04330634052095	0.036	0.447	2.3273577181661e-33	Scand1	-0.411
4.39291154141998e-38	-0.658299324679637	0.875	0.973	2.51986191838933e-33	Cox4i1	-0.098
2.85038500843753e-37	-1.06009036549173	0.111	0.546	1.63503784853994e-32	Tprgl	-0.435
8.68128871476144e-37	-1.21206601045062	0.043	0.445	4.97976083256146e-32	Sez6	-0.402
1.46879780467435e-36	-0.576876473487966	0.941	0.995	8.42531796717303e-32	Ttc3	-0.0540000000000001
1.47069913446778e-36	-1.05804572905311	0.262	0.716	8.43622437513409e-32	Ypel3	-0.454
3.64692027144267e-36	-0.568828734358521	0.99	0.999	2.09194640610494e-31	mt-Cytb	-0.00900000000000001
1.25795470441211e-35	-1.07573746211568	0.033	0.425	7.21587977544874e-31	Rps13-ps2	-0.392
1.94883287783572e-35	-0.896591780507597	0.115	0.548	1.11788951538413e-30	Arf5	-0.433
2.89895991138528e-35	-1.11142240141289	0.095	0.516	1.66290138436882e-30	Gpx1	-0.421
3.02492576734172e-35	-1.02863870642817	0.167	0.619	1.73515791866256e-30	Bag1	-0.452
3.45864251832633e-35	-0.853863055844206	0.613	0.883	1.98394652136235e-30	Rps9	-0.27
1.01587707919665e-34	-0.909338404684181	0.102	0.526	5.82727410168781e-30	Coprs	-0.424
2.35117335180954e-34	-0.927780717995448	0.252	0.696	1.34868005806499e-29	Marcksl1	-0.444
2.65962873582215e-34	-0.740800998137476	0.79	0.936	1.5256162354423e-29	Rps3	-0.146
2.85901608007144e-34	-0.640771237326462	0.803	0.966	1.63998880385058e-29	6330403K07Rik	-0.163
2.36939676466342e-33	-1.09616522434767	0.213	0.626	1.35913337214623e-28	Evi5	-0.413
5.39034489427538e-33	-0.930000611267388	0.108	0.513	3.09200963825424e-28	Abhd8	-0.405
1.00811112103642e-32	-0.887012437325919	0.344	0.77	5.78272701248913e-28	Tagln3	-0.426
2.41876540523101e-32	-0.931761516225032	0.256	0.693	1.38745221174861e-27	Map1lc3a	-0.437
3.26370735748018e-32	-0.986426308356156	0.095	0.499	1.87212781439778e-27	Tppp3	-0.404
6.5222910175291e-32	-0.799721569229621	0.662	0.904	3.74131657347504e-27	Rpl14	-0.242
6.59913182121001e-32	-0.867732837512642	0.341	0.761	3.78539399528249e-27	Cox7a2l	-0.42
7.66901969063288e-32	-0.908723760576228	0.141	0.555	4.39910307494083e-27	Glrx5	-0.414
7.86262722540507e-32	-0.90346013817459	0.377	0.783	4.51016022903686e-27	Stip1	-0.406
1.54621957946205e-31	-0.871879320931536	0.187	0.624	8.86942475171023e-27	Rnf187	-0.437
1.60257332453115e-31	-0.916712259403414	0.082	0.466	9.1926811041756e-27	Gm5963	-0.384
2.24619691094184e-31	-0.815152784174555	0.377	0.81	1.28846347205446e-26	Slc22a17	-0.433
2.38032470399918e-31	-0.936274420779391	0.151	0.56	1.36540185670801e-26	Aldoc	-0.409
3.73209346032321e-31	-0.84098369450208	0.331	0.758	2.1408034507106e-26	Mtch1	-0.427
5.18640165458882e-31	-0.555552775828287	0.961	0.99	2.97502371710524e-26	Atp1b1	-0.029
7.91661643643568e-31	-0.887262970728572	0.098	0.485	4.54112952026823e-26	Pdxp	-0.387
9.41001548794332e-31	-0.865383078279638	0.033	0.392	5.39777308419405e-26	Gm29228	-0.359
9.55844986754735e-31	-0.843292655984631	0.416	0.815	5.48291801302251e-26	Hnrnpc	-0.399
1.07191540336321e-30	-0.953609662682148	0.016	0.354	6.14872113677204e-26	Gm19244	-0.338
1.83024655380668e-30	-0.826042913602665	0.105	0.501	1.04986602819459e-25	Cib2	-0.396
3.56637495644766e-30	-0.884270884203188	0.131	0.519	2.0457440025175e-25	Polr2m	-0.388
4.41979194756224e-30	-0.615530084937601	0.787	0.963	2.53528105696065e-25	Stmn3	-0.176
4.60435326497392e-30	-0.895702449689789	0.351	0.759	2.64114911985434e-25	Gnb2	-0.408
9.56725598806297e-30	-0.756438779442052	0.298	0.725	5.48796937987268e-25	Bmerb1	-0.427
1.47232563137292e-29	-0.793578937483822	0.095	0.487	8.44555428668136e-25	Ptms	-0.392
1.5305917185705e-29	-0.836208135147613	0.052	0.405	8.77978021606409e-25	Rps10-ps1	-0.353
2.44981302936977e-29	-0.832249401109085	0.357	0.778	1.40526174990709e-24	Ywhah	-0.421
