p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	pct_diff
3.28316566616525e-08	2.0039235679361	1	1	0.00188328948942571	mt-Rnr2	0
0.000591991548453986	0.608046113834197	1	1	1	Meg3	0
0.000901607987610102	0.540132719260377	1	1	1	Snhg11	0
0.00115425276051776	-2.77760757866355	0.667	1	1	Gnas	-0.333
0.00198514641375303	1.3743955147815	1	0.286	1	Tnik	0.714
0.00261069615210287	1.04182017569463	1	0.714	1	Syt4	0.286
0.00471888662685795	0.444784842672896	1	1	1	Malat1	0
0.0146845348870955	-2.34914956362239	1	1	1	Slc25a4	0
0.0152893690931957	0.536501011764511	1	0.857	1	Syt1	0.143
0.0288739891215999	-2.28856949794093	0.333	1	1	Stmn3	-0.667
0.0315028592132358	1.05246741989414	1	0.286	1	Zfp612	0.714
0.0337819432670389	-2.1926450779424	0.667	1	1	Fkbp3	-0.333
0.0342237020039635	-1.89308479608349	0	0.857	1	Ubl5	-0.857
0.0353038361743567	-1.94753258010586	0	0.857	1	Paip2	-0.857
0.0354817623349916	0.637429920615292	1	0.714	1	Atp6v0d1	0.286
0.0361526143305684	-2.02553509210714	0.333	0.857	1	Hp1bp3	-0.524
0.0374961387229027	0.485426827170242	1	0.857	1	Syt11	0.143
0.0391214588310278	-1.93218461577243	1	1	1	mt-Cytb	0
0.0400698294713181	0.691877704637668	0.667	0.571	1	Hspa9	0.0960000000000001
0.040257140884045	1.75290713803523	1	0.571	1	mt-Rnr1	0.429
0.0408269528389842	-3.01282404035758	0.333	0.857	1	Pcsk1n	-0.524
0.0457508340598584	0.959358015502654	0.667	0.571	1	Ube3a	0.0960000000000001
0.0464898615069057	0.719892080807265	1	0.429	1	Sf3b1	0.571
0.0516813373455148	-2	0	0.714	1	Tceal3	-0.714
0.0559541612141671	0.485426827170242	1	0.571	1	Pcdh9	0.429
0.0574364452898622	0.222392421336448	1	0.571	1	Zfr	0.429
0.0580270859156422	0.511899038531433	1	0.714	1	Pnisr	0.286
0.0581633198995011	0.594361198723406	0.667	0.857	1	Prkacb	-0.19
0.0608401987792102	-1.89308479608349	0	0.714	1	Ndufa12	-0.714
0.063037736183506	-1.77760757866355	0.333	1	1	Bsg	-0.667
0.0695805680198043	0.0703893278913976	1	0.714	1	Gad2	0.286
0.0701165260183909	-1.82200169802201	0.333	0.857	1	Psma2	-0.524
0.0719568465255026	-1.77760757866355	0.333	1	1	Uqcrq	-0.667
0.0726367844875985	0.222392421336448	1	0.714	1	Uqcr10	0.286
0.0758219954804013	-1.86507041991389	0.333	1	1	Rpl4	-0.667
0.075983203493066	-1.68449817427207	0.333	1	1	Cst3	-0.667
0.0768673238166985	-1.90689059560852	0.333	0.857	1	Dynlrb1	-0.524
0.0824988782921911	-1.68449817427207	0.333	1	1	Spcs1	-0.667
0.086346383889264	0.222392421336448	1	1	1	Tspan7	0
0.0878508598299361	-1.71620703399941	0	0.714	1	Gadd45gip1	-0.714
0.0879271894821601	0.637429920615292	1	0.571	1	Vcp	0.429
0.0955182152862518	-1.77760757866355	0.333	0.857	1	Eid1	-0.524
0.096105049929532	1.05246741989414	0.667	0.286	1	Unc5d	0.381
0.0970822368796868	-1.73180388905043	0.333	0.857	1	Slc22a17	-0.524
0.0985234744601668	0.304854581528421	1	0.571	1	Macf1	0.429
0.103613785845667	-1.65207669657969	0	0.857	1	Fam216a	-0.857
0.104339677639983	-1.71620703399941	0	0.714	1	Tceal9	-0.714
0.1044811116435	0.32930762525296	0.667	0.571	1	Usp22	0.0960000000000001
0.10558182109029	-1.89308479608349	0	0.714	1	Eif3a	-0.714
0.106526058934502	0.900464326449086	0.667	0.286	1	Srek1	0.381
0.107170343058539	0.521952703195356	0.667	0.429	1	Fxr1	0.238
0.10920715561247	0.85982234195174	0.667	0.286	1	Ewsr1	0.381
0.109574233647265	-1.65207669657969	0	0.857	1	Nbdy	-0.857
0.110200660132094	0.637429920615292	0.667	0.286	1	Rabgap1	0.381
0.112000008937851	-1.36257007938471	0	1	1	Vps28	-1
0.114465039854597	-1.65207669657969	0	0.714	1	Atp5d	-0.714
0.114525648504825	-1.47804729680464	0.333	1	1	Bmerb1	-0.667
0.114818624049615	0.521952703195356	1	0.286	1	Psmc1	0.714
0.117883635792351	-1.51457317282976	0	0.857	1	Mpc2	-0.857
0.120010664746462	-1.71620703399941	0	0.714	1	Erp29	-0.714
0.120706598632135	0.637429920615292	0.667	0.286	1	Dbi	0.381
0.123696804229833	-1.58496250072116	0	0.857	1	Syt5	-0.857
0.124391525885436	-1.51457317282976	0	0.857	1	Ypel3	-0.857
0.12496800916211	0.570315724756755	0.667	0.429	1	Cnrip1	0.238
0.125381885843636	0.222392421336448	1	0.571	1	Atxn7l3b	0.429
0.125540746710985	0.85982234195174	0.667	0.143	1	Mcfd2	0.524
0.12581923985149	0.485426827170242	1	0.857	1	Hap1	0.143
0.126090974825591	0.570315724756755	0.667	0.571	1	Eprs	0.0960000000000001
0.126883975389587	0.374395514781498	1	0.857	1	Uqcrfs1	0.143
0.12886823688201	-1.28010791919274	0	0.857	1	Arl2bp	-0.857
0.132704042649426	0.222392421336448	0.667	0.429	1	Clcn3	0.238
0.133586941292818	-1.58496250072116	0	0.714	1	Ube2k	-0.714
0.136268034555646	0.807354922057604	0.667	0.429	1	Egr1	0.238
0.136281381024337	0.637429920615292	0.667	0.286	1	Slc6a6	0.381
0.137833891518005	0.932885804141463	0.333	0.429	1	Dst	-0.096
0.13908942732818	-1.64267799857744	0.667	1	1	Tubb2a	-0.333
0.140689278006661	-1.47804729680464	0.333	0.857	1	Top1	-0.524
0.141211757081819	-1.71620703399941	0	0.714	1	Atl1	-0.714
0.141240341771548	0.222392421336448	1	0.571	1	Mia3	0.429
0.141912727476546	-1.44057259138598	0.667	1	1	Uchl1	-0.333
0.142093967133395	-1.75161237013061	1	1	1	Cox6c	0
0.144116624643606	-1.47804729680464	0.333	1	1	Prdx1	-0.667
0.144959391446809	-1.84369676912132	1	0.857	1	App	0.143
0.148443576077134	-1.77760757866355	0.333	0.714	1	Tcaf1	-0.381
0.148490855917983	0.807354922057604	0.667	0.143	1	Bace1	0.524
0.149914213494325	0.485426827170242	0.667	0.286	1	Psmd13	0.381
0.151674932522161	0.691877704637668	0.667	0.429	1	Gpi1	0.238
0.153549654712787	-1.36257007938471	0	0.857	1	Kcnc1	-0.857
0.155324056074182	1.05246741989414	0.667	0.143	1	Ids	0.524
0.156772214650158	-1.51457317282976	0	0.571	1	Dnajc2	-0.571
0.157821000436783	0.32930762525296	0.667	0.571	1	Ubtf	0.0960000000000001
0.158324686551937	-1.54314232502653	0.667	0.857	1	Elob	-0.19
0.158984168750957	-1.53249508082702	0.333	0.857	1	Nenf	-0.524
0.159210473321699	-0.383328639551506	1	1	1	Scg2	0
0.160206433944835	0.347923303420307	0.667	0.429	1	Fbxo44	0.238
0.160481240127506	0.158262083916732	0.667	0.571	1	Ddx5	0.0960000000000001
0.160546205217516	-1.47804729680464	0.333	0.857	1	Rps19	-0.524
0.163259152115152	-1.71620703399941	0	0.571	1	Cfap36	-0.571
0.163440298639083	0.584962500721156	0.667	0.286	1	Rock2	0.381
0.163770711305107	0.570315724756755	1	0.286	1	Kidins220	0.714
