p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	pct_diff
3.28040379787585e-245	-2.96109926466025	0.754	0.981	1.88170522653755e-240	Pcsk1n	-0.227
3.85792272555658e-169	-2.04008526753532	0.987	0.999	2.21298163383376e-164	Gnas	-0.012
3.04131750113352e-125	-1.64759149033472	0.99	0.999	1.74456054500021e-120	mt-Cytb	-0.00900000000000001
1.82985191918414e-117	-1.71582519982276	0.866	0.985	1.0496396578824e-112	Slc25a4	-0.119
2.31134349121617e-115	-1.63881190249359	0.997	0.999	1.32583285343142e-110	Hsp90ab1	-0.002
5.28074124605301e-112	-1.63655187622199	0.961	0.99	3.02913879356093e-107	Atp1b1	-0.029
5.13376261560081e-110	-1.70556341221804	0.875	0.973	2.94482891156094e-105	Cox4i1	-0.098
3.82964022052937e-109	-1.88749073370722	0.787	0.952	2.19675822330006e-104	Rps14	-0.165
6.72224535576435e-104	-1.77194899074912	0.731	0.943	3.85601438097355e-99	Fkbp3	-0.212
5.99297160503891e-103	-1.56522801837444	0.941	0.995	3.43768837208242e-98	Ttc3	-0.0540000000000001
1.03121734584556e-99	-1.6942356987012	0.734	0.951	5.91526893923928e-95	Rpl8	-0.217
4.53195429483768e-99	-1.77062919448078	0.377	0.842	2.59961962260479e-94	Nenf	-0.465
7.71126382540229e-94	-1.62125671692275	0.803	0.966	4.42333515552726e-89	6330403K07Rik	-0.163
8.66317871260884e-94	-1.56243023579112	0.951	0.992	4.96937257312668e-89	Nap1l5	-0.041
1.4548458510362e-93	-1.68244716084768	0.79	0.936	8.34528677071384e-89	Rps3	-0.146
2.30764286287958e-93	-1.50710703464193	0.787	0.963	1.32371009900498e-88	Stmn3	-0.176
4.36249000445122e-91	-1.50719614542172	0.97	0.997	2.50241151635331e-86	Calm1	-0.027
4.92304816041118e-91	-1.72658466234254	0.662	0.904	2.82395888577506e-86	Rpl14	-0.242
6.00979320007876e-91	-1.46848205994966	0.944	0.989	3.44733757542918e-86	Cst3	-0.045
1.55677782249142e-89	-1.41703726529175	0.977	0.997	8.92998894537529e-85	mt-Nd1	-0.02
5.0114296304793e-87	-1.625762064683	0.613	0.883	2.87465626463553e-82	Rps9	-0.27
1.90845567746494e-86	-1.5669432678653	0.79	0.954	1.09472834570744e-81	Rps5	-0.164
2.02294606906957e-86	-1.58323803804924	0.754	0.938	1.16040232413968e-81	Chchd2	-0.184
2.30817476786239e-84	-1.53884351827629	0.803	0.962	1.32401521034122e-79	Rpl4	-0.159
7.91559391877814e-82	-1.58834915983426	0.364	0.797	4.54054298368951e-77	Chchd10	-0.433
9.28072316009238e-76	-1.46457917215567	0.8	0.952	5.32360841909219e-71	Cited1	-0.152
1.07491861222716e-75	-1.37260833648376	0.82	0.957	6.16594814345743e-71	Hsp90aa1	-0.137
1.79975367913042e-75	-1.27711945015198	0.915	0.983	1.03237470542279e-70	mt-Nd4	-0.068
7.73835206936363e-73	-1.44954820618262	0.331	0.793	4.43887351402836e-68	Rps2	-0.462
4.13442099639442e-72	-1.41404917007775	0.83	0.948	2.37158657195177e-67	Ly6h	-0.118
2.19870046809622e-71	-1.46971662076977	0.57	0.836	1.26121856250936e-66	Uqcrh	-0.266
1.74281290993584e-70	-1.41184024379578	0.482	0.85	9.99712341397398e-66	Hsph1	-0.368
2.9473705777411e-69	-1.43264409855648	0.636	0.864	1.69067071080385e-64	Cox7a2	-0.228
3.73665653224204e-68	-1.35434257742574	0.869	0.957	2.14342092002468e-63	Fth1	-0.088
4.1033417921597e-68	-1.33766290150594	0.603	0.874	2.35375891881865e-63	G3bp2	-0.271
6.13395821642443e-68	-1.32898722020432	0.554	0.849	3.51856111210538e-63	Eid1	-0.295
2.0179214195606e-67	-1.35553380330406	0.416	0.815	1.15752008468835e-62	Hnrnpc	-0.399
3.23369640022623e-67	-1.26306561306308	0.721	0.921	1.85491292909777e-62	Arl6ip1	-0.2
1.17299281812871e-66	-1.23347069461875	0.997	0.999	6.72852140334991e-62	Resp18	-0.002
5.15297994471715e-66	-1.48689488345688	0.702	0.885	2.95585235588865e-61	Rpl32	-0.183
1.44283184006096e-65	-1.28907615542099	0.692	0.882	8.27637200095768e-61	Atp5pb	-0.19
1.63981980533469e-65	-1.3390442402894	0.784	0.926	9.40633436736082e-61	Bex3	-0.142
3.96887616551035e-65	-1.3093677497126	0.485	0.825	2.27662674606005e-60	Mrfap1	-0.34
4.99084424529618e-65	-1.35928406014187	0.59	0.867	2.8628480759868e-60	Gng3	-0.277
7.78246326850775e-65	-1.35602124145073	0.511	0.825	4.46417658008142e-60	Ndufa6	-0.314
9.23359216268593e-65	-1.31274024029947	0.849	0.938	5.2965731363599e-60	Gap43	-0.089
1.75326770706891e-64	-1.44190898061744	0.597	0.842	1.00570942212887e-59	Rps19	-0.245
2.79299392993306e-64	-1.31301420074852	0.331	0.758	1.6021171780882e-59	Mtch1	-0.427
3.3307258932354e-64	-1.24237045172237	0.377	0.81	1.91057098687769e-59	Slc22a17	-0.433
3.53684432313735e-64	-1.4101678977859	0.187	0.697	2.02880464063805e-59	Eif3f	-0.51
7.41068819060303e-64	-1.2780324428595	0.544	0.847	4.25091895989371e-59	Cacybp	-0.303
7.8717445194014e-64	-1.43578242003244	0.669	0.888	4.51539009121903e-59	Rpl26	-0.219
1.53360230651609e-63	-1.22585606946818	0.708	0.923	8.79704955063757e-59	Atp5b	-0.215
4.04877879307119e-63	-1.30724446193679	0.416	0.79	2.3224604912815e-58	2210016L21Rik	-0.374
6.72077705169388e-63	-1.33317532783562	0.623	0.869	3.85517213239264e-58	Cox6b1	-0.246
1.6386493752547e-62	-1.29592565758161	0.8	0.928	9.399620546336e-58	Ndufa4	-0.128
1.90792395060734e-62	-1.30776794805026	0.511	0.833	1.09442333654738e-57	Hsbp1	-0.322
2.16541563830469e-62	-1.44499387364109	0.685	0.867	1.24212571844434e-57	Rps24	-0.182
2.32853694950421e-62	-1.20208499633616	0.505	0.831	1.3356953649746e-57	Tmem50a	-0.326
2.39758504581279e-62	-1.30698843323694	0.377	0.783	1.37530273397914e-57	Stip1	-0.406
2.42376857082153e-62	-1.21274088415931	0.882	0.961	1.39032212759465e-57	mt-Nd2	-0.079
2.48960129588817e-62	-1.23529230764135	0.872	0.964	1.42808509534737e-57	Celf4	-0.092
3.4830219650876e-62	-1.31412629171299	0.341	0.761	1.99793105961355e-57	Cox7a2l	-0.42
3.79036475463297e-62	-1.23770304214869	0.692	0.881	2.17422903055256e-57	Psmb1	-0.189
9.61532652295894e-62	-1.30043237653215	0.6	0.851	5.51554360009971e-57	Cox8a	-0.251
1.47088521754432e-61	-1.19690500890081	0.597	0.856	8.43729178487774e-57	Atp6v0b	-0.259
1.98210877106204e-61	-1.36458334541437	0.672	0.858	1.13697723325661e-56	Cox6c	-0.186
2.43197432472605e-61	-1.27085900868206	0.357	0.778	1.39502911214936e-56	Ywhah	-0.421
4.4264024099287e-61	-1.27651747844025	0.508	0.819	2.5390729503833e-56	Atp5g3	-0.311
9.10414332525054e-61	-1.21932347113362	0.708	0.906	5.22231869423022e-56	Atp5a1	-0.198
1.22345287193715e-60	-1.29563732224034	0.548	0.824	7.01797036400588e-56	Dynll2	-0.276
1.37467087825867e-60	-1.23325345353292	0.364	0.76	7.88538709186736e-56	Capns1	-0.396
1.65680867889103e-60	-1.27905111504884	0.344	0.77	9.50378594385474e-56	Tagln3	-0.426
2.1579052254829e-60	-1.23885881905741	0.554	0.841	1.2378175954415e-55	Cox6a1	-0.287
2.39481351448043e-60	-1.29944063721627	0.498	0.808	1.37371292817626e-55	Eef1b2	-0.31
2.90676031795459e-60	-1.27044394060577	0.623	0.864	1.66737585358511e-55	Rplp2	-0.241
3.34058489481529e-60	-1.32919983740122	0.456	0.78	1.91622630736395e-55	Rps8	-0.324
4.15966492731091e-60	-1.27864583811392	0.479	0.812	2.38606699560408e-55	Tbca	-0.333
4.27306517095821e-60	-1.25285520020119	0.351	0.759	2.45111564336505e-55	Gnb2	-0.408
6.89340570924556e-60	-1.2384361841059	0.357	0.756	3.95419538293744e-55	Psip1	-0.399
7.18067902580187e-60	-1.30199708452914	0.466	0.787	4.11898110278047e-55	Ndufc1	-0.321
8.43335899831708e-60	-1.24716136860908	0.377	0.754	4.83754338861464e-55	Micos13	-0.377
2.35255262343816e-59	-1.43439334921289	0.751	0.889	1.3494712358566e-54	Rps21	-0.138
2.74950305047546e-59	-1.24795831025766	0.262	0.716	1.57716993981374e-54	Ypel3	-0.454
3.62111655319452e-59	-1.29109158272644	0.61	0.854	2.07714487724344e-54	Bex1	-0.244
5.67937288331146e-59	-1.20770082262461	0.466	0.82	3.25780187332512e-54	Mdh2	-0.354
9.53082335364054e-59	-1.2904411714814	0.59	0.833	5.46707089211529e-54	Pfdn5	-0.243
1.20444169689115e-58	-1.42062635481539	0.603	0.862	6.90891846170702e-54	Rgs2	-0.259
5.73190113042387e-58	-1.16814336087107	0.751	0.913	3.28793312643374e-53	Caly	-0.162
1.73506528234215e-57	-1.13153075593027	0.915	0.976	9.95268147257106e-53	Rtn1	-0.0609999999999999
2.51877319218996e-57	-1.21738545698073	0.679	0.895	1.444818678504e-52	Pnmal2	-0.216
2.94086859531735e-57	-1.2090276539649	0.331	0.736	1.68694104364594e-52	Dctn3	-0.405
3.34852844858231e-57	-1.27755988018467	0.462	0.782	1.92078288867579e-52	Uqcrq	-0.32
6.80726659175893e-57	-1.24639022317471	0.298	0.725	3.90478426236476e-52	Bmerb1	-0.427
9.33492178405098e-56	-1.2364938853857	0.256	0.693	5.35469783376732e-51	Map1lc3a	-0.437
2.14827438602205e-55	-1.16126548357864	0.702	0.888	1.23229315330997e-50	Skp1a	-0.186
2.75023108741615e-55	-1.26314939743174	0.81	0.916	1.57758755636365e-50	Tuba1a	-0.106
6.01442864727511e-55	-1.20083210494649	0.472	0.787	3.44999656064995e-50	Timm8b	-0.315
6.37964058118882e-55	-1.16872547664985	0.741	0.895	3.65948943018153e-50	Zcchc18	-0.154
7.4619122863166e-55	-1.23367075677198	0.403	0.743	4.28030212567693e-50	Atp5mpl	-0.34
7.56245964225008e-55	-1.22863487513005	0.577	0.824	4.33797809998749e-50	Atp5j2	-0.247
1.00409782917864e-54	-1.33894127157027	0.567	0.824	5.7597059677345e-50	Serpina3n	-0.257
