p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	pct_diff
7.56787278605332e-158	-2.3320148133658	0.836	0.988	4.34108318753591e-153	Pcsk1n	-0.152
1.87448059368342e-92	-2.01484523674911	0.765	0.883	1.07523955814868e-87	Resp18	-0.118
2.05124911085213e-90	-1.47138252400327	0.221	0.739	1.176637514967e-85	mt-Rnr2	-0.518
2.45185125010932e-84	-1.9046929753918	0.376	0.729	1.40643091408771e-79	Atp6v0c	-0.353
1.33652722676757e-79	-1.02015654753122	0.978	0.984	7.66658747818412e-75	Ly6h	-0.00600000000000001
8.24979027043298e-79	-1.67511546942949	0.929	0.936	4.73224469492577e-74	CT010467.1	-0.00700000000000001
6.81262739422619e-78	1.58129653425529	0.912	0.374	3.90785932587603e-73	N4bp2l1	0.538
1.69257305001284e-77	-1.56185977514078	0.327	0.706	9.70893752948367e-73	Cst3	-0.379
6.39060712350865e-74	1.5688941643645	0.938	0.46	3.66578005818703e-69	Lepr	0.478
7.34499407717425e-73	1.29702736492601	1	0.994	4.21323550254869e-68	Asic2	0.00600000000000001
1.00587162358062e-66	-1.29213813866267	0.327	0.669	5.76988080718313e-62	Bsg	-0.342
1.08400370183499e-64	-1.39032632145986	0.442	0.708	6.21806203446587e-60	Caly	-0.266
1.32847968438582e-59	1.84900109947334	0.938	0.497	7.62042516557395e-55	Pde10a	0.441
3.96362089849855e-58	-1.25633662174178	0.142	0.538	2.27361221979674e-53	Rps27a	-0.396
1.65007858273226e-57	-1.91823817480875	0.845	0.78	9.46518076626877e-53	Npy	0.065
7.67392558594656e-55	1.37063340550095	0.801	0.197	4.40191719461067e-50	Myrip	0.604
2.06400403769674e-53	-1.12094564865089	0.416	0.69	1.18395399610361e-48	Itm2b	-0.274
2.47239341741136e-53	-1.08879821313635	0.31	0.634	1.4182143120955e-48	Rps21	-0.324
3.6797913476211e-53	-1.15969383864336	0.257	0.579	2.11080191282242e-48	Rpl21	-0.322
8.57849626451637e-53	-1.54420594322306	0.412	0.618	4.92079702725188e-48	Rps8	-0.206
1.56736958111835e-51	-1.35947426814801	0.239	0.534	8.9907453912111e-47	Rpl37	-0.295
2.16864144587608e-49	-1.19545636188972	0.199	0.53	1.24397610618343e-44	mt-Cytb	-0.331
7.84952183621464e-48	-1.13905820019529	0.252	0.548	4.50264271568944e-43	Fau	-0.296
8.41649138315661e-47	-0.317040498722989	0.978	0.977	4.82786778720629e-42	Atp6v0b	0.001
1.07257497752844e-46	1.30259531088051	0.907	0.522	6.15250458609863e-42	Asap1	0.385
1.14016021149254e-46	-0.982286503850041	0.208	0.536	6.54018700516351e-42	Rps29	-0.328
2.67290647473851e-46	1.2764759116766	0.929	0.548	1.53323261203951e-41	Ncoa2	0.381
5.64449018096118e-46	-0.137231580585848	1	0.994	3.23779245760295e-41	Negr1	0.00600000000000001
7.27665594872357e-46	-0.799760688789226	0.531	0.727	4.17403538530682e-41	Rpl41	-0.196
2.75795457594683e-45	-1.24328046891634	0.27	0.509	1.58201790385462e-40	Gapdh	-0.239
9.66605311675315e-45	-0.924291587479807	0.252	0.583	5.54464138883194e-40	Stmn1	-0.331
1.16696133167755e-44	-1.32184077902531	0.491	0.62	6.69392359076873e-40	Ubb	-0.129
8.36259875740326e-44	-0.452701446819733	0.796	0.928	4.79695389922166e-39	Ddx5	-0.132
1.81017754126428e-43	-1.08788770818919	0.332	0.546	1.03835404122002e-38	Arl6ip1	-0.214
6.48370369062501e-43	1.64121462038809	0.743	0.283	3.71918211101632e-38	Sorcs1	0.46
1.72818028449853e-42	-0.809072616733949	0.677	0.764	9.91318774794047e-38	Tecr	-0.087
6.72987742921818e-42	-0.954240254150708	0.19	0.491	3.86039229094813e-37	Rpl23	-0.301
7.77502286181749e-42	-1.36281692600023	0.593	0.618	4.45990861399575e-37	Hsp90ab1	-0.025
1.15960769289257e-41	-0.971057944207844	0.252	0.511	6.65174164797039e-37	Rpl19	-0.259
1.63897740081596e-41	-0.971326394208474	0.363	0.587	9.40150216656052e-37	Rpl9	-0.224
2.09080293581784e-41	-0.766422423896011	0.265	0.556	1.19932638004383e-36	Tuba1a	-0.291
2.74970163328933e-41	-0.551695698414855	0.947	0.984	1.57728385088743e-36	Sgcz	-0.037
7.14769381477956e-41	-1.13056073752761	0.296	0.522	4.10006012603385e-36	Fth1	-0.226
8.89041028791183e-41	-1.02608919639781	0.354	0.561	5.09971714935198e-36	Rpl38	-0.207
1.44999545939788e-40	1.15726914279374	0.987	0.897	8.3174639541981e-36	Tnik	0.09
1.46483632691698e-40	-0.387865350214899	0.947	0.975	8.40259413846117e-36	Lrrc4c	-0.028
2.54051125374998e-40	-1.0695687416563	0.23	0.485	1.45728806537606e-35	Nenf	-0.255
3.20724919063404e-40	-0.786606336310249	0.252	0.554	1.8397422807315e-35	Pgrmc1	-0.302
4.19374939279341e-40	-1.01395122800688	0.279	0.534	2.40561852669416e-35	Rps24	-0.255
1.10623509571829e-39	-1.01723811224662	0.137	0.452	6.34558575605926e-35	Rps3a1	-0.315
1.18048190468984e-39	-0.620260283574155	0.593	0.791	6.77148030168184e-35	6330403K07Rik	-0.198
2.65986849067778e-39	-1.15000152011601	0.159	0.437	1.52575376362259e-34	Cox4i1	-0.278
4.83519994745105e-39	1.25907198285789	1	0.977	2.77356739385687e-34	Ghr	0.023
5.77576151586308e-39	-0.920439048778709	0.248	0.505	3.31309232072938e-34	Rpl8	-0.257
4.2104202281071e-38	-0.840662030361225	0.602	0.694	2.41518125124679e-33	Stmn3	-0.092
4.26139270289543e-38	1.30058819091849	0.938	0.649	2.44442008223488e-33	Mast4	0.289
5.58713301434703e-38	-1.00216456655839	0.115	0.435	3.20489123968974e-33	Rplp1	-0.32
1.20617479050244e-37	-0.809057902788025	0.721	0.76	6.91885983328011e-33	Rpl6	-0.039
2.00821262465114e-37	1.25432715107153	0.854	0.423	1.15195092575239e-32	Rasgef1b	0.431
8.41014436817365e-37	-0.720706906037478	0.611	0.704	4.82422701247177e-32	Atp1b1	-0.093
1.74147776347041e-36	-0.859234136397646	0.212	0.462	9.98946474681895e-32	Rps28	-0.25
3.66788278174471e-36	1.24838510740639	0.889	0.483	2.1039709212644e-31	Fstl4	0.406
8.44308470102045e-36	-0.907936779878875	0.119	0.437	4.84312224619935e-31	Rpl35a	-0.318
2.232080755665e-35	1.20153921032455	0.938	0.665	1.28036616306456e-30	Camk2d	0.273
7.56780404296326e-35	-0.691597399003286	0.624	0.696	4.34104375512458e-30	Tmx4	-0.072
4.12705307054419e-34	-0.753285318807245	0.261	0.485	2.36736018232556e-29	Rpl11	-0.224
4.38109479293731e-34	-0.699042599735182	0.221	0.497	2.5130835951247e-29	Fkbp2	-0.276
4.61017751655397e-34	-0.979863841583185	0.133	0.419	2.64449002704569e-29	Chchd2	-0.286
4.81756366120073e-34	-0.516116252512291	0.987	0.949	2.76345086733796e-29	Rtn1	0.038
5.04482361647224e-34	-0.802505919679236	0.173	0.446	2.89381172288081e-29	Rplp2	-0.273
8.15013331238219e-34	-0.438844688449626	0.748	0.881	4.67507947064867e-29	Gm20642	-0.133
1.2105440375945e-33	-0.763943334087332	0.31	0.526	6.94392270844958e-29	Tmsb10	-0.216
1.68285820056039e-33	-0.782466973300005	0.204	0.45	9.65321121005453e-29	Rpsa	-0.246
2.03757344525151e-33	-0.768194299196368	0.239	0.528	1.16879287966517e-28	Fat3	-0.289
2.13681689675665e-33	-0.90963770525815	0.314	0.487	1.22572090831755e-28	Hsp90aa1	-0.173
2.17810833122395e-33	-0.69743833949705	0.177	0.45	1.24940650095668e-28	Rps16	-0.273
2.18453177920245e-33	-0.672346383874618	0.376	0.567	1.25309111918611e-28	Lrpap1	-0.191
4.4091391877296e-33	-0.819595692396453	0.111	0.429	2.52917042086545e-28	mt-Nd1	-0.318
1.19069762926578e-32	-0.605589211215926	0.31	0.548	6.83007974099436e-28	Cd81	-0.238
1.23738859402377e-32	-0.796991956313791	0.261	0.466	7.09790845303918e-28	Nrsn2	-0.205
2.86094581712125e-32	1.29787706306563	0.942	0.671	1.64109573961709e-27	Rmst	0.271
1.55883646257715e-31	-0.854700291147622	0.102	0.419	8.94179771663506e-27	Rps5	-0.317
4.72909266872881e-31	-0.693996653101765	0.102	0.425	2.71270213663622e-26	Rpl30	-0.323
1.20199697863902e-30	1.37248182989332	0.659	0.216	6.89489506886917e-26	Ntng1	0.443
2.45866802742649e-30	-0.59519999134786	0.195	0.491	1.41034115389238e-25	Rps27	-0.296
5.98249014805216e-30	-0.598510953891346	0.252	0.493	3.43167599872568e-25	Rpl36	-0.241
7.71192291456303e-30	-0.659423828355232	0.327	0.583	4.42371322225165e-25	Robo2	-0.256
8.43033183918024e-30	-0.654013600988186	0.35	0.53	4.83580694959057e-25	Cox8a	-0.18
9.28145885573868e-30	-0.665114836977804	0.204	0.46	5.32403042882882e-25	Gm1673	-0.256
9.42719226106845e-30	-0.810902886311653	0.164	0.413	5.40762602479409e-25	Rpl14	-0.249
1.03577616507408e-29	-0.702087237264937	0.159	0.407	5.94141923809793e-25	Dad1	-0.248
1.32126523676705e-29	-0.702997935082602	0.115	0.411	7.57904165114315e-25	Spcs1	-0.296
1.50512803224009e-29	-0.608192571394642	0.283	0.491	8.63371541853563e-25	Clu	-0.208
1.54298982521176e-29	-0.733817758464083	0.243	0.46	8.85089823537969e-25	Hspa8	-0.217
2.13736624753738e-29	-0.7579290845087	0.761	0.745	1.22603602691239e-24	Scg2	0.016
5.04205421012507e-29	-0.651746372603669	0.438	0.587	2.89222313601194e-24	Hsp90b1	-0.149
8.91621734272947e-29	-0.461892092291562	0.442	0.682	5.11452059213648e-24	Brd9	-0.24
1.00835820544999e-28	-0.643784262150936	0.602	0.682	5.78414433810222e-24	Sec62	-0.0800000000000001
2.172720896896e-28	-0.543655179763185	0.327	0.554	1.24631616087748e-23	Rps2	-0.227
2.44945884923585e-28	-0.835360850648886	0.336	0.454	1.40505858509867e-23	Ppia	-0.118
2.81228870620944e-28	-0.743683889351914	0.155	0.405	1.61318504765586e-23	Rps11	-0.25
2.92769957771916e-28	-0.885726994409536	0.319	0.48	1.67938703177127e-23	Ndn	-0.161
3.76540562418322e-28	-0.703211481026669	0.522	0.643	2.15991197414398e-23	Bex2	-0.121
9.97087163371771e-28	-0.591629557042047	0.195	0.431	5.71949138653315e-23	Atp5k	-0.236
1.00187609899125e-27	-0.675909180436082	0.292	0.466	5.74696167903359e-23	Fxyd6	-0.174
1.01615851364616e-27	-0.89619257949522	0.491	0.511	5.82888846597709e-23	Calm1	-0.02
1.0436747703888e-27	1.03359841822338	0.827	0.448	5.98672721790423e-23	Trim9	0.379
2.31155051819747e-27	1.11534295299416	0.894	0.505	1.32595160824843e-22	Fmnl2	0.389
4.48766155942895e-27	-0.366842786809285	0.597	0.77	2.57421242371963e-22	Gpm6a	-0.173
4.5059321783737e-27	-0.73331755853796	0.124	0.413	2.58469281615872e-22	Rpl3	-0.289
5.34382704608079e-27	1.12136090091164	0.938	0.729	3.06532607017286e-22	Lncpint	0.209
6.28223888854021e-27	-0.66625569333207	0.575	0.604	3.60361787124443e-22	Eef1a1	-0.029
7.5361367720561e-27	-0.365278467282206	0.765	0.91	4.32287877518682e-22	Gm47283	-0.145
7.8706776967062e-27	-0.662533458434251	0.124	0.4	4.51477814038461e-22	Rpl34	-0.276
8.59118259051679e-27	-0.0290374872593948	0.991	0.994	4.92807415757224e-22	Dab1	-0.003
1.8483911902353e-26	-0.607798441134303	0.305	0.48	1.06027415454277e-21	Erp29	-0.175
1.96311050828665e-26	-0.86461382023315	0.097	0.37	1.12607944976339e-21	Ndufa4	-0.273
2.10229519558411e-26	-0.538577927541936	0.323	0.524	1.20591857009096e-21	Ctsl	-0.201
2.26876185079761e-26	-0.333553103693234	0.858	0.922	1.30140717285452e-21	Kcnb2	-0.0640000000000001
2.33740978412256e-26	-0.613599278640735	0.195	0.419	1.34078500036838e-21	Rps12	-0.224
2.39513378369934e-26	-0.532945301044914	0.31	0.505	1.37389664100561e-21	Selenow	-0.195
2.69117266633325e-26	-0.505883541064051	0.504	0.632	1.54371046486208e-21	Tmem59l	-0.128
2.71819341410655e-26	-0.679801316014805	0.31	0.468	1.5592101061998e-21	Rpl13	-0.158
2.88797633471554e-26	-0.338041483289935	0.823	0.875	1.65660098511953e-21	Nap1l5	-0.0520000000000001
3.38391107313134e-26	-0.678440751569066	0.155	0.388	1.9410790697696e-21	Ndufc2	-0.233
3.54327577149404e-26	-0.648110316839749	0.137	0.4	2.03249384804441e-21	Tpt1	-0.263
5.46388453515714e-26	1.20754740245587	0.965	0.844	3.13419344705684e-21	Tshz2	0.121
7.14448220501783e-26	-0.814627906323769	0.146	0.384	4.09821788244233e-21	Rps3	-0.238
8.26618075077974e-26	-0.569220022135402	0.367	0.598	4.74164660226228e-21	Kcnh8	-0.231
8.59909794037797e-26	-0.59901576731158	0.173	0.413	4.93261456055961e-21	Nsg1	-0.24
1.72523758394472e-25	-0.510606793089814	0.226	0.444	9.89630782902369e-21	Rps26	-0.218
1.77069846719643e-25	-0.421799433400526	0.739	0.747	1.01570805475322e-20	Scg5	-0.00800000000000001
2.34958647729215e-25	1.03124811353704	0.686	0.138	1.34776979510432e-20	Arhgap26	0.548
2.35000832283059e-25	-0.650583080408747	0.327	0.493	1.34801177414208e-20	Hspa5	-0.166
3.19785974285965e-25	-0.592529826318681	0.442	0.544	1.83435630569915e-20	Slc25a4	-0.102
4.1788453548115e-25	1.10962668101414	0.951	0.747	2.39706927242697e-20	Pak3	0.204
4.64189364237169e-25	-0.541304321883509	0.389	0.503	2.66268303113725e-20	Aldoa	-0.114
6.06708386390501e-25	1.0379749054652	0.996	0.934	3.48020064601319e-20	Dnm3	0.0619999999999999
7.99819408512621e-25	-0.266272755790788	0.765	0.809	4.5879240911101e-20	Clk1	-0.044
9.93147465566694e-25	-0.488190531538358	0.438	0.585	5.69689249198367e-20	Oaz1	-0.147
1.09920798060906e-24	0.123422403142808	1	1	6.3052768183697e-20	Nrxn1	0
1.59046013328673e-24	-0.706182191549883	0.124	0.417	9.12319741655932e-20	Avp	-0.293
1.62249972279909e-24	-0.782084549164992	0.398	0.466	9.30698290992014e-20	Actb	-0.068
1.72640412922118e-24	1.00068379575064	0.664	0.125	9.90299936603851e-20	Zbtb16	0.539
2.82688958423568e-24	-0.324968424169265	0.885	0.883	1.62156040330927e-19	Calm2	0.002
3.38374660148579e-24	-0.444386178607729	0.438	0.591	1.94098472554428e-19	Psap	-0.153
1.06851012877857e-23	1.14501167102905	0.969	0.869	6.12918780069961e-19	Kcnc2	0.1
1.38948527262268e-23	-0.602458721035535	0.204	0.398	7.97036542081823e-19	Ndufa13	-0.194
1.88939321556286e-23	-0.474031640356254	0.239	0.448	1.08379373631117e-18	Atp5g1	-0.209
