ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030072	peptide hormone secretion	22/320	140/7642	6.67153337651628e-08	7.25323021332356e-05	6.35490825916716e-05	Rptor/Itsn1/Cacna1c/Pde1c/Lepr/Oxct1/Adcy5/Tiam1/Cacna1d/Chd7/Vgf/Irs2/Cpe/Pex5l/Ptprn2/Cacna1e/Arhgef7/Arntl/Arrb1/Acvr1c/Efna5/Myrip	22
GO:0046879	hormone secretion	24/320	165/7642	7.6692154800898e-08	7.25323021332356e-05	6.35490825916716e-05	Rptor/Itsn1/Cacna1c/Pde1c/Lepr/Oxct1/Adcy5/Tiam1/Cacna1d/Chd7/Vgf/Irs2/Cpe/Snap25/Pex5l/Ptprn2/Cacna1e/Arhgef7/Arntl/Arrb1/Gnas/Acvr1c/Efna5/Myrip	24
GO:0009914	hormone transport	24/320	166/7642	8.62876599542831e-08	7.25323021332356e-05	6.35490825916716e-05	Rptor/Itsn1/Cacna1c/Pde1c/Lepr/Oxct1/Adcy5/Tiam1/Cacna1d/Chd7/Vgf/Irs2/Cpe/Snap25/Pex5l/Ptprn2/Cacna1e/Arhgef7/Arntl/Arrb1/Gnas/Acvr1c/Efna5/Myrip	24
GO:0023061	signal release	34/320	301/7642	9.5942198588936e-08	7.25323021332356e-05	6.35490825916716e-05	Rptor/Itsn1/Cacna1c/Pde1c/Hdac9/Lepr/Oxct1/Adcy5/Apba1/Tiam1/Cacna1d/Git2/Cacna1b/Chd7/Vgf/Irs2/Rap1b/Cpe/Snap25/Trim9/Pex5l/Ptprn2/Ntrk2/Bcl2l1/Cacna1e/Arhgef7/Arntl/Arrb1/Unc13a/Gnas/Acvr1c/Prkca/Efna5/Myrip	34
GO:0008015	blood circulation	24/320	175/7642	2.38560288030163e-07	0.000120234385167202	0.000105343200872267	Sema3a/Asic2/Kcnma1/Cacna1c/Corin/Kcnd3/Pik3r1/Rps6ka2/Cacna1d/Cacna1b/Chd7/Gnao1/Pde4d/Nav2/Cacna1e/Ptpro/Ptk2/Camk2d/Ext1/P2rx4/Gnas/Rap1gds1/Prkca/Slc8a1	24
GO:0009743	response to carbohydrate	16/320	104/7642	5.71154337789868e-06	0.00105237326428738	0.000922035472783116	Pde1c/Lepr/Oxct1/Adcy5/Tiam1/Rps6ka2/Cacna1d/Irs2/Ern1/Ptprn2/Cacna1e/Arrb1/Zbtb20/Acvr1c/Prkca/Efna5	16
GO:0023014	signal transduction by protein phosphorylation	31/320	323/7642	1.17616454915815e-05	0.00162459654828953	0.00142338816208742	Foxo1/Garem1/Mapk10/Spred3/Ppm1l/Fgf1/Lepr/Ghr/Map3k13/Gab1/Tiam1/Mfhas1/Spred2/Tnik/Sh3rf1/Ern1/Rap1b/Errfi1/Ntrk2/Plce1/Stk40/Arrb1/Spred1/Ptk2/Camk2d/Pak3/Prkca/Pdgfd/Hacd3/Rap2a/Wnk2	31
GO:0007626	locomotory behavior	19/320	148/7642	1.18191547825296e-05	0.00162459654828953	0.00142338816208742	Mapk10/Kcnma1/Cacna1c/Lepr/Oxr1/Sez6l/Adcy5/Apba1/Cacna1b/Chd7/Gnao1/Snap25/Tbce/Tnr/Nav2/Cacna1e/Ncoa2/Sobp/Grin2a	19
GO:0071417	cellular response to organonitrogen compound	27/320	276/7642	3.147093761755e-05	0.00328165915018866	0.00287522141500448	Foxo1/Rptor/Hdac9/Castor2/Ghr/Adcy5/Pik3r1/Gabrb1/Gabrb3/Irs2/Rap1b/Gnao1/Pid1/Ntrk2/Pde4d/Bcl2l1/Ptk2/Sik2/Uso1/Ndel1/Grin2a/P2rx4/Gnas/Prkca/Pdgfd/Slc8a1/Tbc1d4	27
GO:0001508	action potential	11/320	66/7642	7.96156136307398e-05	0.00580257777024549	0.00508392099961985	Kcnma1/Cacna1c/Kcnd3/Cacna1d/Gria1/Kcnip1/Ntrk2/Kcnc2/Camk2d/Grin2a/P2rx4	11
GO:0070588	calcium ion transmembrane transport	16/320	128/7642	8.05913579200762e-05	0.00580257777024549	0.00508392099961985	Cacna1c/Trpc4/Slc25a25/Cacna1d/Cacna1b/Gem/Chd7/Trpc1/Pde4d/Cacna1e/Camk2d/Grin2a/P2rx4/Pkd1/Tmem165/Slc8a1	16
GO:0035637	multicellular organismal signaling	11/320	68/7642	0.000105445413247173	0.0070727752908919	0.00619680291255044	Kcnma1/Cacna1c/Kcnd3/Cacna1d/Gria1/Ntrk2/Pde4d/Tnr/Cacna1e/P2rx4/Slc8a1	11
