p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	pct_diff
2.45574032801404e-113	1.5688941643645	0.938	0.46	1.40866176695541e-108	Lepr	0.478
2.31821213112388e-112	1.29702736492601	1	0.994	1.32977284265528e-107	Asic2	0.00600000000000001
2.84144156938495e-110	1.58129653425529	0.912	0.374	1.62990771303059e-105	N4bp2l1	0.538
1.23435063229147e-101	-2.3320148133658	0.836	0.988	7.08048209695033e-97	Pcsk1n	-0.152
8.60967850182702e-101	1.15726914279374	0.987	0.897	4.93868378221801e-96	Tnik	0.09
6.47264857617213e-95	1.25907198285789	1	0.977	3.71284067626386e-90	Ghr	0.023
2.82131380021114e-86	1.84900109947334	0.938	0.497	1.61836202207712e-81	Pde10a	0.441
7.77216740320678e-84	1.30259531088051	0.907	0.522	4.45827066582747e-79	Asap1	0.385
9.87333910151301e-83	1.2764759116766	0.929	0.548	5.66354477540989e-78	Ncoa2	0.381
4.69831641096982e-80	1.37063340550095	0.801	0.197	2.69504825966051e-75	Myrip	0.604
2.83160168955883e-79	1.20153921032455	0.938	0.665	1.62426336116473e-74	Camk2d	0.273
4.10430744606364e-78	1.30058819091849	0.938	0.649	2.35431283721103e-73	Mast4	0.289
2.18282518808037e-69	1.29787706306563	0.942	0.671	1.25211218438666e-64	Rmst	0.271
1.45589613524314e-68	0.824892529646286	1	1	8.35131141098169e-64	Snhg11	0
1.35262860335924e-66	1.0379749054652	0.996	0.934	7.75894819458929e-62	Dnm3	0.0619999999999999
2.65741789883309e-66	1.20754740245587	0.965	0.844	1.52434805512864e-61	Tshz2	0.121
9.05521536036102e-65	0.90713441726546	1	0.99	5.19425263501029e-60	Pde4d	0.01
1.20847161427477e-62	1.25432715107153	0.854	0.423	6.93203487380296e-58	Rasgef1b	0.431
1.8699883514097e-62	1.24838510740639	0.889	0.483	1.07266271813563e-57	Fstl4	0.406
2.01195630066302e-61	1.64121462038809	0.743	0.283	1.15409837318632e-56	Sorcs1	0.46
2.19652266073137e-61	-2.01484523674911	0.765	0.883	1.25996932864873e-56	Resp18	-0.118
9.57465662573761e-60	1.00158015802918	0.969	0.858	5.49221453365561e-55	Mapk10	0.111
2.85187990320943e-58	1.14501167102905	0.969	0.869	1.63589535007899e-53	Kcnc2	0.1
4.65513344249085e-58	1.12136090091164	0.938	0.729	2.6702776452816e-53	Lncpint	0.209
1.0426889205839e-56	1.02938778556057	1	0.996	5.98107218625334e-52	Grid2	0.004
1.14325717592635e-56	0.935048528818019	0.987	0.873	6.55795181254871e-52	Snap25	0.114
2.82233583359868e-56	-1.9046929753918	0.376	0.729	1.61894828086888e-51	Atp6v0c	-0.353
3.13893477991727e-55	1.10962668101414	0.951	0.747	1.80055576845615e-50	Pak3	0.204
3.93620537215996e-55	0.874145187691672	1	0.975	2.2578861255784e-50	Ccser1	0.025
3.1246917417697e-54	1.09092025852052	0.934	0.68	1.79238567691393e-49	Lrrc7	0.254
4.6350476893066e-54	1.03359841822338	0.827	0.448	2.65875605554005e-49	Trim9	0.379
5.11348608751208e-54	0.917603786409563	1	0.949	2.93319788951868e-49	Ptprk	0.0510000000000001
6.83441447708821e-54	0.951872080957671	0.965	0.867	3.92035683234734e-49	Tmem178b	0.098
1.71702597812589e-53	0.93225032626982	0.987	0.973	9.84920441572572e-49	Efna5	0.014
3.92786082457671e-53	1.00068379575064	0.664	0.125	2.25309952619369e-48	Zbtb16	0.539
8.23244427319122e-53	1.07735708554962	0.982	0.764	4.72229468398795e-48	Slc8a1	0.218
4.99700015489113e-52	0.697996158875614	1	0.998	2.86637922884865e-47	Ank3	0.002
5.10407275308717e-52	0.928094109480874	0.947	0.715	2.92779821262586e-47	Sik3	0.232
7.4621852899113e-52	1.03124811353704	0.686	0.138	4.28045872599892e-47	Arhgap26	0.548
1.19496902969889e-51	1.09975113784447	0.606	0.119	6.85458134815876e-47	1700016P03Rik	0.487
1.39453468182475e-51	0.833477545678341	0.987	0.957	7.99932984188311e-47	Ptprn2	0.03
8.63570162630972e-51	0.924188897116411	0.978	0.805	4.95361116688378e-46	Dclk1	0.173
7.94660209407957e-50	0.941894013574636	0.996	0.963	4.55832989320592e-45	Dgkb	0.033
8.92359477747727e-50	0.915113803704297	0.938	0.784	5.11875243625651e-45	Ntrk2	0.154
1.08130846201004e-49	1.11534295299416	0.894	0.505	6.20260159978199e-45	Fmnl2	0.389
2.02242669385186e-49	1.0204425606779	0.934	0.676	1.1601044001273e-44	Plekha5	0.258
2.21116454458781e-49	1.37248182989332	0.659	0.216	1.26836820606646e-44	Ntng1	0.443
1.78748568922431e-48	0.85031566368504	0.956	0.836	1.02533754105285e-43	Nktr	0.12
9.63475119809931e-48	-1.47138252400327	0.221	0.739	5.52668598225373e-43	mt-Rnr2	-0.518
4.48612568413672e-47	-1.56185977514078	0.327	0.706	2.57333141493451e-42	Cst3	-0.379
6.47093707581624e-46	0.935418024284474	0.597	0.133	3.71185892542971e-41	Fkbp5	0.464
1.55419070148966e-45	1.02975534854155	0.885	0.602	8.91514870188498e-41	Tmcc3	0.283
6.77965478695362e-45	0.886600788619187	1	1	3.88894557889234e-40	Meg3	0
8.05377119065105e-45	0.770938861953117	0.996	0.965	4.61980423038126e-40	Gabrb3	0.031
3.26508065568092e-44	1.02676792505411	0.65	0.216	1.87291556571169e-39	Pex5l	0.434
5.28853754902341e-44	0.989181106461665	0.942	0.842	3.03361090887081e-39	Oxr1	0.1
9.0024746129946e-44	0.806966354799857	0.987	0.922	5.16399948750596e-39	Dst	0.065
1.70983704491557e-43	-1.67511546942949	0.929	0.936	9.80796725704468e-39	CT010467.1	-0.00700000000000001
2.28561050662927e-43	0.880805699312913	0.96	0.797	1.31107189881268e-38	Gpr158	0.163
2.37833912570564e-43	0.828271056186816	0.978	0.842	1.36426288928727e-38	Kcnma1	0.136
2.5774797062906e-43	0.835165895831111	0.677	0.222	1.47849390912242e-38	Rad54l2	0.455
4.16054617422671e-43	0.773342918063096	1	0.986	2.38657249645992e-38	Dlgap1	0.014
4.26920954759164e-43	0.825373328813523	0.916	0.7	2.44890398068952e-38	Apbb2	0.216
4.48683738644951e-43	0.948901253648096	0.655	0.22	2.57373966161517e-38	Sv2c	0.435
1.15266966944037e-42	1.08221368124724	0.788	0.46	6.61194375784387e-38	Adcy2	0.328
1.70463741534812e-42	0.950661015071318	0.982	0.908	9.77814114191991e-38	Prune2	0.074
3.18617189231622e-42	1.0083235290281	0.894	0.671	1.82765192087043e-37	Arhgef28	0.223
7.36498266165636e-42	0.741555208316426	1	0.994	4.22470135437932e-37	Magi2	0.00600000000000001
2.05714638206961e-41	0.904436049810759	0.942	0.791	1.18002030768277e-36	Grip1	0.151
2.51930870258819e-41	1.17713993292023	0.836	0.53	1.44512585797864e-36	9530026P05Rik	0.306
2.68698777169673e-41	0.854480062698443	0.898	0.653	1.54130992560068e-36	Xkr6	0.245
2.81199995522366e-41	0.758518299441179	0.947	0.78	1.6130194143154e-36	Cacna1b	0.167
4.23023674143048e-41	0.88683416767401	0.996	0.932	2.42654839961935e-36	Marchf1	0.064
4.36018360916461e-41	0.835989858095351	0.81	0.472	2.50108852188901e-36	Rap1gds1	0.338
1.25262007131734e-40	0.685390523978215	0.982	0.945	7.18527925309054e-36	Cacna1a	0.037
4.0123718210276e-40	0.858840966920863	0.894	0.667	2.30157672397785e-35	Vat1l	0.227
4.64585230807178e-40	0.755441553069254	1	0.982	2.66495380095613e-35	Cacna1d	0.018
1.71509690966094e-39	-1.39032632145986	0.442	0.708	9.83813889319708e-35	Caly	-0.266
1.75885626334975e-39	0.858801831490134	0.748	0.349	1.00891512978268e-34	Sez6l	0.399
2.64728808841413e-39	0.761770776141943	1	1	1.51853739327611e-34	Fam155a	0
2.8854166559572e-39	0.889611757450708	0.779	0.396	1.65513270219017e-34	Sh3rf1	0.383
1.02641706233633e-38	-1.91823817480875	0.845	0.78	5.88773355297365e-34	Npy	0.065
1.54535334292206e-38	0.795861402257679	0.969	0.815	8.8644558456695e-34	Nav2	0.154
1.57851121367557e-38	0.730334843020236	0.973	0.875	9.0546560238858e-34	Cacna1e	0.098
3.42596908246235e-38	0.715395134686153	0.973	0.881	1.96520438508205e-33	Ubn2	0.092
7.16450232775354e-38	-1.29213813866267	0.327	0.669	4.10970182524599e-33	Bsg	-0.342
8.83372607140217e-38	0.792655002583552	0.956	0.83	5.06720194907771e-33	Dync1i1	0.126
1.37088842986097e-37	0.883578254183932	0.925	0.678	7.86369021136849e-33	Kcnip1	0.247
2.24594584021087e-37	0.817740805757651	0.951	0.78	1.28831945286176e-32	A930017M01Rik	0.171
7.37235325595284e-37	0.849752121651985	0.96	0.713	4.22892927467967e-32	Herc2	0.247
1.00936560442969e-36	0.956196153803423	0.903	0.727	5.7899229801296e-32	Vwc2l	0.176
1.26187783495754e-36	0.784944289281738	0.991	0.967	7.23838363688345e-32	Usp29	0.024
1.85771909004124e-36	0.751627441252828	0.925	0.807	1.06562482442946e-31	Osbpl6	0.118
2.00168566142504e-36	0.865822214393879	0.872	0.624	1.14820692910663e-31	Prkca	0.248
2.35613358918419e-36	0.843467069976026	0.752	0.433	1.35152534942783e-31	Lrrc1	0.319
2.91449431856494e-36	0.828362641571964	0.885	0.719	1.67181223101522e-31	Phf21a	0.166
3.26192227118094e-36	0.814817250439308	0.907	0.663	1.87110385319481e-31	Cmip	0.244
4.35905886368664e-36	0.747275526042782	0.996	0.951	2.50044334538793e-31	Zbtb20	0.045
9.3531051503653e-36	0.874975540611939	0.814	0.571	5.36512817635254e-31	Cpe	0.243
9.62480812040131e-36	0.776046485891392	0.854	0.567	5.5209824340246e-31	Rasgrf2	0.287
1.4289551107027e-35	0.770044751093371	1	0.994	8.19677230601281e-31	Cntnap2	0.00600000000000001
2.07073700195151e-35	0.891362743169553	0.969	0.778	1.18781615905943e-30	Brinp1	0.191
6.84682528727411e-35	0.850833534509303	0.947	0.889	3.92747592128618e-30	Rbms3	0.0579999999999999
7.51634880896997e-35	0.757554951827721	0.982	0.854	4.31152800380136e-30	Dlgap2	0.128
1.09944495887889e-34	-1.54420594322306	0.412	0.618	6.30663617312107e-30	Rps8	-0.206
1.14785117300601e-34	0.612402079928975	1	1	6.58430389859707e-30	Nrg3	0
1.87454644541223e-34	0.794702562196589	0.801	0.489	1.07527733201736e-29	Farp1	0.312
3.76706679537118e-34	0.839044255655589	0.876	0.577	2.16086485516082e-29	Tnr	0.299
4.89999625387295e-34	0.772654019112957	0.792	0.476	2.8107358511466e-29	Mprip	0.316
5.08660294129549e-34	0.749762267323935	0.991	0.943	2.91777717918592e-29	Ppp2r2b	0.048
7.83767257184227e-34	0.754993306500789	0.872	0.643	4.49584574066016e-29	Dtnb	0.229
