p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	pct_diff
0	1.05247217216011	0.51	0.187	0	Cox5b	0.323
0	0.547017991876495	0.35	0.106	0	Rpl31	0.244
0	0.722629334339484	0.42	0.144	0	Hspe1	0.276
0	0.623983247596647	0.802	0.639	0	Clk1	0.163
0	0.807486853585055	0.428	0.104	0	Eef1b2	0.324
0	0.805024356020727	0.505	0.224	0	Rpl37a	0.281
0	1.91367793271147	0.849	0.624	0	Resp18	0.225
0	1.35977836434507	0.76	0.554	0	Scg2	0.206
0	0.979366338536351	0.642	0.367	0	Itm2c	0.275
0	0.653701974830927	0.374	0.106	0	Cacybp	0.268
0	1.28490790057076	0.804	0.701	0	Atp1b1	0.103
0	1.24116327382468	0.541	0.201	0	Nenf	0.34
0	0.575775418257291	0.373	0.133	0	Tubb4b	0.24
0	0.497088652024012	0.309	0.082	0	Rpl7a	0.227
0	1.14316039001237	0.572	0.228	0	Hspa5	0.344
0	0.511811371651047	0.302	0.067	0	Ndufa8	0.235
0	0.627138694616391	0.368	0.103	0	Rpl35	0.265
0	0.928142276525486	0.457	0.121	0	Atp5g3	0.336
0	0.537984357251379	0.356	0.116	0	Emc4	0.24
0	0.764977004201539	0.79	0.711	0	Scg5	0.0790000000000001
0	0.708800504198817	0.559	0.319	0	Pdia3	0.24
0	1.95539454974964	0.453	0.078	0	Oxt	0.375
0	1.47446676689121	0.488	0.15	0	Avp	0.338
0	0.841809777514591	0.524	0.247	0	Chgb	0.277
0	0.919759672873138	0.745	0.649	0	Tmx4	0.096
0	1.49718952563839	0.706	0.288	0	Cst3	0.418
0	1.27194556034454	0.582	0.272	0	Nrsn2	0.31
0	0.561638358694922	0.341	0.092	0	Dynlrb1	0.249
0	0.67690471790045	0.472	0.231	0	Map1lc3a	0.241
0	0.559465526977903	0.345	0.096	0	Romo1	0.249
0	-0.653316358968445	1	1	0	Snhg11	0
0	0.704702836558508	0.463	0.236	0	Ywhab	0.227
0	0.805743079778195	0.384	0.057	0	Atp5e	0.327
0	1.3648445433708	0.661	0.319	0	Rps21	0.342
0	1.21495157120207	0.778	0.668	0	Stmn3	0.11
0	2.03469222489932	0.955	0.869	0	Pcsk1n	0.086
0	0.820135752024608	0.411	0.084	0	Ndufb11	0.327
0	1.05166606548549	0.6	0.311	0	Pgrmc1	0.289
0	0.810138299702552	0.427	0.102	0	Rpl39	0.325
0	0.49306727258906	0.309	0.08	0	Ndufa1	0.229
0	0.846262097982362	0.483	0.173	0	Rtl8a	0.31
0	0.731686901159733	0.419	0.138	0	Rpl10	0.281
0	0.917545964859291	0.432	0.085	0	Rps4x	0.347
0	0.725318692709424	0.374	0.067	0	Rpl36a	0.307
0	1.28009992498533	0.703	0.462	0	Bex2	0.241
0	0.677584981253349	0.589	0.371	0	Bex1	0.218
0	0.993540733696074	0.469	0.136	0	Tmsb4x	0.333
0	0.601614869665466	0.325	0.069	0	Fabp5	0.256
0	0.741543636564415	0.489	0.196	0	Rpl22l1	0.293
0	1.09790280326624	0.741	0.594	0	Sec62	0.147
0	0.953777189048341	0.466	0.134	0	Ndufb5	0.332
0	0.799825964875347	0.418	0.11	0	Ndufc1	0.308
0	1.27217925261858	0.518	0.125	0	Rps3a1	0.393
0	0.568733974689887	0.35	0.101	0	Krtcap2	0.249
0	0.556295880915955	0.38	0.132	0	Dpm3	0.248
0	0.736846507417183	0.492	0.198	0	Rps27	0.294
0	0.480358481743393	0.299	0.073	0	Psmb4	0.226
0	0.510174406901636	0.287	0.051	0	Gstm5	0.236
0	-0.553251896276649	0.8	0.938	0	Rnpc3	-0.138
0	0.857459203248147	0.458	0.134	0	Rpl34	0.324
0	0.828223546189524	0.496	0.206	0	Rps20	0.29
0	0.536793119327928	0.303	0.06	0	Ndufb6	0.243
0	0.745760146651939	0.478	0.228	0	Uqcrh	0.25
0	1.70242668174177	0.676	0.426	0	Rps8	0.25
0	0.456839333160195	0.968	0.96	0	Atp6v0b	0.00800000000000001
