p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	pct_diff
9.97012303497291e-17	-0.607604512341398	1	1	5.52334846014464e-12	Snhg11	0
2.90207022514503e-14	2.45080227908773	0.952	0.854	1.60771788402809e-09	Pcsk1n	0.098
1.9548203813171e-10	2.61305774841016	0.928	0.927	1.08295094304586e-05	ENSMUSG00000106106	0.001
2.13697874799318e-10	1.51394776634967	0.704	0.146	1.18386485660074e-05	Fkbp2	0.558
2.31291714541222e-10	1.67763083546943	0.744	0.244	1.28133296938691e-05	mt-Rnr2	0.5
3.55012257185089e-10	1.43731052432531	0.648	0.073	1.96673240357968e-05	Rps3a1	0.575
5.37083640382856e-10	1.6591778281774	0.672	0.122	2.97538965935698e-05	Rps27a	0.55
5.7857112368312e-10	1.55548127639287	0.84	0.634	3.20522616809212e-05	Stmn3	0.206
7.57056640553306e-10	1.63793203240395	0.688	0.171	4.19401808300126e-05	Rps29	0.517
7.91028187787447e-10	1.47988827303382	0.76	0.341	4.38221705752368e-05	Itm2b	0.419
1.09136979607171e-09	1.99869890499997	0.76	0.39	6.04607953325769e-05	Caly	0.37
1.75812933989859e-09	1.49361926300594	0.736	0.317	9.73986073010418e-05	Cst3	0.419
1.96091677161771e-09	-0.787377229434188	0.024	0.366	0.000108632828230849	Nr4a3	-0.342
2.09624608657467e-09	1.9322682789825	0.712	0.293	0.00011612993695015	Bsg	0.419
3.0969147258085e-09	1.61556384789228	0.68	0.171	0.000171565978895065	Rpl21	0.509
3.52552945902364e-09	0.901245599273586	0.96	1	0.000195310806500451	Ly6h	-0.04
4.04834942439588e-09	2.43064955040439	0.776	0.537	0.000224274509762107	Atp6v0c	0.239
5.4493124454072e-09	1.97255127356818	0.856	0.756	0.000301886460163114	Resp18	0.1
6.1321583688891e-09	2.12231161563358	0.664	0.244	0.000339715441478087	Gapdh	0.42
6.73163111854858e-09	1.46833832410826	0.632	0.122	0.000372925632336473	Rpl23	0.51
7.7040470644264e-09	-0.64746596436381	0.064	0.463	0.000426796503322158	Zbtb16	-0.399
8.23639288675531e-09	1.63984176291875	0.624	0.146	0.000456287929533357	Rplp1	0.478
9.44381035955581e-09	-1.48864044442327	0.336	0.78	0.000523177650109032	1700016P03Rik	-0.444
1.00970146171512e-08	1.35604420925487	0.528	0	0.000559364512775561	Rpl26	0.528
1.09400047115443e-08	1.63511853426934	0.632	0.146	0.00060606532101484	mt-Cytb	0.486
1.75851689220213e-08	1.59435812617348	0.712	0.341	0.000974200773111057	Rps21	0.371
2.8176133654563e-08	1.20394385552307	0.704	0.293	0.00156092962832913	Gm1673	0.411
3.12846488851783e-08	1.94948062808243	0.704	0.366	0.00173313826358999	Arl6ip1	0.338
4.58934306570162e-08	1.60017232928752	0.632	0.195	0.00254245016496804	Fau	0.437
5.07629810080303e-08	1.49607930212367	0.616	0.195	0.00281221838486387	Nenf	0.421
5.82574461838933e-08	1.90189872414592	0.72	0.488	0.0032274042611415	Rps8	0.232
8.03375387397068e-08	1.26124877163726	0.608	0.122	0.00445061930864102	Rpl11	0.486
1.00861441005531e-07	1.32059466153996	0.656	0.22	0.00558762297026544	Ndufa13	0.436
1.23919466007684e-07	1.64206952173508	0.688	0.415	0.00686501449735971	Ppia	0.273
1.40408371693339e-07	1.58351760396855	0.616	0.22	0.0077784833834393	Nrsn2	0.396
1.56117784944832e-07	1.19508539903487	0.728	0.39	0.00864876916815876	Eef1a1	0.338
1.59699895257631e-07	1.53637233242758	0.72	0.512	0.00884721449737751	Fth1	0.208
1.69184284969555e-07	-0.574382108255398	0.136	0.537	0.00937264020302836	Trak1	-0.401
1.77346366652747e-07	-0.724427998669063	0.096	0.463	0.00982481136619554	D030028A08Rik	-0.367
1.84769883548709e-07	1.30966880759623	0.696	0.366	0.0102360667787149	Rpl9	0.33
2.06510412865717e-07	1.50770463113271	0.6	0.171	0.0114404703623478	Ndufa4	0.429
2.11627708661109e-07	1.21283650278685	0.688	0.341	0.0117239634321168	Mt3	0.347
2.16518970185528e-07	1.15520040163305	0.552	0.098	0.0119949344293081	Atp5j	0.454
2.30526738630188e-07	1.29260273636469	0.816	0.707	0.0127709507933738	Rpl6	0.109
2.42696155611317e-07	1.25148861361947	0.544	0.073	0.0134451243247113	Tmsb4x	0.471
2.47191152457225e-07	1.42959006163866	0.664	0.293	0.0136941426549778	Slc25a4	0.371
2.78009309873273e-07	1.74282207291318	0.616	0.268	0.0154014377576694	Cox4i1	0.348
3.1154417469379e-07	-0.750453233499146	0.456	0.878	0.0172592357338613	Caskin1	-0.422
3.33811462958556e-07	1.18208191984154	0.592	0.122	0.0184928212364411	Clu	0.47
3.65735729931895e-07	1.94485328041142	0.712	0.585	0.0202613937024971	Calm1	0.127
4.16584303198792e-07	-1.08618489314305	0.112	0.463	0.0230783538129099	Tiparp	-0.351
4.42981978949293e-07	1.2902500306799	0.504	0.049	0.0245407586518119	Oxt	0.455
5.65840273445326e-07	1.29346566996442	0.768	0.634	0.0313469853085976	Sec62	0.134
5.76361486365993e-07	1.10361536145233	0.64	0.268	0.0319298499831896	Pebp1	0.372
5.90704309034739e-07	1.1552419076524	0.68	0.293	0.0327244280162155	Pgrmc1	0.387
5.91339519000166e-07	-0.686787052128279	0.128	0.488	0.0327596180130902	Zfp740	-0.36
6.41385351993469e-07	-0.705181508059245	0.344	0.805	0.0355321071150862	Cdyl2	-0.461
6.49702566115701e-07	1.32936781027442	0.64	0.244	0.0359928724602437	Tmsb10	0.396
6.72492176877194e-07	-0.458581384929208	0.056	0.366	0.0372553941068197	Utp4	-0.31
6.91034549387707e-07	1.01260157522937	0.536	0.098	0.0382826230015296	Ndufa3	0.438
7.00109741570353e-07	-0.782721567367319	0.856	0.976	0.038785379573256	Map1b	-0.12
7.49248436072333e-07	1.27503770104383	0.544	0.098	0.0415076141099712	Fkbp3	0.446
7.58206627329529e-07	1.32382498054019	0.584	0.195	0.0420038889474286	Spcs1	0.389
7.65893860440085e-07	1.15648367785926	0.792	0.732	0.0424297539745202	Scg5	0.0600000000000001
8.73153621771604e-07	1.12365538063772	0.624	0.244	0.0483718374925251	Rpl13	0.38
9.34949232736221e-07	1.0947926991163	0.496	0.073	0.0517952525443539	Ndufb11	0.423
1.02996548535317e-06	-0.613113038200192	0.184	0.585	0.0570590579230804	Dusp16	-0.401
1.11132626600761e-06	1.14762423623035	0.496	0.073	0.0615663638105558	Atp5o	0.423
1.11883396612825e-06	1.44682234811221	0.624	0.293	0.0619822828895391	Rpl19	0.331
1.16550970423505e-06	1.57223553381494	0.608	0.244	0.0645680721049177	Rpl37	0.364
1.18835453262692e-06	1.80783970452186	0.728	0.537	0.0658336527529987	Ubb	0.191
1.23663292511256e-06	1.14737204022268	0.56	0.146	0.0685082274183107	Cox6c	0.414
1.28602927887465e-06	1.24514875512085	0.64	0.293	0.071244736020377	Hsp90b1	0.347
1.52909767501488e-06	1.70586429335187	0.728	0.561	0.0847104820981496	Hsp90ab1	0.167
1.54672102210188e-06	1.01531500961565	0.536	0.146	0.085686797903422	Myl6	0.39
1.54716614892288e-06	1.01484077694108	0.528	0.098	0.0857114574841787	Atp5g3	0.43
1.57033641372767e-06	1.21766612688687	0.592	0.195	0.0869950669840994	Hspa5	0.397
1.69233446948128e-06	1.15736679018571	0.464	0.049	0.0937536372747936	Eef1b2	0.415
1.70785196848046e-06	-0.504362311481807	0.136	0.488	0.0946132912018489	Gng4	-0.352
1.8024722874168e-06	1.43993148402241	0.68	0.415	0.0998551622506033	Rpl38	0.265
1.87929439478759e-06	1.18138100821939	0.616	0.268	0.104111030176838	Spcs2	0.348
1.93765943689684e-06	1.07761143535433	0.536	0.122	0.107344395144648	Rps20	0.414
1.99255336322273e-06	1.12058609336392	0.504	0.098	0.110385463769176	Rps3	0.406
2.06635014376449e-06	-0.991521987416155	0.184	0.561	0.114473731614409	Btg2	-0.377
2.07669291273571e-06	1.26529861000685	0.84	0.854	0.115046710672646	Tecr	-0.014
2.21205064892423e-06	-0.584868124606711	0.96	1	0.122545393899753	Ptprn2	-0.04
2.32699851456398e-06	-0.757138713654688	0.12	0.439	0.12891339070833	Rcc2	-0.319
2.34062341597568e-06	1.09483190224242	0.472	0.073	0.129668196621637	Tpt1	0.399
2.73590485953814e-06	1.07242031266437	0.528	0.122	0.151566393313553	Atp5h	0.406
2.78274437787438e-06	1.26507441447788	0.76	0.634	0.154161255789863	Tmx4	0.126
2.83440655508172e-06	1.12556649448009	0.504	0.098	0.157023288744972	mt-Nd1	0.406
3.01909908658979e-06	0.908377878839504	0.464	0.049	0.167255070297988	Rpl18a	0.415
3.1279497018512e-06	0.988916121543487	0.64	0.317	0.173285285532854	Rps2	0.323
3.17218529567331e-06	0.984341925406017	0.544	0.146	0.175735893195006	Cox6b1	0.398
3.31146474855324e-06	0.952166859433443	0.648	0.293	0.183451835605101	Lrpap1	0.355
3.53748202430178e-06	1.10168846930218	0.488	0.098	0.195972966664294	Chchd10	0.39
3.64660407534056e-06	-0.739109369050396	0.352	0.732	0.202018219169791	Usp36	-0.38
3.67735031843429e-06	-0.577143151897221	0.208	0.61	0.203721530290941	Dbnl	-0.402
3.81585940847568e-06	1.09786295040634	0.528	0.146	0.211394795370144	Elob	0.382
4.05148328640117e-06	1.50386391531376	0.544	0.195	0.224448122583338	Chchd2	0.349
4.66030371312394e-06	0.98763084714699	0.48	0.073	0.258176165403353	Tuba1b	0.407
4.9854256540108e-06	1.20469368801619	0.816	0.854	0.276187595806544	Atp1b1	-0.038
5.09247043039661e-06	1.10836519005553	0.52	0.146	0.282117769373542	Ndufb8	0.374
5.13783182696517e-06	0.951509597277932	0.528	0.146	0.284630745382044	Rps7	0.382
5.19292531618859e-06	-0.791960469378189	0.776	0.927	0.287682869591532	Cmip	-0.151
5.38440993621173e-06	0.866874507321056	0.592	0.195	0.298290926056193	Rps27	0.397
5.52801443435994e-06	0.909223218127722	0.416	0.024	0.306246471649106	Gm10076	0.392
5.55853146585389e-06	0.912403763890289	0.624	0.244	0.307937084676839	Rpl36	0.38
5.57689096534257e-06	1.15021799333158	0.504	0.122	0.308954182589013	Ndufb5	0.382
5.92396846950145e-06	-0.650889904073777	0.688	0.902	0.328181929241911	Wdr33	-0.214
5.93747637624021e-06	1.07585405842035	0.56	0.22	0.328930253767331	Rps16	0.34
6.0789466534376e-06	1.43881719441075	0.928	1	0.33676756565379	Rtn1	-0.072
7.42188483508546e-06	-0.71814000782966	0.44	0.805	0.411164997978899	Vat1l	-0.365
7.89917778686515e-06	0.956242296788602	0.568	0.195	0.437606550214542	Rps26	0.373
8.06273172632464e-06	0.858034876050758	0.632	0.244	0.446667274906659	Ddrgk1	0.388
8.24444948951221e-06	0.935298670651936	0.56	0.195	0.456734257269487	Manf	0.365
9.11775710677222e-06	1.15971072379591	0.536	0.195	0.505114625958075	Tm2d3	0.341
9.23420115543801e-06	-0.562185061588817	0.184	0.537	0.51156550981011	Pou6f1	-0.353
9.29297844001217e-06	0.902498053590102	0.752	0.585	0.514821712598234	Slc25a3	0.167
9.32378260687725e-06	1.30138436749404	0.592	0.293	0.516528232638393	Fxyd6	0.299
