Identity	mean_fc_up	mean_fc_down	n_down_sig	n_up_sig	n_cells_cluster	expressed_genes	pct_activated_genes	Name
C286-178	0.400514312585692	-0.346489733672971	1	21	713	24	87.5	C286-178: Lepr.Agrp.GABA-4
C286-149	0.52377638693209	-0.300609769592049	1	7	488	15	46.67	C286-149: Grp.Ppp1r17.GABA-1
C286-139	0.469628453758267		0	6	334	17	35.29	C286-139: Myo5b.Sox14.Lef1.GABA-1
C286-151	0.354768950336814	-0.348232561341249	2	3	217	9	33.33	C286-151: St18.Lhx6.GABA-1
C286-66	0.527928110448027		0	3	286	10	30	C286-66: Ntng2.Lef1.Mixed.GLU-4
C286-32	0.247336284915405	-0.532397839344049	1	3	284	11	27.27	C286-32: Gpr88.Arhgap36.Fezf1.GLU-3
C286-142	0.386512015827042	-0.429902101583816	1	4	210	16	25	C286-142: Reln.Lef1.GABA-1
C286-130	0.473142638760982	-0.586394868975843	1	3	295	13	23.08	C286-130: Tbx19.Il1rapl2.GABA-1
C286-174	0.236905534523307	-0.417603428168944	1	3	326	13	23.08	C286-174: Trh.Nkx2-4.GABA-3
C286-45	0.148345942336242	-0.230156768065053	3	3	980	13	23.08	C286-45: Rai14.Hmcn2.Gpr149.GLU-3
C286-157	0.293062935518448	-0.174316246928553	2	4	319	18	22.22	C286-157: Hdc.GABA-1
C286-175	0.383347703864518	-0.481593691309734	1	3	314	14	21.43	C286-175: Ghrh.GABA-3
C286-143	0.681880232014536		0	3	284	14	21.43	C286-143: Gal.Hmcn1.GABA-1
C286-71	0.840050208350804		0	6	154	30	20	C286-71: Lpar1.GLU-4
C286-150	0.926412768359439		0	3	110	17	17.65	C286-150: Dlx6os1.Ppp1r17.GABA-1
C286-91	0.433911534933069		0	3	160	21	14.29	C286-91: Prkch.GLU-8
