p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	pct_diff	p_val_adj_negbinom	color	label
2.13416242378049e-76	-2.59466366741597	0.836	0.988	1.22419824952896e-71	Pcsk1n	-0.152	7.08048209695033e-97	down-regulated in fasting	Pcsk1n
7.68256235939565e-63	1.58714218961009	0.912	0.374	4.40687142059653e-58	N4bp2l1	0.538	1.62990771303059e-105	up-regulated in fasting	N4bp2l1
2.58257529769746e-60	1.51275395148839	0.801	0.197	1.48141684226522e-55	Myrip	0.604	2.69504825966051e-75	up-regulated in fasting	Myrip
3.89570619343817e-60	0.911812238578516	1	0.994	2.23465498668e-55	Asic2	0.00600000000000001	1.32977284265528e-107	up-regulated in fasting	Asic2
6.88806874390167e-60	1.54372245317467	0.938	0.46	3.95113399287688e-55	Lepr	0.478	1.40866176695541e-108	up-regulated in fasting	Lepr
1.12940992859172e-57	1.76182290567726	0.938	0.497	6.47852123238783e-53	Pde10a	0.441	1.61836202207712e-81	up-regulated in fasting	Pde10a
9.38217831720006e-52	0.453217752686498	1	1	5.3818051263123e-47	Snhg11	0	8.35131141098169e-64	up-regulated in fasting	
2.53711705743842e-49	-1.89438771468775	0.221	0.739	1.45534108648783e-44	mt-Rnr2	-0.518	5.52668598225373e-43	down-regulated in fasting	mt-Rnr2
3.26476393065392e-49	1.13546220430344	0.664	0.125	1.8727338859017e-44	Zbtb16	0.539	2.25309952619369e-48	up-regulated in fasting	Zbtb16
2.54004818364663e-46	1.14003807188771	0.686	0.138	1.45702243910338e-41	Arhgap26	0.548	4.28045872599892e-47	up-regulated in fasting	Arhgap26
1.36491298651143e-44	1.31038223909794	0.606	0.119	7.82941387322687e-40	1700016P03Rik	0.487	6.85458134815876e-47	up-regulated in fasting	1700016P03Rik
2.23936804864189e-43	-1.29189818861772	0.978	0.984	1.28454630006196e-38	Ly6h	-0.00600000000000001	3.77226120129251e-28	down-regulated in fasting	Ly6h
3.57365223338202e-42	1.15349078323049	0.929	0.548	2.04991839411259e-37	Ncoa2	0.381	5.66354477540989e-78	up-regulated in fasting	Ncoa2
3.6821213621653e-42	0.996564082787572	0.429	0.031	2.11213845576526e-37	Fam107b	0.398	3.02889703726277e-26	up-regulated in fasting	Fam107b
2.04970360671833e-40	0.836044051272491	0.987	0.897	1.17575098288577e-35	Tnik	0.09	4.93868378221801e-96	up-regulated in fasting	Tnik
1.61551098663219e-39	-1.95607192575896	0.327	0.706	9.26689412151959e-35	Cst3	-0.379	2.57333141493451e-42	down-regulated in fasting	Cst3
2.53002137312521e-39	0.845821131481763	1	0.977	1.45127086005208e-34	Ghr	0.023	3.71284067626386e-90	up-regulated in fasting	
2.56823476817468e-39	1.72528971194822	0.743	0.283	1.47319082772036e-34	Sorcs1	0.46	1.15409837318632e-56	up-regulated in fasting	Sorcs1
3.56430134321261e-39	-2.22773296117917	0.376	0.729	2.04455453649362e-34	Atp6v0c	-0.353	1.61894828086888e-51	down-regulated in fasting	Atp6v0c
7.17422934201397e-39	-2.23417980105767	0.765	0.883	4.11528143516605e-34	Resp18	-0.118	1.25996932864873e-56	down-regulated in fasting	Resp18
1.51464251418562e-38	1.06956475172072	0.597	0.133	8.68829238987153e-34	Fkbp5	0.464	3.71185892542971e-41	up-regulated in fasting	Fkbp5
1.83826029958928e-37	1.20247592147411	0.907	0.522	1.0544628730504e-32	Asap1	0.385	4.45827066582747e-79	up-regulated in fasting	Asap1
3.80959125666793e-37	1.19321831895086	0.854	0.423	2.18525773664986e-32	Rasgef1b	0.431	6.93203487380296e-58	up-regulated in fasting	Rasgef1b
1.73262876493463e-36	1.14784567547005	0.889	0.483	9.93870512141804e-32	Fstl4	0.406	1.07266271813563e-57	up-regulated in fasting	Fstl4
2.52935233887746e-36	1.51343320196849	0.659	0.216	1.45088708862689e-31	Ntng1	0.443	1.26836820606646e-44	up-regulated in fasting	Ntng1
1.34560339398996e-35	1.06623890393991	0.942	0.671	7.71865018860521e-31	Rmst	0.271	1.25211218438666e-64	up-regulated in fasting	Rmst
3.64787566017126e-35	1.01311281243046	0.938	0.665	2.09249443618744e-30	Camk2d	0.273	1.62426336116473e-74	up-regulated in fasting	Camk2d
2.59718647454462e-34	1.0899719421226	0.938	0.649	1.48979810552828e-29	Mast4	0.289	2.35431283721103e-73	up-regulated in fasting	Mast4
7.59485156660792e-33	-1.63735132671877	0.327	0.669	4.35655875563764e-28	Bsg	-0.342	4.10970182524599e-33	down-regulated in fasting	Bsg
5.74288542345746e-32	1.04193710799434	0.655	0.22	3.29423393660367e-27	Sv2c	0.435	2.57373966161517e-38	up-regulated in fasting	Sv2c
1.49997906822879e-31	-1.73068525214349	0.442	0.708	8.60417993117396e-27	Caly	-0.266	9.83813889319708e-35	down-regulated in fasting	Caly
1.86242219333926e-31	0.737852709222048	0.447	0.068	1.06832261854327e-26	Chd7	0.379	1.05873484984399e-24	up-regulated in fasting	
1.95706194211327e-31	0.551171147898267	1	1	1.12260987123502e-26	Meg3	0	3.88894557889234e-40	up-regulated in fasting	
8.5667950987636e-31	0.948107293084288	0.451	0.082	4.91408500455278e-26	Vgf	0.369	1.34485526343397e-28	up-regulated in fasting	Vgf
8.94759064161784e-31	0.85338811494616	0.677	0.222	5.13251694384482e-26	Rad54l2	0.455	1.47849390912242e-38	up-regulated in fasting	
1.0590462591945e-29	1.07671470289714	0.65	0.216	6.07490115199147e-25	Pex5l	0.434	1.87291556571169e-39	up-regulated in fasting	Pex5l
1.99259878977608e-29	-1.83242344892126	0.929	0.936	1.14299451779135e-24	CT010467.1	-0.00700000000000001	9.80796725704468e-39	down-regulated in fasting	
3.20664560037629e-29	-0.669701202269575	0.978	0.977	1.83939604928785e-24	Atp6v0b	0.001	0.00830643730025187	down-regulated in fasting	
3.8373478559336e-29	-1.61557895842823	0.142	0.538	2.20117947712063e-24	Rps27a	-0.396	2.74503465662438e-28	down-regulated in fasting	
4.61989998417607e-29	0.711702407434668	0.996	0.934	2.65006702892308e-24	Dnm3	0.0619999999999999	7.75894819458929e-62	up-regulated in fasting	
1.62426943849897e-28	0.698932174279188	0.283	0.014	9.31713435311781e-24	Fos	0.269	3.75927964279745e-14	up-regulated in fasting	
3.11794776228564e-28	0.98585537403999	0.894	0.505	1.78851719540229e-23	Fmnl2	0.389	6.20260159978199e-45	up-regulated in fasting	
3.16816992093871e-28	-1.41535404614459	0.416	0.69	1.81732563004886e-23	Itm2b	-0.274	4.00286300803603e-26	down-regulated in fasting	Itm2b
1.05038136376064e-27	-1.3788178577072	0.31	0.634	6.02519757880378e-23	Rps21	-0.324	4.73826184729955e-25	down-regulated in fasting	
1.51687336945793e-27	0.85835328099166	0.951	0.747	8.7010890218846e-23	Pak3	0.204	1.80055576845615e-50	up-regulated in fasting	
6.9975636583202e-27	0.947437924960041	0.827	0.448	4.01394246568563e-22	Trim9	0.379	2.65875605554005e-49	up-regulated in fasting	
1.55200134472635e-26	-0.903864534654456	0.796	0.928	8.90259011361927e-22	Ddx5	-0.132	2.02903245381056e-08	down-regulated in fasting	
3.273840194839e-26	-1.07658783439954	0.947	0.984	1.87794021256355e-21	Sgcz	-0.037	4.44321588720602e-06	down-regulated in fasting	
4.3853667290825e-26	1.02737150712122	0.836	0.53	2.5155340631363e-21	9530026P05Rik	0.306	1.44512585797864e-36	up-regulated in fasting	9530026P05Rik
5.12533465261418e-26	0.713352944553574	0.987	0.873	2.93999446343255e-21	Snap25	0.114	6.55795181254871e-52	up-regulated in fasting	
6.84694410871579e-26	0.81880342330805	0.934	0.676	3.92754407964155e-21	Plekha5	0.258	1.1601044001273e-44	up-regulated in fasting	
