cluster	agrp	pomc	pomc_glp1r	pomc_lepr
C286-1	0	0	0.00172736903700822	0
C286-10	0.0402582915179225	0	0	0
C286-100	0	0.000691703472564653	0.000845449086685057	0.000193423385455031
C286-101	0.000418591229470024	0.00403373766570037	0.00697052787607279	0.00831282007923838
C286-102	0.000125103703085673	3.50868213969568e-06	0.00283891408615732	0.000173106113421071
C286-103	0	0	0	0
C286-104	0.0040269383734831	4.25076410321032e-05	0.00495657198841036	0.000743205724887587
C286-105	0.0016250178799101	0.0170495931301502	0.0177837359231437	0.0246344252730332
C286-106	0.00586385615368481	0.0195810034443455	0.0475593496430407	0.054995605635364
C286-107	0.0115001637753283	0.0203133746971066	0.032132687407005	0.0470398264435875
C286-108	0.0112314436109448	0.0126386447923772	0.0259915198887876	0.024632021976308
C286-109	0.0168462244484995	0.0116641885361267	0.0274212595291214	0.0407660072907812
C286-11	0.0125524636269198	0.00680257196189596	0.00781278753611586	0.0105789071916583
C286-110	0.00791283013140601	0.0181688789262999	0.0187428118846531	0.030185359562883
C286-111	0.00853038216567219	0.0106994245757809	0.0159446603703341	0.0193683921172903
C286-112	0.00626471051966139	0.025022272445985	0.0379064221683859	0.05880302931642
C286-113	0.00996028044566609	0.0272001387889637	0.0780641769387417	0.0572620548720814
C286-114	0.00998025509784918	0.00610998720100017	0.0193280586768884	0.0255009443757267
C286-115	0.00940796276702703	0.0145536176634361	0.0157784852612883	0.0149264495455537
C286-116	0.0232608193164126	0.0193471148123152	0.0233949460708921	0.022126774862112
C286-117	0	3.63159266499267e-05	0	0.00130580191103483
C286-118	0.0012730568782172	3.63159266499267e-05	0	0.00130580191103483
C286-119	0.0508542585514037	0.017119510939595	0.0514375321835213	0.0194134074106701
C286-12	0.0326545178755088	0.0189163425946979	0.0217968646289653	0.00886333036761059
C286-120	0	3.63159266499267e-05	0	0.00593762225587879
C286-121	0.0133368861558494	0.0138146446063333	0.0117864266886519	0.0301388493018805
C286-122	0.00219384589111259	0.0103602386903606	0.0019930483587875	0.00215186285775039
C286-123	0.00500326671544321	0.0082778669133274	0.0139209573132824	0.016944313178478
C286-124	0.00138297380281712	0.00787793374131615	0.0668167070347353	0.0166934148172233
C286-125	0.015923489000486	0.0187974141345513	0.00742822049957687	0.0328830559632026
C286-126	0.0036010200299752	0.0070880839990507	0.00342321227914884	0.0234826456484233
C286-127	0.00568679845504373	0.0309509773130071	0.0242086808466438	0.0312815850012756
C286-128	0.000636629505826089	0.000409209705330887	0.00564289490582733	0.00083349049860409
C286-129	0.00614944332700509	0.0298036239204094	0.0242653258650846	0.0216024972651869
C286-13	0.0290978564952731	0.00206783606856064	0.00471377710054571	0.00278374661620065
C286-130	0.0603080142545847	0.0738687688781601	0.12282980510602	0.109896485518981
C286-131	0.0326282961510471	0.00105474031481944	0.0199417005606863	0.00293358913204571
C286-132	0.00736498669307223	0.00105474031481944	0.0163921685151029	0.00283069739656357
C286-133	0.0134091936157703	0.000990671015340475	0.00418266715267429	0.0016334352000927
C286-134	0.0196199745814159	0.00330832038228865	0.0107252398423958	0.00455516464811218
C286-135	0	0.000266589547730718	0	0.00754806606357482
C286-136	0.00658666321363487	0	6.373191792671e-06	4.20104412524332e-05
C286-137	0.00183941645315963	0.00361689464597853	0.00847537092010513	0.00913795714802376
C286-138	0.00695507404969323	5.32217470581578e-05	0.00182765607732031	0.00271365520205157
C286-139	0.0133777134584049	0.00243678632064795	0.00972837603188505	0.0128575487306191
C286-14	0.0364330146387618	0	0.000425522843249341	0
C286-140	0.00501843810851926	8.608609208805e-05	0.0059954832628141	0.00417081847179726
C286-141	0.0229166135403114	0.00977247030596313	0.0119148489372586	0.0191909178300026
C286-142	0.00805843562515203	0.003224926842767	0.01292798381068	0.012455775048206
C286-143	0	0.00312125832770277	0.0079733614100367	0.00862497548919474
C286-144	0.000125103703085673	0.00716039201581276	0.00283891408615732	0.0117637912360692
C286-145	0.000125103703085673	3.50868213969568e-06	0.00283891408615732	0.000173106113421071
C286-146	0.022345406024818	0.0295418925241189	0.0394858302524516	0.0344332502966654
C286-147	0.00443198149506547	0.0266089142547767	0.03746164483361	0.0357101953297153
C286-148	0.077461002658507	0.0964459730630416	0.116878962065226	0.156576260801176
C286-149	0.0221332454545603	0.00152669082816934	0.0357028174438677	0.00784316828391428
C286-15	0.0225260231497254	0.00206236296909144	0.00461112130275433	0.00736104929325052
C286-150	0.0189628737922785	0	0.00740897768709457	0.000350448262182588
C286-151	0	0	0	6.00368644783719e-05
C286-152	0.0231749013024862	0.026296159630189	0.031502532355558	0.0318125699445615
C286-153	0.00430964282842085	0.00101223267378734	0.00432841009875484	0.00196624743493473
C286-154	0.0164663292558513	0.0168490596426448	0.0203866588869427	0.0219759289880836
C286-155	0	0	0	0
C286-156	0.000122038788062268	0.00835979577040246	0.00157973520417311	0.000644349411964654
C286-157	0.0115417386915875	0.00215626762769722	0.00806454593895114	0.00711115340775979
C286-158	0.0484212737542251	0.035980397524012	0.0788831183831888	0.0627277681904744
C286-159	0.0558007455505997	0.10461751554087	0.139005159810149	0.146193395072927
C286-16	0.0219652797588347	3.63159266499267e-05	0.00593512257548168	0.00130580191103483
C286-160	0.0704891520214577	0.0340244802749768	0.0574049791726461	0.0505321490185733
C286-161	0.00695656786052615	3.38234763392593e-05	2.32188506984079e-05	5.72084187759728e-05
C286-162	0.0737229349314143	0.0343238916713051	0.0106596403302452	0.00265429772665198
C286-163	0.000544735575046799	0	0	0
C286-164	0.00726382333211772	0.000148019190860557	0.000266369643724486	9.91808060610715e-05
C286-165	0.0107650784044411	0.000149964315402042	0	5.72084187759728e-05
C286-166	0.000122038788062268	0	0	0
C286-167	0.00114182875025407	0.00440358923136052	0.0152933857116668	0.016285304817977
C286-168	0.00744552008116731	0.0168005473680448	0.0530108281573196	0.0527304517378083
C286-169	0.0415947744681647	0.0400838129618571	0.049216106593439	0.0505279674006259
C286-17	0.00467798395344705	3.63159266499267e-05	0.0041969717556527	0.00130580191103483
C286-170	0	0.0154221922180857	0.00805568569535833	0.0141345752214271
C286-171	0	0.0166886601979058	0	1.63972967100063e-05
C286-172	0.0281458625366676	0.0295971841330902	0.0295380185549679	0.0277214301603146
C286-173	0.00978885369465351	0.0185645538269688	0.0835298180978935	0.0445293091677765
C286-174	0.0419232664789092	0.0783686189905743	0.134540065348088	0.127111532050883
C286-175	0.0405795338165527	0.0771495942682444	0.109763109294101	0.116028518796267
C286-176	0.365176717477276	0.127201630570389	0.126070034730997	0.107713728856036
C286-177	0.347380821335194	0.103982682226245	0.0936988551835273	0.0736178693861506
C286-178	0.14023572153454	0.0423889434617663	0.0251649805563421	0.0109315668197689
C286-179	0.124574320486605	0.0466011985482537	0.0371203679345627	0.0233900020278305
C286-18	0.031277515882583	0.0213577258120126	0.0356786174226854	0.0226671435891613
C286-180	0.102906143013003	0.0468567703537976	0.0215997593720204	0.0130335609511544
C286-181	0.0586082023556991	0.0483974088509308	0.0833518946894489	0.0706487108256239
C286-182	0.0313610710218613	0.00792976251436514	0.0232638819905733	0.0108941161972347
C286-183	0.0458509116517108	0.0248459645064205	0.0666938718614657	0.0405852250563259
C286-184	0.0507566347842519	0.001649776295024	0.00283891408615732	0.00157406174351076
C286-185	0.015726738947799	0.00101574135592703	0.00887065654374553	0.0021393535483558
C286-186	0.0129104655306681	0.000503435950197035	0.00292585460262728	0.000801816102159969
C286-187	0.031434434357159	5.74635513289016e-05	0.00787113980951913	0.000690663321553923
C286-188	1.92751863057416e-05	0.000116140839062783	0	0
C286-189	0.0022351566291955	0.0318576612252626	0.0422208184635076	0.0290479220290874
C286-19	0.0462083704860044	0.0551028334460308	0.037794682597664	0.0575920031367122
C286-190	0.00180142472909129	0.00188296621419831	0.00386879456330291	0.00167920728433612
C286-191	0.00168822348389289	0.00382921134153001	0.00523681566576971	0.00127537510136703
C286-192	0.0018114039619667	0.00685797660104558	0.0157948238954121	0.0088415406088929
C286-193	0.000209222047435962	0.0150355470120733	0.0471185137317425	0.0224399056359094
C286-194	0.0541387885883927	0.022611250114634	0.0599241315090238	0.0194987708933323
C286-195	0.0628922081430824	0.0524318881276913	0.0570666336813627	0.0702534085997397
C286-196	0.0922649474615004	0.0305758569179229	0.0461704665548732	0.04582315512756
C286-197	0.0060221226321856	0.00363956390570252	0.00836708554514848	0.00773370568034595
C286-198	0.0246756477937459	0.0155536180987968	0.0292525276442763	0.0324428139359355
C286-199	0.00394661378237159	0.00410603671894885	0.0032910088229896	0.0078164646361452
C286-2	0	0	0	0
C286-20	0.0227740295250126	0.0179148613761494	0.0241816512724674	0.00142342703737173
C286-200	0.0024645041240039	0.0179222382344028	0.0164352380198832	0.016932918787984
C286-201	0.00431758939952594	0.00653590494769289	0.00405335148533035	0.0116564200451906
C286-202	0.00939727278478215	0.00545492231097268	0.0102783280062353	0.0130594674846071
C286-203	0.00320037171506383	0.00874414809444716	0.00191904618420667	0.0109468600286635
C286-204	0.00190169881113963	0.0122943721374046	0.00337618331790938	0.0168177416014768
C286-205	0.00218029807747366	0.019367970484941	0.00898589487572436	0.0303065935631254
C286-206	0	0	0	0
C286-207	0.00471176732653717	0.00717667632987215	0.00370636541842141	0.0156935751136717
C286-208	0.0016362545543512	0.00443035281754238	0.00160461330844728	0.0046154016249786
C286-209	0.000343265657425406	0.000572573979149131	8.65864597778074e-05	0.00481906186376974
C286-21	0.00293674173262991	0.00348579000646317	0.00471155367576416	0.0114025069105363
C286-210	1.84026098604259e-05	0.00879696559979597	0.00817610161811096	0.013035190544015
C286-211	1.84026098604259e-05	0.000567069788285839	9.49850784270055e-06	0.000893050349974735
C286-212	1.84026098604259e-05	0.000557881757024634	9.49850784270055e-06	0.00069136733995339
C286-213	0.00157034472095683	0.000526518016108684	3.36062992231246e-05	0.000550299666656606
C286-214	1.84026098604259e-05	0.000590668013273363	0.000114714901585911	0.00408418882379278
C286-215	0.0342472986467758	0.0184379713708081	0.0225144188136961	0.0189591336895731
C286-216	0.000711096035582403	0.000577627096493203	9.49850784270055e-06	0.00164651645752508
C286-217	0.00137816105407678	0.017699844252987	0.00585971120205898	0.000835741404928424
C286-218	0.000803762772028785	0.00061610814918865	0.00038279965534557	0.00513475023069049
C286-219	5.840851610135e-06	4.23482917366757e-06	0.000170669487019229	3.16709172554862e-05
C286-22	0	0.000110538527007816	0	0
C286-220	9.38319579326703e-05	0.000637912966354778	8.49278559149449e-05	0.00182909171244147
C286-221	0.0305743621135837	0.0249495553734536	0.0228556919982115	0.034135804844494
C286-222	0.0126754131819111	0.0125352699635518	0.012739802631072	0.0200667084179718
C286-223	0.00486314682197978	0.0150144448768169	0.0183154619839754	0.0139270834228322
C286-224	0.0285735333447761	0.0320593635486076	0.0399408595308645	0.0507581708643747
C286-225	0.000374382308617432	0.00900323838977977	0.00128637200188848	0.0105526693923797
C286-226	0.000151745408636893	0.000257357230241796	7.67202355986299e-05	8.95718307619467e-06
C286-227	0.00114779350797447	8.02197065262074e-05	0.000522591911221675	1.29683419971039e-05
C286-228	0.000263736833573351	0.000750325543978078	6.77472242813177e-05	0
C286-229	0.000348963741965763	0.00258076623573747	0.000223458385594736	3.94777996852069e-05
C286-23	0.0079733614100367	0.00202604704244151	0.00418559845950499	0.00143480308556584
C286-230	0.00416240949674385	0.0810577908177811	0.083682661295949	0.0770084151492172
C286-231	0.000277888981862528	0.000186608295557747	5.86049817400666e-05	0
C286-232	0	0	0	0
C286-233	0.000366282075636363	0.000565821013221036	0.00021792968436285	5.13843795037796e-05
C286-234	0.000245478556412443	0.00167761053714305	7.16605267926098e-05	0.000303222326784625
C286-235	0.000299377683887128	0.00516827375307996	0.000196885674869511	0.000318057084418199
C286-236	0.000293981709977538	0.00612847211112446	0.00100599872106414	0.00115492774903513
C286-237	0	0.000684229668912396	0	2.43299304616985e-05
C286-238	0.000133965504256816	0.000597174390055725	0.000238747415800237	0.000282178609617981
C286-239	7.61448883489581e-05	0.000244260666969062	0.00120317542144954	0.000489472631943025
C286-24	0.0227588126579706	0.0280469399116212	0.0341324452009863	0.0356582905004379
C286-240	3.45622855268604e-05	0.000450546902217597	0.000572176371812655	0.000533182145121347
C286-241	7.71205182846116e-06	0.00113757185277953	0.000155451520249235	0.000493220795953869
C286-242	0.000415270414801052	0.00590236930951793	0.000344122178500157	0.000169578027610109
C286-243	2.19397607617449e-05	0.000327787400819547	5.91409751922412e-05	0.00112028745204533
C286-244	0.000805221707221319	0.00133892119715837	0.00119503807151043	0.000842684269335994
C286-245	0.000844358478439923	0.00118897186991414	0.0014647853055073	0.00117858944201162
C286-246	0.000173066945806275	0.00111285744974477	0.000108916947274169	0.000514849459240502
C286-247	0.00135192838896063	0.00266681084980552	0.00153207864903783	0.00150679575101808
C286-248	0.000261088768067154	0.000604606313119627	0.00122594457931755	0.00142729556671497
C286-249	0.000426370407338613	0.00587795967179081	0.00079421454460678	0.00134177752004937
C286-25	0.000167631549280006	0.00224869077465244	0.00228780512927547	0.00245102595650739
C286-250	0.0036478814840494	0.041916717572411	0.036876013955602	0.0307806817786067
C286-251	0.00517760750541365	0.00514227296426816	0.00361307972012712	0.00333118476679146
C286-252	0.00331758617181013	0.00530928126563416	0.00223014029682074	0.00389388622847624
