Experiment	Location	Section	total_1	total_1_2	total_1_glp1r	total_1_2_Glp1r	total_1_pct	total_2_pct	mouse_id
Ghrh	caudal	43B8 section4	25		15		60	60	43B8
Ghrh	caudal	51B6 section3	37		16		43.2432432432432	43.2432432432432	51B6
Ghrh	caudal	49B8 section4	45		13		28.8888888888889	28.8888888888889	49B8
Ghrh	caudal	45B8 section4	28		7		25	25	45B8
Ghrh	rostral	43B8 section3	25		12		48	48	43B8
Ghrh	rostral	45B8 section2	16		10		62.5	62.5	45B8
Ghrh	rostral	49B8 section2	15		8		53.3333333333333	53.3333333333333	49B8
Ghrh	rostral	51B6 section2	24		15		62.5	62.5	51B6
Sst Unc13c	caudal	49B2 section3	41	17	16	9	39.0243902439024	52.9411764705882	49B2
Sst Unc13c	caudal	45B2 section4	30	9	8	7	26.6666666666667	77.7777777777778	45B2
Sst Unc13c	caudal	37B8 section4	45	26	19	17	42.2222222222222	65.3846153846154	37B8
Sst Unc13c	caudal	65B4 section2	53	13	11	9	20.7547169811321	69.2307692307692	65B4
Sst Unc13c	rostral	37B8 section3	46	22	18	17	39.1304347826087	77.2727272727273	37B8
Sst Unc13c	rostral	45B2 section2	23	12	6	6	26.0869565217391	50	45B2
Sst Unc13c	rostral	49B2 section2	25	13	9	9	36	69.2307692307692	49B2
Sst Unc13c	rostral	65B4 section1	33	13	7	7	21.2121212121212	53.8461538461539	65B4
Pomc Anxa2	caudal	39B9 section3	80	20	37	1	46.25	5	39B9
Pomc Anxa2	caudal	47B8 section1	37	10	8	0	21.6216216216216	0	47B8
Pomc Anxa2	caudal	43B9 section2	42	19	16	2	38.0952380952381	10.5263157894737	43B9
Pomc Anxa2	caudal	51B8 section2	69	25	38	2	55.072463768116	8	51B8
Pomc Anxa2	rostral	39B9 section4	51	9	27	2	52.9411764705882	22.2222222222222	39B9
Pomc Anxa2	rostral	47B8 section3	59	7	35	1	59.3220338983051	14.2857142857143	47B8
Pomc Anxa2	rostral	43B9 section4	39	6	22	2	56.4102564102564	33.3333333333333	43B9
Pomc Anxa2	rostral	51B8 section3	40	13	25	3	62.5	23.0769230769231	51B8
Oxt	PVH	39A2_4	45		17		37.7777777777778	37.7777777777778	39A2
