section	Crabp1/Pnoc_of_Crabp1	Crabp1/Pnoc/Tmem215_of_Crabp1/Pnoc	Crabp1/Pnoc/Htr3b_of_Crabp1/Pnoc	Crabp1/Pnoc/Tmem215/Htr3b_of_Crabp1/Pnoc
figure1 wt1	72.5	75.8620689655172	31.0344827586207	10.3448275862069
figure3 wt3	66.6666666666667	38.8888888888889	55.5555555555556	13.8888888888889
figure4 wt3 middle 1a	69.5652173913044	2.08333333333333	33.3333333333333	2.08333333333333
figure5 wt3 middle2a	62.6016260162602	44.1558441558442	20.7792207792208	7.79220779220779
figure6 middle 1a	87.3239436619718	61.2903225806452	30.6451612903226	6.45161290322581
figure7 wt1 middle 1b	71.2328767123288	46.1538461538462	23.0769230769231	7.69230769230769
figure8 middle2b	72	33.3333333333333	18.0555555555556	12.5
figure9 awt3 anterior	86	58.1395348837209	25.5813953488372	4.65116279069768
figure 10 wt4 middle 1a	89.7435897435898	40	17.1428571428571	5.71428571428571
figure11 wt4 middle 1b	75.3623188405797	46.1538461538462	32.6923076923077	11.5384615384615
figure12 wt4 middle2a	84.5070422535211	46.6666666666667	30	15
figure13 wt4 middle2b	73.2394366197183	23.0769230769231	44.2307692307692	15.3846153846154
figure14 wt4 postb	77.0833333333334	32.4324324324324	45.945945945946	16.2162162162162
figure15 wt4 post a	81.1111111111111	26.027397260274	42.4657534246575	10.958904109589
