section	Sst/Pnoc_of_Sst	Sst/Pnoc/Nts_of_Sst/Pnoc	Sst/Pnoc/Unc13c_of_Sst/Pnoc	Sst/Pnoc/Nts/Unc13_of_Sst/Pnoc
Figure1 wt1_posta	38.9830508474576	17.3913043478261	26.0869565217391	4.34782608695652
Figure2 wt1_postb	60.7843137254902	0	48.3870967741936	0
Figure3 wt1_middle 2a	68.2539682539683	4.65116279069768	41.8604651162791	4.65116279069768
Figure4 wt1_middle 2b	61.1111111111111	0	45.4545454545455	0
Figure5 wt1_middle 1a	61.6666666666667	0	29.7297297297297	0
Figure6 wt1_middle 1b	44.2307692307692	0	100	0
Figure7 wt2_ant	62.5	13.3333333333333	26.6666666666667	6.66666666666667
Figure8  wt2_ middle1a	70	0	57.1428571428571	0
Figure9 wt2_ middle1a	65.625	0	47.6190476190476	0
Figure10	78.7878787878788	0	61.5384615384615	0
Figure11 wt2_ middle1a	58.3333333333333	4.76190476190476	42.8571428571429	0
Figure12 wt3_ middle1a	48.5714285714286	41.1764705882353	100	11.7647058823529
