cluster	glp1r	pnoc
C286-1	5.45176677940887e-05	0.0388081394148436
C286-10	0.0124808096995564	0.0539596088658215
C286-100	0.000261268483427175	0.0740964827319467
C286-101	0.00111895633146125	0.0566315491462909
C286-102	0.00716935939915954	0.00491527615942341
C286-103	5.35614380109182e-06	0.0163474280861454
C286-104	0.000621314827712003	0.0174564002782234
C286-105	0.00125018860337873	0.0272037416248606
C286-106	0.026793985699349	0.0168302585923707
C286-107	0.0761432408809685	0.0137028088881484
C286-108	0.0694998873980386	0.0230896946141874
C286-109	0.0335151060603939	0.0265550640854809
C286-11	0.0306689328765795	0.0180295690470569
C286-110	0.0144664394001643	0.0196296116267453
C286-111	0.000477681653652127	0.00902481278710555
C286-112	0.0864486751709964	0.0120207566723371
C286-113	0.0958085973416843	0.0106806043314626
C286-114	0.0163087066530822	0.00640557766915846
C286-115	0.00298383168161215	0.0223570866445919
C286-116	0.0203176613594435	0.0372482984560179
C286-117	0.000148929027970986	0.0158533334449091
C286-118	0	0.0111511083128887
C286-119	0.0463627196903669	0.0182142647466338
C286-12	0.0546686470495251	0.0628418627575001
C286-120	0	0.0233676662343745
C286-121	0.0198538034465055	0.0425536167481174
C286-122	0.0190341371949553	0.102005510999458
C286-123	0.0891767188978587	0.00875355051337059
C286-124	0.020677539237863	0.0661744279384313
C286-125	0.015231327751573	0.0311914751151475
C286-126	0.00355190429962046	0.00912565439136919
C286-127	0.0169392551566834	0.0101677901072352
C286-128	0.000301091907823195	0.0458354505479576
C286-129	0.0180181633958026	0.0110282341566686
C286-13	0.0291934629945243	0.0611056250183319
C286-130	0.0584175863562065	0.0511058692412586
C286-131	0.0197525284385907	0.00606559517516099
C286-132	0.0199366639793639	0.00942798067565498
C286-133	0.00283233129353615	0.00157597051571345
C286-134	0.017455031329292	0.00446902946707009
C286-135	4.6914660112727e-05	0.0148447003103682
C286-136	0.00282393961659725	0.014678593161366
C286-137	0.0149700290887965	0.0326621883045355
C286-138	0.00243954030030574	0.0135018514259307
C286-139	0.00154954662274894	0.032580311385342
C286-14	0.011432547558789	0.00660877612252236
C286-140	0.000579508820161066	0.0169907799912181
C286-141	0.00693929187763816	0.0463701928861203
C286-142	0.0162556094034005	0.0236234487019625
C286-143	0.0132298583630768	0.000273486616285695
C286-144	0.000895215885987797	0.0183504431601076
