reduction	mean_purity_knn	mean_entropy_knn_all	resolution	silhouette_score_cosine	mean_mixingNorm	silhouette_score_norm	mean_purity_knn_norm	mean_entropy_knn_all_norm	mean_mixingNorm_norm	mixing_score	purity_score	assay	ndim	features	method	features_ngenes
scVI_3_150_0.01_3_256_gene_zinb..scVI..60..features_RNA.log.vst.split_Batch_ID.features.1000_3b9e3ed8dac54bd9d04e434d74ffbb99	0.558265582655827	0.402887281172553	7.5	0.0915106152076694	0.908002191456183	51	88.89	51.25	77.1	64.175	79.4175	scVI	60	features_RNA.log.vst.split_Batch_ID	scVI	1000
scVI_3_150_0.01_3_256_gene_zinb..scVI..60..features_RNA.log.vst.split_Batch_ID.features.750_3b9e3ed8dac54bd9d04e434d74ffbb99	0.558130081300813	0.413285990393676	7.5	0.0786746668581413	0.909062022583564	44	88.85	53.46	77.83	65.645	77.6375	scVI	60	features_RNA.log.vst.split_Batch_ID	scVI	750
scVI_3_150_0.01_3_256_gene_zinb..scVI..80..features_RNA.log.vst.split_Batch_ID.features.1000_8a71cab20d8ba5575858e56d9c6c5e95	0.553137703252033	0.405315893084344	7.5	0.0876837214929457	0.913323362762005	49	87.42	51.77	80.77	66.27	77.815	scVI	80	features_RNA.log.vst.split_Batch_ID	scVI	1000
scVI_3_150_0.01_3_256_gene_zinb..scVI..80..features_RNA.log.vst.split_Batch_ID.features.750_8a71cab20d8ba5575858e56d9c6c5e95	0.550787601626016	0.413443701863454	7	0.0839937363389948	0.916111129253575	47	86.74	53.49	82.69	68.09	76.805	scVI	80	features_RNA.log.vst.split_Batch_ID	scVI	750
scVI_4_150_0.01_2_128_gene_zinb..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_8046be1573ac37fa37bc3c5b56f6e65b	0.555591548102981	0.392330860481652	7.5	0.117913533066558	0.899570043788807	66	88.12	49.02	71.29	60.155	82.59	scVI	50	features_RNA.log.vst.split_Batch_ID	scVI	1000
scVI_4_150_0.01_2_128_gene_zinb..scVI..50..features_RNA.log.vst.split_Batch_ID.features.750_8046be1573ac37fa37bc3c5b56f6e65b	0.549722645663957	0.395955129912024	8	0.103249722320502	0.900461834738356	58	86.43	49.79	71.9	60.845	79.3225	scVI	50	features_RNA.log.vst.split_Batch_ID	scVI	750
scVI_4_150_0.01_2_128_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_8a71cab20d8ba5575858e56d9c6c5e95	0.534552845528456	0.390384100504651	6	0.0910319071485229	0.908348449513456	51	82.06	48.6	77.34	62.97	74.295	scVI	90	features_RNA.log.vst.split_Batch_ID	scVI	1000
scVI_4_150_0.01_2_128_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_8a71cab20d8ba5575858e56d9c6c5e95	0.552021934281842	0.390834631036352	6.5	0.0846952372625218	0.911320290811138	47	87.09	48.7	79.39	64.045	77.0675	scVI	90	features_RNA.log.vst.split_Batch_ID	scVI	750
scVI_5_150_0.01_3_128_gene_zinb..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_8046be1573ac37fa37bc3c5b56f6e65b	0.554653624661247	0.396811953968596	8	0.122666458121279	0.899742775688844	69	87.85	49.97	71.41	60.69	83.1375	scVI	50	features_RNA.log.vst.split_Batch_ID	scVI	1000
scVI_5_150_0.01_3_128_gene_zinb..scVI..50..features_RNA.log.vst.split_Batch_ID.features.750_8046be1573ac37fa37bc3c5b56f6e65b	0.564693428184282	0.406015005671138	8	0.106478183211964	0.901335096667088	60	90.75	51.92	72.5	62.21	83.0625	scVI	50	features_RNA.log.vst.split_Batch_ID	scVI	750
