reduction	mixingrf	mixingknn	mean_knn_purity	asw	method	ndim	features_ngenes	scvi_params	nlayers	max_epochs	dropout_rate	source	mean_purity_knn_norm	mixingknn_norm	mixingrf_norm	asw_norm	mixing_score	purity_score
scVI_0_400_0.1_3_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.1000_dee51dad39ec51d5b20cec93d2df348f	0.94537062990482	0.457642727413989	0.301992988997423	0.0970376139034484	scVI	85	1000	400_0.1_3_256	3	400	0.1	neuron	73.37	94.25	92.48	56.95	93.365	73.37
scVI_0_400_0.1_3_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.1500_6fbbdf97848724f00e38746cdcfc53cb	0.944142577939615	0.451928866424202	0.293261049854324	0.0924754305060088	scVI	85	1500	400_0.1_3_256	3	400	0.1	neuron	61.05	93.07	91.7	52.32	92.385	61.05
scVI_0_400_0.1_3_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.2000_67903f0b49d331bd7b56ef846a63a2ec	0.942915695065276	0.442103607295557	0.293485471527684	0.0925941994392814	scVI	85	2000	400_0.1_3_256	3	400	0.1	neuron	61.36	91.05	90.92	52.44	90.985	61.36
scVI_0_400_0.1_3_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.2500_6160569ebe7019a7c36407e744a3cff9	0.945999740756521	0.440379218097584	0.290040902987366	0.0887849148375458	scVI	85	2500	400_0.1_3_256	3	400	0.1	neuron	56.5	90.69	92.88	48.57	91.785	56.5
scVI_0_400_0.1_3_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.3000_cd490b86cb7af5f236e43e63bd7a6fc5	0.944618655481177	0.435361896771056	0.29029144818594	0.0903645954981244	scVI	85	3000	400_0.1_3_256	3	400	0.1	neuron	56.86	89.66	92	50.18	90.83	56.86
scVI_0_400_0.1_3_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.750_d8189bb6e7105e321e1ec92197b6a59d	0.947462534866191	0.462422423415023	0.298034401186962	0.0973947066173091	scVI	85	750	400_0.1_3_256	3	400	0.1	neuron	67.78	95.23	93.81	57.31	94.52	67.78
scVI_0_400_0.1_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.1000_d0eaf29aab4b996f6b700952edb9d829	0.94358209947259	0.461394573880308	0.297942773679682	0.116762654511791	scVI	85	1000	400_0.1_4_256	4	400	0.1	neuron	67.65	95.02	91.35	76.98	93.185	67.65
scVI_0_400_0.1_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.1500_a1aef6c0fb281c4fb3412de6eff29c44	0.941386890838549	0.455946580017099	0.287262423281729	0.102869250275836	scVI	85	1500	400_0.1_4_256	4	400	0.1	neuron	52.58	93.9	89.95	62.87	91.925	52.58
scVI_0_400_0.1_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.2000_f91be8e24bb67af8d4c6a8a9677be3dd	0.939859262534097	0.448414645283378	0.280123978330147	0.0989192095764231	scVI	85	2000	400_0.1_4_256	4	400	0.1	neuron	42.51	92.35	88.98	58.86	90.665	42.51
scVI_0_400_0.1_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.2500_83626a848c4ed8c24d126848f0915d3c	0.93956539393106	0.444827604227162	0.280562741727809	0.0981858457711527	scVI	85	2500	400_0.1_4_256	4	400	0.1	neuron	43.13	91.61	88.79	58.12	90.2	43.13
