mixingrf	reduction	mixingknn	mean_knn_purity	silhouette_score_euclidean	mean_purity_knn_norm	mixingknn_norm	mixingrf_norm	mixing_score	asw_norm	purity_score	method	ndim	features_ngenes	scvi_params	nlayers	max_epochs	dropout_rate
0.941093495136721	scVI_0_100_0.05_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.1000_0e58794e6a09404485260b4bd502d977	0.416473360921902	0.424820005119525	0.0539114324327727	84.08	87.9	90.81	89.355	45.54	84.08	scVI	85	1000	100_0.05_4_256	4	100	0.05
0.941954431666338	scVI_0_100_0.05_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.1250_ca31fd40be3f33ba2a86fe158af137f2	0.41348349686372	0.430420772469754	0.0653134306884187	86.77	87.27	91.37	89.32	57.55	86.77	scVI	85	1250	100_0.05_4_256	4	100	0.05
0.93809182221256	scVI_0_100_0.05_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.1500_1eaa1fab1892f5c42f7952f805fb7db4	0.407675951327972	0.430444116638137	0.0713567267046048	86.79	86.05	88.88	87.465	63.91	86.79	scVI	85	1500	100_0.05_4_256	4	100	0.05
0.936128367729493	scVI_0_100_0.05_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.2000_44576b5bebf2ee79d8b88f4cde3ed605	0.395888677675859	0.434167998502508	0.0798268076430839	88.58	83.56	87.62	85.59	72.84	88.58	scVI	85	2000	100_0.05_4_256	4	100	0.05
0.93493820968334	scVI_0_100_0.05_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.2500_74c150b95e3f42d0270a63be9f817fb8	0.395069619778628	0.432206333073621	0.0809860092065925	87.63	83.39	86.85	85.12	74.06	87.63	scVI	85	2500	100_0.05_4_256	4	100	0.05
0.932550704959605	scVI_0_100_0.05_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.3000_282c8a306cf1a5a6a35a69055cd05702	0.387091268081929	0.426030460320262	0.0777191087874038	84.66	81.7	85.31	83.505	70.62	84.66	scVI	85	3000	100_0.05_4_256	4	100	0.05
0.939619948824347	scVI_0_100_0.05_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.750_8a70bd9575b405d5e6fd24e3dedb57d3	0.41979453485154	0.416494925434789	0.0476933967124478	80.08	88.61	89.86	89.235	38.99	80.08	scVI	85	750	100_0.05_4_256	4	100	0.05
0.946626147796072	scVI_0_100_0.1_2_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1000_6e4c1ba8ef54ff455d61329729021f99	0.400115182906239	0.43510759115117	0.0349592010899874	89.03	84.45	94.37	89.41	25.57	89.03	scVI	65	1000	100_0.1_2_256	2	100	0.1
0.947676105460346	scVI_0_100_0.1_2_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1250_cf561b0c59476cddf70e38a0067c0007	0.400668373676892	0.438476327239581	0.0384105980185607	90.65	84.57	95.05	89.81	29.21	90.65	scVI	65	1250	100_0.1_2_256	2	100	0.1
0.947111417113878	scVI_0_100_0.1_2_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1500_ebc1978a7cad9a004923e7cf9d33e916	0.397944376745288	0.441790887880474	0.044746785054169	92.24	83.99	94.69	89.34	35.88	92.24	scVI	65	1500	100_0.1_2_256	2	100	0.1
0.934088466650854	scVI_0_100_0.01_3_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.1000_935c0110edf5fde8946d05b280ff1451	0.366866136508424	0.430983137456257	0.0333801204369292	87.04	77.43	86.3	81.865	23.91	87.04	scVI	110	1000	100_0.01_3_256	3	100	0.01
0.935526468327767	scVI_0_100_0.01_3_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.1250_8a74c04c7eed89cb8568ee3388fa19c2	0.373950058659698	0.436755665247746	0.036160187718664	89.82	78.93	87.23	83.08	26.83	89.82	scVI	110	1250	100_0.01_3_256	3	100	0.01
0.938979650039929	scVI_0_100_0.01_3_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.1500_893173b250f472d3c7072ef48a94ee33	0.366715376473368	0.437321407926986	0.0408721217133701	90.09	77.4	89.45	83.425	31.8	90.09	scVI	110	1500	100_0.01_3_256	3	100	0.01
0.938245636987859	scVI_0_100_0.01_3_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.2000_05009543105d39ab3b03a33e3f803857	0.3675344343706	0.443500300557059	0.0446290451725757	93.06	77.58	88.98	83.28	35.76	93.06	scVI	110	2000	100_0.01_3_256	3	100	0.01
0.937077388152124	scVI_0_100_0.01_3_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.2500_b3771c5dc5bc8d09f447ad3727d68fb1	0.366715376473368	0.446750956026059	0.048611082542281	94.63	77.4	88.23	82.815	39.95	94.63	scVI	110	2500	100_0.01_3_256	3	100	0.01
0.937016007537391	scVI_0_100_0.01_3_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.3000_490e45991850c279cab673cdbe55480a	0.35804048511341	0.446333564462948	0.0467779112100373	94.43	75.57	88.19	81.88	38.02	94.43	scVI	110	3000	100_0.01_3_256	3	100	0.01
0.936656367926678	scVI_0_100_0.01_3_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.750_32d9ca59c429586fda49891dfc260a71	0.374484936532584	0.41805545090164	0.0305816101074617	80.83	79.04	87.96	83.5	20.96	80.83	scVI	110	750	100_0.01_3_256	3	100	0.01
0.948113117483754	scVI_0_100_0.1_2_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.2000_07dd22c03ac731f0115485fc9441dbbe	0.395069619778628	0.446469855383868	0.0467200268155949	94.49	83.39	95.33	89.36	37.96	94.49	scVI	65	2000	100_0.1_2_256	2	100	0.1
0.946348717904641	scVI_0_100_0.1_2_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.2500_2cb5a8a4a35544e24ec9729c2e52387e	0.387091268081929	0.449202473279407	0.0487717502179789	95.81	81.7	94.2	87.95	40.12	95.81	scVI	65	2500	100_0.1_2_256	2	100	0.1
0.944443085147844	scVI_0_100_0.1_2_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.3000_8fa133d52301bf82c93c7738462d90c4	0.377359693499245	0.451149725764343	0.046956716558684	96.74	79.65	92.97	86.31	38.21	96.74	scVI	65	3000	100_0.1_2_256	2	100	0.1
0.945797978685569	scVI_0_100_0.1_2_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.750_478fc25a8efc91e41f3307bee1d90894	0.397944376745288	0.4266358662452	0.0316111546546712	84.95	83.99	93.84	88.915	22.04	84.95	scVI	65	750	100_0.1_2_256	2	100	0.1
0.942455181547132	scVI_0_150_0.01_4_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.1000_9b7b08290f11d022c8e6b36e6b861cbe	0.428469426211499	0.421446515019807	0.0389370199650821	82.46	90.44	91.69	91.065	29.76	82.46	scVI	110	1000	150_0.01_4_256	4	150	0.01
0.943775461604993	scVI_0_150_0.01_4_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.1250_4e3224397c7da3de82030ae56e0efc8a	0.424242920981118	0.426799554600209	0.0470296836267338	85.03	89.54	92.54	91.04	38.29	85.03	scVI	110	1250	150_0.01_4_256	4	150	0.01
0.943251048997484	scVI_0_150_0.01_4_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.1500_113d1c6bb2a6463d3eb5c2320670a284	0.41979453485154	0.428491677819483	0.050716166226574	85.85	88.61	92.2	90.405	42.17	85.85	scVI	110	1500	150_0.01_4_256	4	150	0.01
0.943198693051833	scVI_0_150_0.01_4_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.2000_7ebae7968a925c87c0710b3d4e24504e	0.407884742965455	0.43020214622624	0.0548608974620966	86.67	86.09	92.17	89.13	46.54	86.67	scVI	110	2000	150_0.01_4_256	4	150	0.01
0.940137662818115	scVI_0_150_0.01_4_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.2500_93b94262bb87b3676bab5c65ef3dd1a5	0.403658237735075	0.429576006421715	0.0588112627991189	86.37	85.2	90.2	87.7	50.7	86.37	scVI	110	2500	150_0.01_4_256	4	150	0.01
0.940589717382215	scVI_0_150_0.01_4_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.750_c02486877d0a3bca90e416bd7cd0dd56	0.424840097979152	0.413937070913763	0.0335969998118149	78.85	89.67	90.49	90.08	24.13	78.85	scVI	110	750	150_0.01_4_256	4	150	0.01
0.947132620125593	scVI_0_150_0.05_2_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.750_075a5d6f25b865cb695f29260e13895a	0.407675951327972	0.423756811141804	0.0226946828911315	83.57	86.05	94.7	90.375	12.65	83.57	scVI	85	750	150_0.05_2_256	2	150	0.05
0.945095778229496	scVI_0_150_0.05_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1000_c30a09b83fdc4528f49b6301ad0fc0bf	0.42928848410873	0.428661459559207	0.0423959056571252	85.93	90.61	93.39	92	33.4	85.93	scVI	65	1000	150_0.05_3_256	3	150	0.05
0.946283001426474	scVI_0_150_0.05_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1250_7606c64438e90a24c7bbd5bd5ffdb4dd	0.428469426211499	0.43464750143172	0.0450368345913297	88.81	90.44	94.15	92.295	36.19	88.81	scVI	65	1250	150_0.05_3_256	3	150	0.05
0.947763842908925	scVI_0_150_0.05_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1500_daed41345a5e75118097115c58ea3c2c	0.41979453485154	0.437985489860201	0.0495959789202582	90.41	88.61	95.11	91.86	40.99	90.41	scVI	65	1500	150_0.05_3_256	3	150	0.05
0.947545526282426	scVI_0_150_0.05_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.2000_fa2011f3f47ea7202c10fa4d69e7760c	0.41348349686372	0.437371736750125	0.0543235853183531	90.12	87.27	94.97	91.12	45.97	90.12	scVI	65	2000	150_0.05_3_256	3	150	0.05
