cluster_id	clusterlevel	cluster_name	first_cluster_name
C2-1	C2	Neurons	Neurons
C2-2	C2	Non-Neurons	Non-Neurons
C7-1	C7	GLU	GLU
C7-2	C7	GABA	GABA
C7-3	C7	Astro-Ependymal	Astro-Ependymal
C7-4	C7	Oligo+Precursor	Oligo+Precursor
C7-5	C7	Immune	Immune
C7-6	C7	ParsTuber	ParsTuber
C7-7	C7	Vascular	Vascular
C25-1	C25	GLU-1	GLU-1
C25-2	C25	GLU-2	GLU-2
C25-3	C25	GLU-3	GLU-3
C25-4	C25	GLU-4	GLU-4
C25-5	C25	GLU-5	GLU-5
C25-6	C25	GLU-6	GLU-6
C25-7	C25	GLU-7	GLU-7
C25-8	C25	GLU-8	GLU-8
C25-9	C25	GLU-9	GLU-9
C25-10	C25	GABA-2	GABA-2
C25-11	C25	GABA-1	GABA-1
C25-12	C25	GABA-3	GABA-3
C25-13	C25	GABA-4	GABA-4
C25-14	C25	GABA-5	GABA-5
C25-15	C25	GABA-6	GABA-6
C25-16	C25	GABA-7	GABA-7
C25-17	C25	Ependymal-like	Ependymal-like
C25-18	C25	Astrocytes	Astrocytes
C25-19	C25	Oligodendrocytes	Oligodendrocytes
C25-20	C25	OPC	OPC
C25-21	C25	Immune	Immune
C25-22	C25	Immune-Trbc1	Immune-Trbc1
C25-23	C25	ParsTuber	ParsTuber
C25-24	C25	Mural+Endothelial	Mural+Endothelial
C25-25	C25	Fibroblasts	Fibroblasts
C66-1	C66	GLU-1	GLU-1
C66-2	C66	Irx5.GLU-2	Irx5
C66-3	C66	Nxph4.GLU-2	Nxph4
C66-4	C66	Trh.GLU-2	Trh
C66-5	C66	Tent5a.GLU-2	Tent5a
C66-6	C66	Samd3.GLU-2	Samd3
C66-7	C66	Foxb1.GLU-2	Foxb1
C66-8	C66	Lmx1a.GLU-2	Lmx1a
C66-9	C66	Sln.GLU-2	Sln
C66-10	C66	Fezf1.GLU-3	Fezf1
C66-11	C66	Cd40.GLU-3	Cd40
C66-12	C66	Gpr149.GLU-3	Gpr149
C66-13	C66	Vcan.GLU-3	Vcan
C66-14	C66	Tcf4.GLU-3	Tcf4
C66-15	C66	Adcyap1.GLU-3	Adcyap1
C66-16	C66	Mixed.GLU-4	Mixed
C66-17	C66	Lpar1.GLU-4	Lpar1
C66-18	C66	Rfx4.GLU-4	Rfx4
C66-19	C66	Pomc.GLU-5	Pomc
C66-20	C66	Tac2.GLU-5	Tac2
C66-21	C66	Bace2.GLU-5	Bace2
C66-22	C66	Caprin2.GLU-6	Caprin2
C66-23	C66	Mixed.GLU-6	Mixed
C66-24	C66	Pmch.GLU-7	Pmch
C66-25	C66	Foxb1.GLU-8	Foxb1
C66-26	C66	Prkch.GLU-8	Prkch
C66-27	C66	Gnrh1.GLU-9	Gnrh1
C66-28	C66	Mixed.GABA-2	Mixed
C66-29	C66	Vipr2.GABA-2	Vipr2
C66-30	C66	Onecut2.GABA-2	Onecut2
C66-31	C66	Lhx1.GABA-2	Lhx1
C66-32	C66	Aldh3b2.GABA-2	Aldh3b2
C66-33	C66	Tnfrsf12a.GABA-2	Tnfrsf12a
C66-34	C66	Il1rapl2.GABA-1	Il1rapl2
C66-35	C66	Lef1.GABA-1	Lef1
C66-36	C66	Hmcn1.GABA-1	Hmcn1
C66-37	C66	Crh.GABA-1	Crh
C66-38	C66	Ppp1r17.GABA-1	Ppp1r17
C66-39	C66	Lhx6.GABA-1	Lhx6
C66-40	C66	Hdc.GABA-1	Hdc
C66-41	C66	Tbx3.GABA-1	Tbx3
C66-42	C66	Lhx8.GABA-1	Lhx8
C66-43	C66	Nts.GABA-1	Nts
C66-44	C66	Nkx2-4.GABA-3	Nkx2-4
C66-45	C66	Ghrh.GABA-3	Ghrh
C66-46	C66	Agrp.GABA-4	Agrp
C66-47	C66	Sst.GABA-4	Sst
C66-48	C66	Meis2.GABA-5	Meis2
C66-49	C66	Satb2.GABA-6	Satb2
C66-50	C66	Chat.GABA-7	Chat
C66-51	C66	Tanycytes	Tanycytes
C66-52	C66	Ependymal	Ependymal
C66-53	C66	Etnppl.Astrocytes	Etnppl
C66-54	C66	Lgals3.Astrocytes	Lgals3
C66-55	C66	Ermn.Oligodendrocytes	Ermn
C66-56	C66	Gpr17.Oligodendrocytes	Gpr17
C66-57	C66	OPC	OPC
C66-58	C66	Tmem119.Immune	Tmem119
C66-59	C66	F13a1.Immune	F13a1
C66-60	C66	Ms4a4b.Immune	Ms4a4b
C66-61	C66	Immune-Trbc1	Immune-Trbc1
C66-62	C66	ParsTuber	ParsTuber
C66-63	C66	Mural	Mural
C66-64	C66	Endothelial	Endothelial
C66-65	C66	Dcn.Fibroblasts	Dcn
C66-66	C66	Krt19.Fibroblasts	Krt19
C185-1	C185	Shox2.GLU-1	Shox2
C185-2	C185	Otx1.GLU-1	Otx1
C185-3	C185	NSCs	NSCs
C185-4	C185	Pitx2.Irx5.GLU-2	Pitx2
C185-5	C185	Nts.Irx5.GLU-2	Nts
C185-6	C185	Rxfp1.Irx5.GLU-2	Rxfp1
C185-7	C185	Stk26.Nxph4.GLU-2	Stk26
C185-8	C185	Nfia.Nxph4.GLU-2	Nfia
C185-9	C185	Ebf3.Nxph4.GLU-2	Ebf3
C185-10	C185	Adgrf5.Nxph4.GLU-2	Adgrf5
C185-11	C185	Cbln2.Trh.GLU-2	Cbln2
C185-12	C185	Ebf1.Trh.GLU-2	Ebf1
C185-13	C185	Ebf2.Trh.GLU-2	Ebf2
C185-14	C185	Syt2.Trh.GLU-2	Syt2
C185-15	C185	Ucn3.Trh.GLU-2	Ucn3
C185-16	C185	Tent5a.GLU-2	Tent5a
C185-17	C185	Gng8.Samd3.GLU-2	Gng8
C185-18	C185	Meis2.Samd3.GLU-2	Meis2
C185-19	C185	Foxb1.GLU-2	Foxb1
C185-20	C185	Lmx1a.GLU-2	Lmx1a
C185-21	C185	Sln.GLU-2	Sln
C185-22	C185	Unassigned.Fezf1.GLU-3	Unassigned
C185-23	C185	Arhgap36.Fezf1.GLU-3	Arhgap36
C185-24	C185	Mc4r.Fezf1.GLU-3	Mc4r
C185-25	C185	Satb2.Cd40.GLU-3	Satb2
C185-26	C185	Moxd1.Cd40.GLU-3	Moxd1
C185-27	C185	Nts.Cd40.GLU-3	Nts
C185-28	C185	Cbln4.Cd40.GLU-3	Cbln4
C185-29	C185	Iigp1.Cd40.GLU-3	Iigp1
C185-30	C185	Hmcn2.Gpr149.GLU-3	Hmcn2
C185-31	C185	Tcf7l2.Gpr149.GLU-3	Tcf7l2
C185-32	C185	Bcl11b.Gpr149.GLU-3	Bcl11b
C185-33	C185	Fezf1.Gpr149.GLU-3	Fezf1
C185-34	C185	Sparc.Gpr149.GLU-3	Sparc
C185-35	C185	C1ql2.Gpr149.GLU-3	C1ql2
C185-36	C185	Vcan.GLU-3	Vcan
C185-37	C185	Prdm13.Tcf4.GLU-3	Prdm13
C185-38	C185	Nfia.Tcf4.GLU-3	Nfia
C185-39	C185	Prdm12.Tcf4.GLU-3	Prdm12
C185-40	C185	Adcyap1.GLU-3	Adcyap1
C185-41	C185	Lef1.Mixed.GLU-4	Lef1
C185-42	C185	Lhx9.Mixed.GLU-4	Lhx9
C185-43	C185	Cped1.Mixed.GLU-4	Cped1
C185-44	C185	Lpar1.GLU-4	Lpar1
C185-45	C185	Npvf.Rfx4.GLU-4	Npvf
C185-46	C185	Qrfp.Rfx4.GLU-4	Qrfp
C185-47	C185	Hcrt.Rfx4.GLU-4	Hcrt
C185-48	C185	Anxa2.Pomc.GLU-5	Anxa2
C185-49	C185	Glipr1.Pomc.GLU-5	Glipr1
C185-50	C185	Ttr.Pomc.GLU-5	Ttr
C185-51	C185	Tac2.GLU-5	Tac2
C185-52	C185	Bace2.GLU-5	Bace2
C185-53	C185	Ebf3.Caprin2.GLU-6	Ebf3
C185-54	C185	Oxt.Caprin2.GLU-6	Oxt
C185-55	C185	Unassigned.Mixed.GLU-6	Unassigned
C185-56	C185	Pmch.GLU-7	Pmch
C185-57	C185	Nts.Foxb1.GLU-8	Nts
C185-58	C185	Postn.Foxb1.GLU-8	Postn
C185-59	C185	Fign.Foxb1.GLU-8	Fign
C185-60	C185	Epha8.Foxb1.GLU-8	Epha8
C185-61	C185	Prkch.GLU-8	Prkch
C185-62	C185	Gnrh1.GLU-9	Gnrh1
C185-63	C185	Thrsp.Mixed.GABA-2	Thrsp
C185-64	C185	Meis2.Mixed.GABA-2	Meis2
C185-65	C185	Unassigned.Mixed.GABA-2	Unassigned
C185-66	C185	Unassigned.Mixed.GABA-2	Unassigned
C185-67	C185	Pnoc.Mixed.GABA-2	Pnoc
C185-68	C185	C1ql2.Mixed.GABA-2	C1ql2
C185-69	C185	Pvalb.Mixed.GABA-2	Pvalb
C185-70	C185	Otx2.Mixed.GABA-2	Otx2
C185-71	C185	Vip.Vipr2.GABA-2	Vip
C185-72	C185	Fam122b.Vipr2.GABA-2	Fam122b
C185-73	C185	Cck.Vipr2.GABA-2	Cck
C185-74	C185	Onecut3.Onecut2.GABA-2	Onecut3
C185-75	C185	Pmfbp1.Onecut2.GABA-2	Pmfbp1
C185-76	C185	Slc6a3.Onecut2.GABA-2	Slc6a3
C185-77	C185	Arx.Lhx1.GABA-2	Arx
C185-78	C185	Unassigned.Lhx1.GABA-2	Unassigned
C185-79	C185	Cd24a.Lhx1.GABA-2	Cd24a
C185-80	C185	Aldh3b2.GABA-2	Aldh3b2
C185-81	C185	Tnfrsf12a.GABA-2	Tnfrsf12a
C185-82	C185	Tbx19.Il1rapl2.GABA-1	Tbx19
C185-83	C185	Col6a1.Il1rapl2.GABA-1	Col6a1
C185-84	C185	Epha3.Il1rapl2.GABA-1	Epha3
C185-85	C185	Pthlh.Il1rapl2.GABA-1	Pthlh
C185-86	C185	Tmem114.Lef1.GABA-1	Tmem114
C185-87	C185	Fign.Lef1.GABA-1	Fign
C185-88	C185	Sox14.Lef1.GABA-1	Sox14
C185-89	C185	Barhl2.Lef1.GABA-1	Barhl2
C185-90	C185	Reln.Lef1.GABA-1	Reln
C185-91	C185	Gal.Hmcn1.GABA-1	Gal
C185-92	C185	Adarb2.Hmcn1.GABA-1	Adarb2
C185-93	C185	Zfp804b.Hmcn1.GABA-1	Zfp804b
C185-94	C185	Gal.Crh.GABA-1	Gal
C185-95	C185	Nts.Crh.GABA-1	Nts
C185-96	C185	Ppp1r17.GABA-1	Ppp1r17
C185-97	C185	St18.Lhx6.GABA-1	St18
C185-98	C185	Pbx3.Lhx6.GABA-1	Pbx3
C185-99	C185	Piezo2.Lhx6.GABA-1	Piezo2
C185-100	C185	Dlx1.Lhx6.GABA-1	Dlx1
C185-101	C185	Igfbp4.Lhx6.GABA-1	Igfbp4
C185-102	C185	Hdc.GABA-1	Hdc
C185-103	C185	Vgll3.Tbx3.GABA-1	Vgll3
C185-104	C185	Sytl4.Tbx3.GABA-1	Sytl4
C185-105	C185	Lhx6.Lhx8.GABA-1	Lhx6
C185-106	C185	Sox6.Lhx8.GABA-1	Sox6
C185-107	C185	Zeb2.Lhx8.GABA-1	Zeb2
C185-108	C185	Gal.Nts.GABA-1	Gal
C185-109	C185	Ecel1.Nts.GABA-1	Ecel1
C185-110	C185	Gpr50.Nts.GABA-1	Gpr50
C185-111	C185	Tac2.Nts.GABA-1	Tac2
C185-112	C185	Meis2.Nts.GABA-1	Meis2
