cluster_id	clusterlevel	cluster_name	first_cluster_name
C2-2	C2	Non-Neurons	Non-Neurons
C7-3	C7	Astro-Ependymal	Astro-Ependymal
C7-4	C7	Oligo+Precursor	Oligo+Precursor
C7-5	C7	Immune	Immune
C7-6	C7	ParsTuber	ParsTuber
C7-7	C7	Vascular	Vascular
C25-17	C25	Ependymal-like	Ependymal-like
C25-18	C25	Astrocytes	Astrocytes
C25-19	C25	Oligodendrocytes	Oligodendrocytes
C25-20	C25	OPC	OPC
C25-21	C25	Immune	Immune
C25-22	C25	Immune-Trbc1	Immune-Trbc1
C25-23	C25	ParsTuber	ParsTuber
C25-24	C25	Mural+Endothelial	Mural+Endothelial
C25-25	C25	Fibroblasts	Fibroblasts
C66-51	C66	Tanycytes	Tanycytes
C66-52	C66	Ependymal	Ependymal
C66-53	C66	Etnppl.Astrocytes	Etnppl
C66-54	C66	Lgals3.Astrocytes	Lgals3
C66-55	C66	Ermn.Oligodendrocytes	Ermn
C66-56	C66	Gpr17.Oligodendrocytes	Gpr17
C66-57	C66	OPC	OPC
C66-58	C66	Tmem119.Immune	Tmem119
C66-59	C66	F13a1.Immune	F13a1
C66-60	C66	Ms4a4b.Immune	Ms4a4b
C66-61	C66	Immune-Trbc1	Immune-Trbc1
C66-62	C66	ParsTuber	ParsTuber
C66-63	C66	Mural	Mural
C66-64	C66	Endothelial	Endothelial
C66-65	C66	Dcn.Fibroblasts	Dcn
C66-66	C66	Krt19.Fibroblasts	Krt19
C185-131	C185	Scn7a.Tanycytes	Scn7a
C185-132	C185	Tgfb2.Tanycytes	Tgfb2
C185-133	C185	Prr16.Tanycytes	Prr16
C185-134	C185	Frzb.Tanycytes	Frzb
C185-135	C185	Cdhr4.Ependymal	Cdhr4
C185-136	C185	Crlf1.Ependymal	Crlf1
C185-137	C185	Erythroid-like	Erythroid-like
C185-138	C185	Hypendymal	Hypendymal
C185-139	C185	Itih3.Etnppl.Astrocytes	Itih3
C185-140	C185	Gjb6.Etnppl.Astrocytes	Gjb6
C185-141	C185	Trpm3.Etnppl.Astrocytes	Trpm3
C185-142	C185	Unassigned.Etnppl.Astrocytes	Unassigned
C185-143	C185	Crym.Etnppl.Astrocytes	Crym
C185-144	C185	Gfap.Etnppl.Astrocytes	Gfap
C185-145	C185	Myoc.Etnppl.Astrocytes	Myoc
C185-146	C185	Myt1l.Lgals3.Astrocytes	Myt1l
C185-147	C185	Gfap.Lgals3.Astrocytes	Gfap
C185-148	C185	Pex5l.Ermn.Oligodendrocytes	Pex5l
C185-149	C185	Opalin.Ermn.Oligodendrocytes	Opalin
C185-150	C185	Klk6.Ermn.Oligodendrocytes	Klk6
C185-151	C185	Arhgap45.Ermn.Oligodendrocytes	Arhgap45
C185-152	C185	Mal.Ermn.Oligodendrocytes	Mal
C185-153	C185	Ctps.Ermn.Oligodendrocytes	Ctps
C185-154	C185	Hspa1a.Ermn.Oligodendrocytes	Hspa1a
C185-155	C185	Cnksr3.Gpr17.Oligodendrocytes	Cnksr3
C185-156	C185	Bmp4.Gpr17.Oligodendrocytes	Bmp4
C185-157	C185	Ermn.Gpr17.Oligodendrocytes	Ermn
C185-158	C185	C1ql1.OPC	C1ql1
C185-159	C185	Pdgfra.OPC	Pdgfra
C185-160	C185	Dividing.OPC	Dividing
C185-161	C185	Cspg4.OPC	Cspg4
C185-162	C185	Tyrobp.OPC	Tyrobp
C185-163	C185	Selplg.Tmem119.Immune	Selplg
C185-164	C185	P2ry12.Tmem119.Immune	P2ry12
C185-165	C185	Wfdc17.Tmem119.Immune	Wfdc17
C185-166	C185	Ccl4.Tmem119.Immune	Ccl4
C185-167	C185	Top2a.Tmem119.Immune	Top2a
C185-168	C185	Tyrobp.Tmem119.Immune	Tyrobp
C185-169	C185	Ch25h.Tmem119.Immune	Ch25h
C185-170	C185	F13a1.Immune	F13a1
C185-171	C185	Ms4a4b.Immune	Ms4a4b
C185-172	C185	Immune-Trbc1	Immune-Trbc1
C185-173	C185	Cga.ParsTuber	Cga
C185-174	C185	Anxa1.ParsTuber	Anxa1
C185-175	C185	Kcnj8.Mural	Kcnj8
C185-176	C185	Acta2.Mural	Acta2
C185-177	C185	Slco1a4.Endothelial	Slco1a4
C185-178	C185	Vtn.Endothelial	Vtn
C185-179	C185	Sema3g.Endothelial	Sema3g
C185-180	C185	Meox1.Endothelial	Meox1
C185-181	C185	Plvap.Endothelial	Plvap
C185-182	C185	Angptl1.Dcn.Fibroblasts	Angptl1
C185-183	C185	Slc6a13.Dcn.Fibroblasts	Slc6a13
C185-184	C185	Slc47a1.Dcn.Fibroblasts	Slc47a1
C185-185	C185	Krt19.Fibroblasts	Krt19
C286-198	C286	Scn7a.Tanycytes	Scn7a
C286-199	C286	Rassf9.Tgfb2.Tanycytes	Rassf9
C286-200	C286	Slc17a8.Tgfb2.Tanycytes	Slc17a8
C286-201	C286	Prr16.Tanycytes	Prr16
C286-202	C286	Frzb.Tanycytes	Frzb
C286-203	C286	Dnah12.Cdhr4.Ependymal	Dnah12
C286-204	C286	Ccdc153.Cdhr4.Ependymal	Ccdc153
C286-205	C286	Crlf1.Ependymal	Crlf1
C286-206	C286	Erythroid-like	Erythroid-like
C286-207	C286	Hypendymal	Hypendymal
