from	to	isLeaf	level	count	totalCount	height
C2-2	C7-3	FALSE	3	2	101	6
C2-2	C7-4	FALSE	3	2	98	6
C2-2	C7-5	FALSE	3	2	52	6
C2-2	C7-6	FALSE	3	1	9	6
C2-2	C7-7	FALSE	3	2	58	6
C7-3	C25-17	FALSE	4	2	38	5
C7-3	C25-18	FALSE	4	2	62	5
C7-4	C25-19	FALSE	4	2	71	5
C7-4	C25-20	FALSE	4	1	26	5
C7-5	C25-21	FALSE	4	3	46	5
C7-5	C25-22	FALSE	4	1	5	5
C7-6	C25-23	FALSE	4	1	8	5
C7-7	C25-24	FALSE	4	2	41	5
C7-7	C25-25	FALSE	4	2	16	5
C25-17	C66-51	FALSE	5	4	20	4
C25-17	C66-52	FALSE	5	4	17	4
C25-18	C66-53	FALSE	5	7	50	4
C25-18	C66-54	FALSE	5	2	11	4
C25-19	C66-55	FALSE	5	7	56	4
C25-19	C66-56	FALSE	5	3	14	4
C25-20	C66-57	FALSE	5	5	25	4
C25-21	C66-58	FALSE	5	7	37	4
C25-21	C66-59	FALSE	5	1	4	4
C25-21	C66-60	FALSE	5	1	4	4
C25-22	C66-61	FALSE	5	1	4	4
C25-23	C66-62	FALSE	5	2	7	4
C25-24	C66-63	FALSE	5	2	14	4
C25-24	C66-64	FALSE	5	5	26	4
C25-25	C66-65	FALSE	5	3	11	4
C25-25	C66-66	FALSE	5	1	4	4
C66-51	C185-131	FALSE	6	1	3	3
C66-51	C185-132	FALSE	6	2	7	3
C66-51	C185-133	FALSE	6	1	4	3
C66-51	C185-134	FALSE	6	1	5	3
C66-52	C185-135	FALSE	6	2	7	3
C66-52	C185-136	FALSE	6	1	3	3
C66-52	C185-137	FALSE	6	1	3	3
C66-52	C185-138	FALSE	6	1	3	3
C66-53	C185-139	FALSE	6	3	10	3
C66-53	C185-140	FALSE	6	5	15	3
C66-53	C185-141	FALSE	6	2	8	3
C66-53	C185-142	FALSE	6	1	4	3
C66-53	C185-143	FALSE	6	1	3	3
C66-53	C185-144	FALSE	6	2	6	3
C66-53	C185-145	FALSE	6	1	3	3
C66-54	C185-146	FALSE	6	2	5	3
C66-54	C185-147	FALSE	6	1	5	3
C66-55	C185-148	FALSE	6	6	17	3
C66-55	C185-149	FALSE	6	3	8	3
C66-55	C185-150	FALSE	6	2	7	3
C66-55	C185-151	FALSE	6	1	3	3
C66-55	C185-152	FALSE	6	2	9	3
C66-55	C185-153	FALSE	6	2	7	3
C66-55	C185-154	FALSE	6	1	4	3
C66-56	C185-155	FALSE	6	1	4	3
C66-56	C185-156	FALSE	6	2	6	3
C66-56	C185-157	FALSE	6	1	3	3
C66-57	C185-158	FALSE	6	2	7	3
C66-57	C185-159	FALSE	6	1	5	3
C66-57	C185-160	FALSE	6	1	4	3
C66-57	C185-161	FALSE	6	2	5	3
C66-57	C185-162	FALSE	6	1	3	3
C66-58	C185-163	FALSE	6	3	8	3
C66-58	C185-164	FALSE	6	2	8	3
C66-58	C185-165	FALSE	6	2	6	3
C66-58	C185-166	FALSE	6	1	4	3
C66-58	C185-167	FALSE	6	1	4	3
C66-58	C185-168	FALSE	6	1	3	3
C66-58	C185-169	FALSE	6	1	3	3
C66-59	C185-170	FALSE	6	1	3	3
C66-60	C185-171	FALSE	6	1	3	3
C66-61	C185-172	FALSE	6	1	3	3
C66-62	C185-173	FALSE	6	1	3	3
C66-62	C185-174	FALSE	6	1	3	3
C66-63	C185-175	FALSE	6	2	6	3
C66-63	C185-176	FALSE	6	2	7	3
C66-64	C185-177	FALSE	6	3	8	3
C66-64	C185-178	FALSE	6	2	5	3
C66-64	C185-179	FALSE	6	2	6	3
C66-64	C185-180	FALSE	6	1	3	3
C66-64	C185-181	FALSE	6	1	3	3
C66-65	C185-182	FALSE	6	1	3	3
C66-65	C185-183	FALSE	6	1	4	3
C66-65	C185-184	FALSE	6	1	3	3
C66-66	C185-185	FALSE	6	1	3	3
C185-131	C286-198	FALSE	7	1	2	2
C185-132	C286-199	FALSE	7	3	4	2
C185-132	C286-200	FALSE	7	1	2	2
C185-133	C286-201	FALSE	7	2	3	2
C185-134	C286-202	FALSE	7	3	4	2
C185-135	C286-203	FALSE	7	2	3	2
C185-135	C286-204	FALSE	7	2	3	2
C185-136	C286-205	FALSE	7	1	2	2
C185-137	C286-206	FALSE	7	1	2	2
C185-138	C286-207	FALSE	7	1	2	2
C185-139	C286-208	FALSE	7	2	3	2
C185-139	C286-214	FALSE	7	2	3	2
C185-139	C286-215	FALSE	7	2	3	2
C185-140	C286-209	FALSE	7	2	3	2
C185-140	C286-211	FALSE	7	1	2	2
C185-140	C286-216	FALSE	7	3	4	2
C185-140	C286-218	FALSE	7	2	3	2
C185-140	C286-210	FALSE	7	1	2	2
C185-141	C286-212	FALSE	7	2	3	2
C185-141	C286-213	FALSE	7	3	4	2
C185-142	C286-217	FALSE	7	2	3	2
C185-143	C286-219	FALSE	7	1	2	2
C185-144	C286-220	FALSE	7	2	3	2
C185-144	C286-221	FALSE	7	1	2	2
C185-145	C286-222	FALSE	7	1	2	2
C185-146	C286-223	FALSE	7	1	2	2
C185-146	C286-225	FALSE	7	1	2	2
C185-147	C286-224	FALSE	7	3	4	2
C185-148	C286-226	FALSE	7	4	5	2
C185-148	C286-230	FALSE	7	1	2	2
C185-148	C286-231	FALSE	7	1	2	2
C185-148	C286-232	FALSE	7	1	2	2
C185-148	C286-227	FALSE	7	1	2	2
C185-148	C286-236	FALSE	7	2	3	2
C185-149	C286-228	FALSE	7	1	2	2
C185-149	C286-233	FALSE	7	1	2	2
C185-149	C286-229	FALSE	7	2	3	2
C185-150	C286-234	FALSE	7	3	4	2
C185-150	C286-235	FALSE	7	1	2	2
C185-151	C286-237	FALSE	7	1	2	2
C185-152	C286-238	FALSE	7	4	5	2
C185-152	C286-241	FALSE	7	2	3	2
C185-153	C286-239	FALSE	7	3	4	2
C185-153	C286-240	FALSE	7	1	2	2
C185-154	C286-242	FALSE	7	2	3	2
C185-155	C286-243	FALSE	7	2	3	2
C185-156	C286-244	FALSE	7	2	3	2
C185-156	C286-245	FALSE	7	1	2	2
C185-157	C286-246	FALSE	7	1	2	2
C185-158	C286-247	FALSE	7	1	2	2
C185-158	C286-252	FALSE	7	3	4	2
C185-159	C286-248	FALSE	7	3	4	2
C185-160	C286-249	FALSE	7	2	3	2
C185-161	C286-250	FALSE	7	1	2	2
C185-161	C286-251	FALSE	7	1	2	2
C185-162	C286-253	FALSE	7	1	2	2
C185-163	C286-254	FALSE	7	1	2	2
C185-163	C286-255	FALSE	7	1	2	2
C185-163	C286-256	FALSE	7	2	3	2
C185-164	C286-257	FALSE	7	1	2	2
C185-164	C286-258	FALSE	7	4	5	2
C185-165	C286-259	FALSE	7	1	2	2
C185-165	C286-260	FALSE	7	2	3	2
C185-166	C286-261	FALSE	7	2	3	2
C185-167	C286-262	FALSE	7	2	3	2
C185-168	C286-263	FALSE	7	1	2	2
C185-169	C286-264	FALSE	7	1	2	2
C185-170	C286-265	FALSE	7	1	2	2
C185-171	C286-266	FALSE	7	1	2	2
C185-172	C286-267	FALSE	7	1	2	2
C185-173	C286-268	FALSE	7	1	2	2
C185-174	C286-269	FALSE	7	1	2	2
C185-175	C286-270	FALSE	7	2	3	2
C185-175	C286-273	FALSE	7	1	2	2
C185-176	C286-271	FALSE	7	2	3	2
C185-176	C286-272	FALSE	7	2	3	2
C185-177	C286-274	FALSE	7	2	3	2
C185-177	C286-275	FALSE	7	1	2	2
C185-177	C286-276	FALSE	7	1	2	2
C185-178	C286-277	FALSE	7	1	2	2
C185-178	C286-278	FALSE	7	1	2	2
C185-179	C286-279	FALSE	7	2	3	2
C185-179	C286-280	FALSE	7	1	2	2
C185-180	C286-281	FALSE	7	1	2	2
C185-181	C286-282	FALSE	7	1	2	2
C185-182	C286-283	FALSE	7	1	2	2
C185-183	C286-284	FALSE	7	2	3	2
C185-184	C286-285	FALSE	7	1	2	2
C185-185	C286-286	FALSE	7	1	2	2
C286-198	C465-322	TRUE	8	0	1	1
C286-199	C465-323	TRUE	8	0	1	1
C286-199	C465-324	TRUE	8	0	1	1
C286-199	C465-325	TRUE	8	0	1	1
C286-200	C465-326	TRUE	8	0	1	1
C286-201	C465-327	TRUE	8	0	1	1
C286-201	C465-328	TRUE	8	0	1	1
C286-202	C465-329	TRUE	8	0	1	1
C286-202	C465-330	TRUE	8	0	1	1
C286-202	C465-331	TRUE	8	0	1	1
C286-203	C465-332	TRUE	8	0	1	1
C286-203	C465-333	TRUE	8	0	1	1
C286-204	C465-334	TRUE	8	0	1	1
C286-204	C465-335	TRUE	8	0	1	1
C286-205	C465-336	TRUE	8	0	1	1
C286-206	C465-337	TRUE	8	0	1	1
C286-207	C465-338	TRUE	8	0	1	1
C286-208	C465-339	TRUE	8	0	1	1
C286-208	C465-340	TRUE	8	0	1	1
C286-214	C465-350	TRUE	8	0	1	1
C286-214	C465-353	TRUE	8	0	1	1
C286-215	C465-351	TRUE	8	0	1	1
C286-215	C465-352	TRUE	8	0	1	1
C286-209	C465-341	TRUE	8	0	1	1
C286-209	C465-342	TRUE	8	0	1	1
C286-211	C465-344	TRUE	8	0	1	1
C286-216	C465-354	TRUE	8	0	1	1
C286-216	C465-355	TRUE	8	0	1	1
C286-216	C465-356	TRUE	8	0	1	1
C286-218	C465-359	TRUE	8	0	1	1
C286-218	C465-360	TRUE	8	0	1	1
C286-210	C465-343	TRUE	8	0	1	1
C286-212	C465-345	TRUE	8	0	1	1
C286-212	C465-349	TRUE	8	0	1	1
C286-213	C465-346	TRUE	8	0	1	1
C286-213	C465-348	TRUE	8	0	1	1
C286-213	C465-347	TRUE	8	0	1	1
C286-217	C465-357	TRUE	8	0	1	1
C286-217	C465-358	TRUE	8	0	1	1
C286-219	C465-361	TRUE	8	0	1	1
C286-220	C465-362	TRUE	8	0	1	1
