feature	expression	ident
Pomc	2.48905544452028	Affinati10x
Pomc	4.11735359852089	Affinati10x
Pomc	3.56320424251283	Affinati10x
Pomc	3.2256267292239	Affinati10x
Pomc	4.94978940326522	Affinati10x
Pomc	2.62164533997535	Affinati10x
Pomc	2.80762468593521	Affinati10x
Pomc	4.42637213988136	Affinati10x
Pomc	4.36421638349635	Affinati10x
Pomc	3.47311375602875	Affinati10x
Pomc	1.30486965422349e-05	Affinati10x
Pomc	4.77939942023297	Affinati10x
Pomc	1.61650142187463	Affinati10x
Pomc	3.75409359687239	Affinati10x
Pomc	4.55712231448605	Affinati10x
Pomc	4.19375273502807	Affinati10x
Pomc	4.06377809345202	Affinati10x
Pomc	4.52163013732391	Affinati10x
Pomc	4.76139271197196	Affinati10x
Pomc	4.86327142122799	Affinati10x
Pomc	2.42962399003333	Affinati10x
Pomc	5.41946311209436	Affinati10x
Pomc	2.89881531356967	Affinati10x
Pomc	5.02001199518637	Affinati10x
Pomc	4.58836609142875	Affinati10x
Pomc	3.21580462108906	Affinati10x
Pomc	3.05477353375933	Affinati10x
Pomc	4.77419322383927	Affinati10x
Pomc	2.77019424424476	Affinati10x
Pomc	3.71161644339095	Affinati10x
Pomc	3.53745476793555	Affinati10x
Pomc	4.4740903143041	Affinati10x
Pomc	6.4209904215484	Affinati10x
Pomc	6.1413126572917	Affinati10x
Pomc	5.51696994421213	Affinati10x
Pomc	5.8634145936903	Affinati10x
Pomc	5.94059771079171	Affinati10x
Pomc	6.09270980240547	Affinati10x
Pomc	5.62094624514409	Affinati10x
Pomc	4.54471080616055	Affinati10x
Pomc	3.45912788849479	Affinati10x
Pomc	3.9517677474441	Affinati10x
Pomc	4.00860245314124	Affinati10x
Pomc	4.41930010189704	Affinati10x
Pomc	3.80333859959579	Affinati10x
Pomc	3.82674169716141	Affinati10x
Pomc	3.62527214533477	Affinati10x
Pomc	3.33483125897392	Affinati10x
Pomc	4.18706863879581	Affinati10x
Pomc	3.13664931771035	Affinati10x
Pomc	3.18542205118437	Affinati10x
Pomc	3.03521172589611	Affinati10x
Pomc	3.63254184617095	Affinati10x
Pomc	3.82684745977891	Affinati10x
Pomc	5.10349085369051	Affinati10x
Pomc	5.54207999378124	Affinati10x
Pomc	5.57276422335733	Affinati10x
Pomc	5.53896395783436	Affinati10x
Pomc	5.65181491944862	Affinati10x
Pomc	1.57120469471552	Affinati10x
Pomc	5.20424289514236	Affinati10x
Pomc	1.85230564865609e-06	Affinati10x
Pomc	5.49370361248277	Affinati10x
Pomc	5.31487502797945	Affinati10x
Pomc	3.8687661753439	Affinati10x
Pomc	3.97276517496678	Affinati10x
Pomc	5.56352809688109	Affinati10x
Pomc	1.65821822387044	Affinati10x
Pomc	5.98846970504743	Affinati10x
Pomc	5.58541521206467	Affinati10x
Pomc	4.06349450752833	Affinati10x
Pomc	5.35288288089822	Affinati10x
Pomc	4.69838935353756	Affinati10x
Pomc	4.10302729823245	Affinati10x
Pomc	3.56916116707062	Affinati10x
Pomc	3.96242487614153	Affinati10x
Pomc	3.71334326639819	Affinati10x
Pomc	3.66802488991775	Affinati10x
Pomc	3.25998740093774	Affinati10x
Pomc	4.19668628787331	Affinati10x
Pomc	4.22721846820082	Affinati10x
Pomc	4.20177953981449	Affinati10x
Pomc	2.33100676830526	Affinati10x
Pomc	2.06117251670984	Affinati10x
Pomc	3.69360805289052	Affinati10x
Pomc	3.55279104629225	Affinati10x
Pomc	2.26391378043643	Affinati10x
Pomc	4.67514598814953	Affinati10x
Pomc	3.92301431610402	Affinati10x
Pomc	3.10977535193876	Affinati10x
Pomc	3.79122727358323	Affinati10x
Pomc	2.65996856779263	Affinati10x
Pomc	3.61357792736797	Affinati10x
Pomc	4.82943048833116	Affinati10x
Pomc	4.41166147664116	Affinati10x
Pomc	4.6258970836029	Affinati10x
Pomc	2.55457026135568	Affinati10x
Pomc	2.24269704383032	Affinati10x
Pomc	0.85623554557911	Affinati10x
Pomc	3.65105876264148	Affinati10x
Pomc	4.21440668574452	Affinati10x
Pomc	3.57634608483475	Affinati10x
Pomc	3.82822992358968	Affinati10x
Pomc	3.8320144128787	Affinati10x
Pomc	3.63204566427513	Affinati10x
Pomc	4.45754141136626	Affinati10x
Pomc	2.85168539766497	Affinati10x
Pomc	3.15288797403309	Affinati10x
Pomc	3.30266227198418	Affinati10x
Pomc	3.27363375994283	Affinati10x
