feature	expression	ident
Npy	2.03227188568801	Affinati10x
Npy	3.5099404041222	Affinati10x
Npy	3.07749715408411	Affinati10x
Npy	2.43746003986421	Affinati10x
Npy	4.04268323140999e-06	Affinati10x
Npy	3.06884361313283	Affinati10x
Npy	2.28956469729981	Affinati10x
Npy	2.83723718043561	Affinati10x
Npy	2.84727317361179	Affinati10x
Npy	-6.2714099052421e-07	Affinati10x
Npy	2.15118632378822	Affinati10x
Npy	1.9509209859472	Affinati10x
Npy	-1.38886070111234e-05	Affinati10x
Npy	-2.78788766817371e-06	Affinati10x
Npy	3.0824431050369	Affinati10x
Npy	3.37515582336142	Affinati10x
Npy	-2.84252921416072e-06	Affinati10x
Npy	-2.65645542090478e-05	Affinati10x
Npy	3.15434680524294	Affinati10x
Npy	1.32011334573019e-05	Affinati10x
Npy	-3.06638594078475e-06	Affinati10x
Npy	1.67950603233141	Affinati10x
Npy	-1.71917355759621e-06	Affinati10x
Npy	1.4554198672203	Affinati10x
Npy	1.89519346126497e-05	Affinati10x
Npy	-4.304691316062e-06	Affinati10x
Npy	1.30532434570727	Affinati10x
Npy	2.48196075837806	Affinati10x
Npy	4.60097354831271e-06	Affinati10x
Npy	-6.39994875960119e-06	Affinati10x
Npy	4.55450123241219e-06	Affinati10x
Npy	2.43603228895333	Affinati10x
Npy	1.03510352196992e-05	Affinati10x
Npy	2.24759588786187	Affinati10x
Npy	2.21666343688032	Affinati10x
Npy	2.54207092625914	Affinati10x
Npy	2.04943981543301	Affinati10x
Npy	1.34318445910081	Affinati10x
Npy	2.54089639107208	Affinati10x
Npy	1.78224028503323	Affinati10x
Npy	3.26211370016528	Affinati10x
Npy	3.84069709579362	Affinati10x
Npy	2.4683634232162	Affinati10x
Npy	1.62366115719853	Affinati10x
Npy	2.33572260260127	Affinati10x
Npy	4.32818025888717e-06	Affinati10x
Npy	1.68343129539423	Affinati10x
Npy	1.93579339494993	Affinati10x
Npy	2.30307592832495	Affinati10x
Npy	2.39759885405826	Affinati10x
Npy	2.85609649369332	Affinati10x
Npy	2.96261345986022	Affinati10x
Npy	2.27247356619401	Affinati10x
Npy	1.41683575230395	Affinati10x
Npy	3.49070818905029	Affinati10x
Npy	3.13139313906701	Affinati10x
Npy	2.72848449518287	Affinati10x
Npy	8.98328865790817e-07	Affinati10x
Npy	-2.99309008315294e-05	Affinati10x
Npy	2.84882953530659e-06	Affinati10x
Npy	-3.67234642740975e-06	Affinati10x
Npy	2.67382470060761	Affinati10x
Npy	3.16772006868147	Affinati10x
Npy	2.93648311590968	Affinati10x
Npy	1.64322927948317	Affinati10x
Npy	1.76639665486035	Affinati10x
Npy	3.24747731945526	Affinati10x
Npy	2.45658363388425	Affinati10x
Npy	1.54371004063779	Affinati10x
Npy	2.53271031613195	Affinati10x
Npy	-1.04311893856786e-05	Affinati10x
Npy	2.35105774931311	Affinati10x
Npy	6.23518161999544e-06	Affinati10x
Npy	3.29112076171369	Affinati10x
Npy	2.40588257945601	Affinati10x
Npy	5.80996497681683e-06	Affinati10x
Npy	2.40185168701144	Affinati10x
Npy	2.1161722055983	Affinati10x
Npy	1.41658386092908	Affinati10x
Npy	-1.09978089864786e-05	Affinati10x
Npy	1.51270700980493e-05	Affinati10x
Npy	1.63487802822059	Affinati10x
Npy	1.90326633075967	Affinati10x
Npy	2.92013750907031	Affinati10x
Npy	-1.19432889516053e-05	Affinati10x
Npy	1.76598780246311	Affinati10x
Npy	1.12446301382906	Affinati10x
Npy	2.71104014839197	Affinati10x
Npy	2.96379139895941	Affinati10x
Npy	1.48826225648072	Affinati10x
Npy	1.69243620052618	Affinati10x
Npy	2.03167739646141	Affinati10x
Npy	3.04262617210674	Affinati10x
Npy	2.984117268592	Affinati10x
Npy	2.65288565370907	Affinati10x
Npy	-8.60792586877842e-06	Affinati10x
Npy	-1.13173868085377e-05	Affinati10x
Npy	1.74537494963025	Affinati10x
Npy	2.20365110208272	Affinati10x
Npy	2.92960026520199	Affinati10x
Npy	2.43034756916676	Affinati10x
Npy	2.48669117784248	Affinati10x
Npy	2.3614237947377	Affinati10x
Npy	3.46637216883483	Affinati10x
Npy	2.24507568388166	Affinati10x
Npy	1.63921134729787	Affinati10x
Npy	2.75863294800855	Affinati10x
Npy	1.49251535087348	Affinati10x
Npy	1.88193034501498e-06	Affinati10x
Npy	2.87404242726434	Affinati10x
Npy	2.03891334198379	Affinati10x
Npy	3.99364438834256	Affinati10x
Npy	2.61943590254064	Affinati10x
Npy	2.29862960574983	Affinati10x
Npy	2.57477360943703	Affinati10x
Npy	-3.82333726873818e-06	Affinati10x
Npy	2.35492897428061	Affinati10x
Npy	2.7018910003448e-05	Affinati10x
Npy	1.60115583901261	Affinati10x
Npy	3.92649422814341	Affinati10x
Npy	3.19385879712246	Affinati10x
Npy	2.77331093265468	Affinati10x
Npy	4.00302408075521	Affinati10x
Npy	3.15974724759988	Affinati10x
Npy	3.10083106772032	Affinati10x
Npy	3.89847010434578	Affinati10x
Npy	2.91516700730172	Affinati10x
Npy	1.75124786109486	Affinati10x
Npy	2.12627788672972	Affinati10x
Npy	2.61955494877288	Affinati10x
Npy	2.39941747947392	Affinati10x
Npy	3.56103338113522	Affinati10x
Npy	3.14574785569908	Affinati10x
Npy	3.27318710999162	Affinati10x
Npy	2.06764614684806	Affinati10x
Npy	2.01233964811407	Affinati10x
Npy	1.81698913811215	Affinati10x
Npy	1.31164537296113	Affinati10x
Npy	-4.69729580566301e-06	Affinati10x
Npy	1.83956548966219	Affinati10x
Npy	-8.61072982370896e-07	Affinati10x
Npy	-8.87679017906432e-06	Affinati10x
Npy	2.62763736532482	Affinati10x
Npy	1.24285179014712	Affinati10x
Npy	1.25976707067824	Affinati10x
Npy	1.72331186477754	Affinati10x
Npy	1.93933422826598	Affinati10x
Npy	2.35622563431141	Affinati10x
Npy	2.5210564906761	Affinati10x
Npy	2.34278404018994	Affinati10x
Npy	1.9726066864394	Affinati10x
Npy	2.02821957886309	Affinati10x
Npy	1.16716954923568e-05	Affinati10x
Npy	1.21066141172955	Affinati10x
Npy	2.22913557238485	Affinati10x
Npy	2.53562918627992	Affinati10x
Npy	2.73874695705225	Affinati10x
Npy	3.39268524093621	Affinati10x
Npy	-5.33492329950437e-06	Affinati10x
