p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	pct_diff	current_cluster	p_val_adj_negbinom
3.32415796013691e-34	0.612275524200385	1	1	1.90680348909374e-29	Snhg11	0	C286-5	1.50184393840271e-19
1.01773863908849e-26	0.564362208693259	1	1	5.83795238153937e-22	Meg3	0	C286-5	3.69541366486551e-07
3.59514774330508e-22	-1.66613729351673	0.3	0.84	2.06224864851466e-17	mt-Rnr2	-0.54	C286-5	2.50535311134405e-18
2.75699716481219e-20	-1.98757040150526	0.771	0.922	1.58146871367957e-15	Resp18	-0.151	C286-5	6.291213802129e-26
3.35700602002378e-20	-1.96418162014718	0.943	0.989	1.92564579320604e-15	Pcsk1n	-0.046	C286-5	6.90577329255045e-27
2.0785240606954e-19	-1.04338807462151	1	0.993	1.1922829716961e-14	Ly6h	0.00700000000000001	C286-5	2.07056236959407e-12
5.45740414574918e-19	-1.66591523547233	0.171	0.728	3.13047616608464e-14	mt-Cytb	-0.557	C286-5	1.47916762338877e-14
3.29543476659966e-18	-1.3138975577434	0.529	0.84	1.89032729081689e-13	Rpl41	-0.311	C286-5	2.36225151144632e-14
3.80880514387348e-18	-1.56117500896971	0.729	0.866	2.18480680662871e-13	Caly	-0.137	C286-5	4.55366206582389e-18
5.73070504529341e-18	-1.54294973460462	0.271	0.746	3.28724702808121e-13	Rpl21	-0.475	C286-5	4.28252220904171e-15
8.8943102846053e-18	-2.43910819008089	0.557	0.828	5.10195426545529e-13	Atp6v0c	-0.271	C286-5	3.69974106209735e-27
2.37945891668035e-16	-1.69669383353241	0.829	0.907	1.36490522378619e-11	Scg2	-0.0780000000000001	C286-5	1.02625786168567e-18
2.51625324677545e-16	-1.46136380630834	0.357	0.75	1.44337318741533e-11	Rps21	-0.393	C286-5	2.04673658801471e-14
3.91648507483485e-16	-1.54270165111921	0.529	0.81	2.24657416862677e-11	Bex2	-0.281	C286-5	3.12005800214823e-15
5.37827579494506e-16	-1.65703057437095	0.3	0.739	3.08508656149639e-11	Bsg	-0.439	C286-5	1.15002788092175e-16
8.58135791085777e-16	-2.45767171670813	0.957	0.966	4.92243852482624e-11	CT010467.1	-0.00900000000000001	C286-5	1.72627873699659e-30
8.7561239676885e-16	-1.33840452878934	0.443	0.802	5.02268783034548e-11	Itm2b	-0.359	C286-5	8.32151200882434e-13
3.2390346125482e-15	-1.7181270379457	0.514	0.776	1.8579750344499e-10	Cst3	-0.262	C286-5	1.3574519111017e-17
5.53525663589788e-15	-1.64965404953017	0.943	0.974	3.17513391148374e-10	Rtn1	-0.031	C286-5	2.58937182291121e-18
1.66700519155292e-14	-1.20027874084463	0.2	0.679	9.56227517978584e-10	Rpl8	-0.479	C286-5	2.43448164963066e-10
1.88799089578541e-14	-1.26091918457468	0.257	0.694	1.08298933764043e-09	Rps29	-0.437	C286-5	2.94204512351812e-11
3.26301434893266e-14	-1.49796307322335	0.171	0.631	1.87173029083475e-09	Hspa8	-0.46	C286-5	4.3499327316355e-12
4.56884257685401e-14	-1.40687832079131	0.386	0.731	2.620779478935e-09	Tuba1a	-0.345	C286-5	3.74330318818002e-12
4.60249954555344e-14	-1.50842525565552	0.3	0.69	2.64008578932037e-09	Fau	-0.39	C286-5	4.52050887046161e-14
5.80897335063539e-14	-1.48618514112675	0.343	0.713	3.33214329339147e-09	Rpl38	-0.37	C286-5	8.89726820480302e-14
6.44047072490748e-14	-1.67900689792113	0.229	0.646	3.69438281722143e-09	Cox4i1	-0.417	C286-5	2.37111500851124e-14
6.47450475860397e-14	-1.27609068605589	0.114	0.597	3.71390541963041e-09	Spcs1	-0.483	C286-5	8.87413080071485e-09
6.98666269500456e-14	-1.16531304323497	0.114	0.619	4.00768945510852e-09	Rpl11	-0.505	C286-5	2.22878801937373e-08
7.48935165250526e-14	-1.23917707480934	0.114	0.597	4.29604189491007e-09	Rplp1	-0.483	C286-5	1.60631541278564e-08
1.09232200195888e-13	-1.2730308368788	0.314	0.701	6.26577746763652e-09	Rpl9	-0.387	C286-5	2.65443769098819e-11
1.24652482133396e-13	-1.96782688014516	0.886	0.873	7.15031568013587e-09	Tac1	0.013	C286-5	1.20212058348716e-20
1.56166189171962e-13	-1.06598160470778	0.871	0.922	8.95800494328206e-09	Nap1l5	-0.0510000000000001	C286-5	6.09372732412824e-09
1.59465522717672e-13	-1.34055443715656	0.1	0.586	9.14726131413109e-09	mt-Nd1	-0.486	C286-5	9.2010763659475e-09
1.96881699219767e-13	-1.5822358705081	0.157	0.604	1.12935280306443e-08	Chchd2	-0.447	C286-5	6.08410622268833e-12
3.40541182502424e-13	-1.27177301280402	0.186	0.619	1.9534123310704e-08	Rpl23	-0.433	C286-5	6.96504403905568e-10
3.73647391878612e-13	-1.47733407678576	0.243	0.649	2.1433161692941e-08	Rps24	-0.406	C286-5	1.36926992264439e-12
4.66143009410397e-13	-1.48128284065019	0.314	0.664	2.67388953057992e-08	Hsp90aa1	-0.35	C286-5	7.41169494154036e-13
5.8352598257092e-13	-0.907719727229408	0.457	0.799	3.34722174122331e-08	Slc25a3	-0.342	C286-5	2.37439626760745e-07
6.33140456693867e-13	-1.19045548766184	0.629	0.81	3.63182028768736e-08	Mt3	-0.181	C286-5	2.60931863383744e-10
8.35556273864916e-13	-1.04614834910417	0.257	0.683	4.79291789814393e-08	Atp5g1	-0.426	C286-5	3.77431112741321e-08
1.27641646669313e-12	-1.87544303435896	0.4	0.701	7.32178013624514e-08	Gapdh	-0.301	C286-5	2.95821599232194e-17
1.48129671843648e-12	-0.97129872943492	0.043	0.522	8.49701423629533e-08	Rpl26	-0.479	C286-5	0.00119692085934842
1.79252721009168e-12	-1.16809190624978	0.271	0.638	1.02822945825279e-07	Ndufa13	-0.367	C286-5	3.62794415697725e-09
1.8092094047542e-12	-0.999017707939946	0.171	0.612	1.0377986987551e-07	Rpsa	-0.441	C286-5	5.13492071916305e-07
2.01513656750942e-12	-1.48961480919876	0.3	0.66	1.15592263785475e-07	Rpl37	-0.36	C286-5	2.23185478099048e-12
2.06018605705273e-12	-1.7390918779236	0.471	0.716	1.18176392604659e-07	Fth1	-0.245	C286-5	1.63608578220414e-15
2.35748498387748e-12	-1.04271937903888	0.086	0.552	1.3523005364518e-07	Chchd10	-0.466	C286-5	3.37264205435984e-06
2.64047366068678e-12	0.690735296689733	0.943	0.791	1.51462850124315e-07	Srsf10	0.152	C286-5	1.0332462668864e-11
2.65730609290124e-12	-1.11064601254834	0.057	0.522	1.52428392101001e-07	Ndufc2	-0.465	C286-5	3.48605215904033e-05
3.03314395520147e-12	-1.15405849386655	0.286	0.646	1.73987203558267e-07	Nsg1	-0.36	C286-5	2.46629606832639e-09
3.18725359140422e-12	-1.00907875044593	0.043	0.511	1.82827240510129e-07	Rpl32	-0.468	C286-5	0.000783736491000326
3.33314369340253e-12	-1.25153247895861	0.143	0.575	1.91195788540956e-07	Tmsb4x	-0.432	C286-5	1.12509963799105e-08
3.5950151952018e-12	-0.745241887512904	0.714	0.851	2.06217261627166e-07	Brd9	-0.137	C286-5	0.000708066411072212
4.517139185644e-12	-1.01923055636059	0.257	0.634	2.59112137966911e-07	Erp29	-0.377	C286-5	2.2208024123655e-07
6.06667870452326e-12	-1.2400270525072	0.786	0.877	3.47996823848863e-07	Atp1b1	-0.091	C286-5	9.078261137471e-10
6.11075079760726e-12	-0.964081903451475	0.929	0.914	3.50524887252348e-07	Tecr	0.015	C286-5	2.02706425551966e-07
6.44901498500788e-12	-0.950529507092561	0.086	0.549	3.69928397570022e-07	Rpl28	-0.463	C286-5	4.22066099122892e-05
7.71796355811626e-12	-1.30540316838974	0.443	0.705	4.42717825620665e-07	Tmsb10	-0.262	C286-5	1.46899321963767e-11
8.45448015304938e-12	-1.01087173115365	0.914	0.925	4.84965890539219e-07	Calm2	-0.011	C286-5	2.38842703138777e-08
9.68555250620412e-12	-1.15708012764066	0.2	0.604	5.55582662860881e-07	Rpl13	-0.404	C286-5	1.3030406046866e-08
1.04679855613479e-11	-1.27685923010996	0.271	0.634	6.00464587770038e-07	Rpl19	-0.363	C286-5	1.34074175396263e-10
1.12287181329993e-11	-0.910209386255471	0.071	0.526	6.44101729545107e-07	Rpl39	-0.455	C286-5	0.000157690196653083
1.24671215416684e-11	-0.904593782181219	0.086	0.53	7.1513902587318e-07	Ndufb5	-0.444	C286-5	7.70339714376578e-05
1.27596248559722e-11	-1.73492154876773	0.5	0.709	7.31917600988277e-07	Rps8	-0.209	C286-5	1.19104113057612e-14
1.35643928447158e-11	-0.975485226222737	0.1	0.552	7.78080702358587e-07	Oxt	-0.452	C286-5	7.3917562815969e-06
1.55902883502092e-11	-0.992028727147565	0.071	0.519	8.94290120344698e-07	Rps5	-0.448	C286-5	4.86748749631243e-05
1.94630830728556e-11	-0.92685489783136	0.143	0.59	1.11644137122514e-06	Dad1	-0.447	C286-5	9.46752221359803e-07
1.95813008532181e-11	-1.08585468823013	0.486	0.716	1.1232225795423e-06	Cox8a	-0.23	C286-5	9.04684744832531e-09
2.03767103277303e-11	-1.81101317757039	0.186	0.623	1.16884885781926e-06	Cartpt	-0.437	C286-5	5.17714975882978e-10
2.52722811491847e-11	-0.929802232516007	0.1	0.549	1.44966859127953e-06	mt-Nd4	-0.449	C286-5	9.9528062250152e-06
2.99910146748708e-11	-0.980789528920083	0.186	0.59	1.72034458377994e-06	Rps28	-0.404	C286-5	9.47757074644698e-07
3.22391071693993e-11	-1.07095668286086	0.871	0.899	1.84929966545109e-06	Stmn3	-0.028	C286-5	9.27123577684267e-08
3.774991564591e-11	-1.25723981897485	0.357	0.672	2.16541066128069e-06	Aldoa	-0.315	C286-5	2.48004079106866e-10
