ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:1901566	organonitrogen compound biosynthetic process	58/142	204/1591	4.64636092664766e-19	5.16468943702119e-16	4.88169970695416e-16	Rpl11/Eif1/Rps20/Rpl37a/Rps16/Selenok/Rpl6/Fau/Rps27a/Rps3a1/Rps24/Ndufc2/Rpl28/Rps29/Rps28/Rpl21/Rpl38/Rpl13/Pgrmc1/Rpl9/Aldoa/Rps7/Atp5k/Rps5/Rpl8/Rpl32/Rpl39/Atp5g1/Rpl35a/Rpl37/Rpl37rt/Eef1b2/Mt3/Rps11/Rplp2/Gapdh/Rps3/Rps4x/Atp5h/Rpl18a/Atp5e/Itm2b/Rpl30/Dad1/Atp5g3/Itm2c/Rps8/Rpl23/Rpl26/Rpl41/Rpl36/Rps21/Atp5j/Rpl3/Rpl19/Rpsa/Rpl14/Rplp1	58
GO:0006412	translation	44/142	120/1591	6.42774043188698e-19	5.16468943702119e-16	4.88169970695416e-16	Rpl11/Eif1/Rps20/Rpl37a/Rps16/Rpl6/Fau/Rps27a/Rps3a1/Rps24/Rpl28/Rps29/Rps28/Rpl21/Rpl38/Rpl13/Rpl9/Rps7/Rps5/Rpl8/Rpl32/Rpl39/Rpl35a/Rpl37/Rpl37rt/Eef1b2/Rps11/Rplp2/Gapdh/Rps3/Rps4x/Rpl18a/Rpl30/Rps8/Rpl23/Rpl26/Rpl41/Rpl36/Rps21/Rpl3/Rpl19/Rpsa/Rpl14/Rplp1	44
GO:1901796	regulation of signal transduction by p53 class mediator	10/142	16/1591	1.19010332638534e-07	1.47115080423173e-05	1.39054178135551e-05	Rpl11/Rps20/Ubb/Rps7/Mif/Rpl37/Rpl37rt/Ddx5/Rpl23/Rpl26	10
GO:1902600	proton transmembrane transport	11/142	24/1591	1.77985467481084e-06	0.000149020423451563	0.000140855121370717	ND4/CYTB/Slc25a4/Ndufa4/Atp5k/Atp6v0c/Atp5g1/Atp5h/Atp5e/Atp5g3/Atp5j	11
GO:0042254	ribosome biogenesis	15/142	47/1591	5.43840701011015e-06	0.000364146669385292	0.000344193917350393	Rpl11/Rps16/Rpl6/Rps24/Rps28/Rpl38/Rps7/Rps5/Rpl35a/Rps8/Rpl26/Rps21/Rpl3/Rpsa/Rpl14	15
GO:0010257	NADH dehydrogenase complex assembly	11/142	28/1591	1.11639175579428e-05	0.000664459833911634	0.000628051970218771	ND1/ND2/ND4/Ndufa3/Ndufb11/Ndufc2/Ndufa5/Ndufc1/Ndufb5/Ndufb8/Ndufa11	11
GO:0032981	mitochondrial respiratory chain complex I assembly	11/142	28/1591	1.11639175579428e-05	0.000664459833911634	0.000628051970218771	ND1/ND2/ND4/Ndufa3/Ndufb11/Ndufc2/Ndufa5/Ndufc1/Ndufb5/Ndufb8/Ndufa11	11
GO:0031396	regulation of protein ubiquitination	11/142	34/1591	9.26270026495927e-05	0.00354408555375941	0.00334989385522211	Ppia/Rpl11/Ndfip1/Hsp90aa1/Hsp90ab1/Ubb/Rps7/Rpl37rt/Rps3/Rpl23/Hspa5	11
GO:0008219	cell death	40/142	258/1591	0.000111846437059939	0.00390733096424612	0.00369323589651011	Slc25a4/Ppia/Rpl11/Ahi1/Arl6ip1/Ndufa13/Selenok/Ywhah/Hsp90aa1/Hsp90ab1/Ubb/Hspa8/Rps3a1/Ndufc2/Rps29/Rps7/Hint1/Atp6v0c/Mif/Scg2/Fth1/Atp5g1/Chchd10/Mt3/Ddx5/Gapdh/Rps3/Avp/Nenf/Itm2b/Dad1/Pcp4/Itm2c/Bex2/Rpl26/Nsg1/Cst3/Zbtb16/Tpt1/Hspa5	40
GO:0006364	rRNA processing	10/142	33/1591	0.000360797481890623	0.00905939927184736	0.00856300602579225	Rpl11/Rps16/Rps24/Rps28/Rps7/Rpl35a/Rps8/Rpl26/Rps21/Rpl14	10
GO:0016072	rRNA metabolic process	10/142	33/1591	0.000360797481890623	0.00905939927184736	0.00856300602579225	Rpl11/Rps16/Rps24/Rps28/Rps7/Rpl35a/Rps8/Rpl26/Rps21/Rpl14	10
