reduction,mean_purity_knn,mean_entropy_knn_all,resolution,silhouette_score_cosine,mean_mixingNorm,silhouette_score_norm,mean_purity_knn_norm,mean_entropy_knn_all_norm,mean_mixingNorm_norm,mixing_score,purity_score,assay,ndim,features,method,features_ngenes
Raw_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.2500,0.49862891502577,0.209082830039526,3,0.281492058846459,0.812505966923789,85,72.64,10.07,38.14,24.105,72.64,RNA,50,RNA.log.vst.split_Batch_ID,Raw,2500
Raw_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.3000,0.480763002297292,0.201140607547712,3,0.280517562641547,0.805285461748909,85,67.42,8.41,34.4,21.405,67.42,RNA,50,RNA.log.vst.split_Batch_ID,Raw,3000
Raw_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.4000,0.465949421257571,0.182517426291293,3,0.291019798979091,0.786888796145224,88,63.09,4.51,24.88,14.695,63.09,RNA,50,RNA.log.vst.split_Batch_ID,Raw,4000
Raw_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.500,0.528670212765958,0.361421576408666,4.5,0.238743905618516,0.869890064964216,72,81.42,41.96,67.85,54.905,81.42,RNA,50,RNA.log.vst.split_Batch_ID,Raw,500
Raw_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.700,0.518025746855346,0.335234250551277,4.5,0.231630067441338,0.864243078573128,70,78.31,36.48,64.93,50.705,78.31,RNA,50,RNA.log.vst.split_Batch_ID,Raw,700
Raw_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.1000,0.544505208333334,0.300496351999655,3.5,0.258304825350772,0.855830100113723,78,86.05,29.21,60.57,44.89,86.05,RNA,60,RNA.log.vst.split_Batch_ID,Raw,1000
Raw_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.1500,0.552857380319149,0.249098938936599,3.5,0.266584084178164,0.840857581859783,81,88.49,18.45,52.82,35.635,88.49,RNA,60,RNA.log.vst.split_Batch_ID,Raw,1500
Raw_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.2000,0.566978058510639,0.220060237252295,3,0.265847929921086,0.829138301318959,80,92.61,12.37,46.75,29.56,92.61,RNA,60,RNA.log.vst.split_Batch_ID,Raw,2000
Raw_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.2500,0.542132646276596,0.209082830039526,3,0.294138179938583,0.816189199352882,89,85.35,10.07,40.05,25.06,85.35,RNA,60,RNA.log.vst.split_Batch_ID,Raw,2500
Raw_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.3000,0.515262287924152,0.190398600569515,3,0.291251348851394,0.808176172042447,88,77.5,6.16,35.9,21.03,77.5,RNA,60,RNA.log.vst.split_Batch_ID,Raw,3000
Raw_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.4000,0.495372763789192,0.174699235141149,3,0.297212799799914,0.791213171112138,90,71.69,2.87,27.12,14.995,71.69,RNA,60,RNA.log.vst.split_Batch_ID,Raw,4000
Raw_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.500,0.535972406914894,0.361530985107643,4,0.215821049874164,0.872859462836612,65,83.55,41.98,69.39,55.685,83.55,RNA,60,RNA.log.vst.split_Batch_ID,Raw,500
