gene,ensembl_gene_id,log2FoldChange,padj
Asb4,ENSMUSG00000042607,4.80543,0
Cartpt,ENSMUSG00000021647,5.50521,0
Npy1r,ENSMUSG00000036437,4.81558,0
Tbx3,ENSMUSG00000018604,4.58537,0
Ppp1r9a,ENSMUSG00000032827,2.38355,0
Serpina3n,ENSMUSG00000021091,4.44322,0
Prdm12,ENSMUSG00000079466,5.21626,0
Cited1,ENSMUSG00000051159,3.9851,0
Gm5152,ENSMUSG00000069355,9.91371,0
Tbx3os2,ENSMUSG00000086847,5.23847,0
Gal,ENSMUSG00000024907,3.31247,0
Cd44,ENSMUSG00000005087,3.66071,0
Irs4,ENSMUSG00000054667,2.81249,0
Gpx3,ENSMUSG00000018339,3.06047,0
Cd38,ENSMUSG00000029084,2.8191,0
Plagl1,ENSMUSG00000019817,3.50115,0
Cd24a,ENSMUSG00000047139,3.43523,0
Atg7,ENSMUSG00000030314,3.96782,0
Npy5r,ENSMUSG00000044014,4.14968,0
Hspb8,ENSMUSG00000041548,2.74489,0
Ddx46,ENSMUSG00000021500,1.76213,0
Vgf,ENSMUSG00000037428,3.57318,0
Radx,ENSMUSG00000042498,3.55593,0
Cacng5,ENSMUSG00000040373,2.56766,0
Pdyn,ENSMUSG00000027400,2.94889,0
Tmtc4,ENSMUSG00000041594,2.83351,0
Pcbp3,ENSMUSG00000001120,1.65952,0
Lepr,ENSMUSG00000057722,3.09895,0
Cbarp,ENSMUSG00000035640,1.63272,0
Fxyd6,ENSMUSG00000066705,1.14059,0
Cyb5r3,ENSMUSG00000018042,1.78231,0
Ptprn,ENSMUSG00000026204,2.19284,0
Tnfrsf11b,ENSMUSG00000063727,4.56652,0
Sptan1,ENSMUSG00000057738,-1.33598,0
Rnf128,ENSMUSG00000031438,3.01775,0
Spred3,ENSMUSG00000037239,1.38178,0
Cul3,ENSMUSG00000004364,2.47459,0
Prokr1,ENSMUSG00000049409,4.1025,0
Six3,ENSMUSG00000038805,1.7486,0
Stk32a,ENSMUSG00000039954,2.17965,0
Bclaf1,ENSMUSG00000037608,1.1178,0
Atp1a1,ENSMUSG00000033161,1.93907,0
Rnasek,ENSMUSG00000093989,1.95907,0
Chodl,ENSMUSG00000022860,2.80028,0
Prmt2,ENSMUSG00000020230,1.45447,0
Peg10,ENSMUSG00000092035,1.86458,0
Rps6,ENSMUSG00000028495,1.44737,0
Rpl41,ENSMUSG00000093674,2.13442,0
Mesd,ENSMUSG00000038503,1.39592,0
Gch1,ENSMUSG00000037580,3.57951,0
Acsl5,ENSMUSG00000024981,1.81993,0
Shisal2b,ENSMUSG00000042655,3.978,0
Cdh13,ENSMUSG00000031841,1.80815,0
Tmem59l,ENSMUSG00000035964,1.43061,0
Lbh,ENSMUSG00000024063,1.41014,0
Gabarap,ENSMUSG00000018567,1.14251,0
Procr,ENSMUSG00000027611,5.25015,0
Atp5md,ENSMUSG00000071528,1.59875,0
Resp18,ENSMUSG00000033061,1.79465,0
Nme2,ENSMUSG00000020857,1.98786,0
Stat3,ENSMUSG00000004040,1.86427,0
Isl1,ENSMUSG00000042258,1.5835,0
Ptpn5,ENSMUSG00000030854,0.96576,0
Tomm6,ENSMUSG00000033475,1.497,0
Cthrc1,ENSMUSG00000054196,1.98618,0
Araf,ENSMUSG00000001127,1.24229,0
Socs3,ENSMUSG00000053113,3.82652,0
Nr5a2,ENSMUSG00000026398,3.38439,0
Nptx2,ENSMUSG00000059991,2.45577,0
"",ENSMUSG00000097815,1.99319,0
Ndufa1,ENSMUSG00000016427,1.21076,0
Slc39a6,ENSMUSG00000024270,1.96846,0
Izumo4,ENSMUSG00000055862,1.86023,0
Pkib,ENSMUSG00000019876,1.88758,0
Hs2st1,ENSMUSG00000040151,1.71031,0
Capns1,ENSMUSG00000001794,1.26517,0
Tppp3,ENSMUSG00000014846,1.78617,0
Rpl23,ENSMUSG00000071415,1.54814,0
Nmur2,ENSMUSG00000037393,3.16405,0
Atf3,ENSMUSG00000026628,5.2562,0
Ostf1,ENSMUSG00000024725,2.4677,0
Fam107a,ENSMUSG00000021750,-1.22273,0
Fads1,ENSMUSG00000010663,-0.927,0
Cpne4,ENSMUSG00000032564,1.628,0
Uba52,ENSMUSG00000090137,1.14502,0
Scn9a,ENSMUSG00000075316,1.70059,0
Ube2e2,ENSMUSG00000058317,1.18495,0
Tpt1,ENSMUSG00000060126,1.18421,0
Thsd4,ENSMUSG00000032289,3.01107,0
Brs3,ENSMUSG00000031130,2.85586,0
Gm10076,ENSMUSG00000060143,2.40952,0
Aldh1a1,ENSMUSG00000053279,-1.42532,0
Ctsz,ENSMUSG00000016256,2.6136,0
Paqr8,ENSMUSG00000025931,-1.08898,0
Dgkb,ENSMUSG00000036095,-1.2447,0
S100a10,ENSMUSG00000041959,2.04377,0
Nop10,ENSMUSG00000027133,1.46066,0
Ecm1,ENSMUSG00000028108,3.98101,0
Rsph1,ENSMUSG00000024033,1.60042,0
Gaa,ENSMUSG00000025579,1.39212,0
Fuca2,ENSMUSG00000019810,1.22637,0
Ptges3,ENSMUSG00000071072,1.20003,0
Pcbd1,ENSMUSG00000020098,1.92042,0
Hspe1,ENSMUSG00000073676,1.40869,0
Il13ra1,ENSMUSG00000017057,2.19157,0
Mettl26,ENSMUSG00000025731,1.18063,0
BC029722,ENSMUSG00000074649,1.71467,0
Pfn1,ENSMUSG00000018293,1.09995,0
Prok2,ENSMUSG00000030069,4.01602,0
Msn,ENSMUSG00000031207,1.66929,0
Ptpro,ENSMUSG00000030223,1.94981,0
Bex3,ENSMUSG00000046432,1.19998,0
Celf3,ENSMUSG00000028137,1.17481,0
Tmsb10,ENSMUSG00000079523,1.47082,0
Anxa2,ENSMUSG00000032231,2.86081,0
Cox6a1,ENSMUSG00000041697,0.96381,0
Max,ENSMUSG00000059436,0.88675,0
Atp6v0b,ENSMUSG00000033379,1.09564,0
Dgkk,ENSMUSG00000062393,1.39455,0
Snurf,ENSMUSG00000102627,1.69997,0
Rpl7,ENSMUSG00000043716,1.23831,0
1700037H04Rik,ENSMUSG00000027327,1.25587,0
Cltb,ENSMUSG00000047547,0.87413,0
Rpl39,ENSMUSG00000079641,1.5501,0
Gm37416,ENSMUSG00000103865,2.92802,0
Galnt17,ENSMUSG00000034040,1.26894,0
Bex2,ENSMUSG00000042750,1.20892,0
