cluster_id,cluster_name,gene,avg_log2FC,p_val_adj,p_val_adj_negbinom,pct.1,pct.2,pct_diff,N_DEG
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Snhg11,0.612275524200385,1.90680348909374e-29,1.50184393840271e-19,1,1,0,120
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Meg3,0.564362208693259,5.83795238153937e-22,3.69541366486551e-07,1,1,0,85
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,mt-Rnr2,-1.66613729351673,2.06224864851466e-17,2.50535311134405e-18,0.3,0.84,-0.54,108
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Resp18,-1.98757040150526,1.58146871367957e-15,6.291213802129e-26,0.771,0.922,-0.151,92
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Pcsk1n,-1.96418162014718,1.92564579320604e-15,6.90577329255045e-27,0.943,0.989,-0.046,106
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Ly6h,-1.04338807462151,1.1922829716961e-14,2.07056236959407e-12,1,0.993,0.00700000000000001,91
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,mt-Cytb,-1.66591523547233,3.13047616608464e-14,1.47916762338877e-14,0.171,0.728,-0.557,82
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rpl41,-1.3138975577434,1.89032729081689e-13,2.36225151144632e-14,0.529,0.84,-0.311,69
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Caly,-1.56117500896971,2.18480680662871e-13,4.55366206582389e-18,0.729,0.866,-0.137,84
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rpl21,-1.54294973460462,3.28724702808121e-13,4.28252220904171e-15,0.271,0.746,-0.475,70
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Atp6v0c,-2.43910819008089,5.10195426545529e-13,3.69974106209735e-27,0.557,0.828,-0.271,94
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Scg2,-1.69669383353241,1.36490522378619e-11,1.02625786168567e-18,0.829,0.907,-0.0780000000000001,59
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rps21,-1.46136380630834,1.44337318741533e-11,2.04673658801471e-14,0.357,0.75,-0.393,73
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Bex2,-1.54270165111921,2.24657416862677e-11,3.12005800214823e-15,0.529,0.81,-0.281,61
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Bsg,-1.65703057437095,3.08508656149639e-11,1.15002788092175e-16,0.3,0.739,-0.439,86
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,CT010467.1,-2.45767171670813,4.92243852482624e-11,1.72627873699659e-30,0.957,0.966,-0.00900000000000001,95
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Itm2b,-1.33840452878934,5.02268783034548e-11,8.32151200882434e-13,0.443,0.802,-0.359,75
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Cst3,-1.7181270379457,1.8579750344499e-10,1.3574519111017e-17,0.514,0.776,-0.262,94
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rtn1,-1.64965404953017,3.17513391148374e-10,2.58937182291121e-18,0.943,0.974,-0.031,66
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rpl8,-1.20027874084463,9.56227517978584e-10,2.43448164963066e-10,0.2,0.679,-0.479,50
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rps29,-1.26091918457468,1.08298933764043e-09,2.94204512351812e-11,0.257,0.694,-0.437,70
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Hspa8,-1.49796307322335,1.87173029083475e-09,4.3499327316355e-12,0.171,0.631,-0.46,65
