gene,ensembl_gene_id,log2FoldChange,padj
Gnai3,ENSMUSG00000000001,-0.565157513742291,0.00110733896599264
Pbsn,ENSMUSG00000000003,,
Cdc45,ENSMUSG00000000028,0.948183167058806,0.223339034808811
H19,ENSMUSG00000000031,0.176421812169081,0.869952168197544
Scml2,ENSMUSG00000000037,0.172800466942155,0.793198824899334
Apoh,ENSMUSG00000000049,1.09774033462157,0.739168670234312
Narf,ENSMUSG00000000056,-0.933268756680861,2.17249842294118e-07
Cav2,ENSMUSG00000000058,-0.695007472457125,0.0240364480350165
Klf6,ENSMUSG00000000078,-0.286225612660214,0.331221731110455
Scmh1,ENSMUSG00000000085,0.327825122961269,0.128319716075656
Cox5a,ENSMUSG00000000088,0.19040392570933,0.10876378940765
Tbx2,ENSMUSG00000000093,-1.09598983382593,0.573063815122724
Tbx4,ENSMUSG00000000094,-2.38796985346863,
Zfy2,ENSMUSG00000000103,,
Ngfr,ENSMUSG00000000120,-1.79762681617202,0.269047887258985
Wnt3,ENSMUSG00000000125,-1.88255417680961,0.0354378807034092
Wnt9a,ENSMUSG00000000126,-1.40547590917168,0.125154371561127
Fer,ENSMUSG00000000127,-0.732000047951376,0.00450379821258426
Xpo6,ENSMUSG00000000131,-0.0569454975891082,0.777098280891402
Tfe3,ENSMUSG00000000134,0.700490948830048,0.0306811127103528
Axin2,ENSMUSG00000000142,-0.762432094664529,0.02843715545998
Brat1,ENSMUSG00000000148,-0.0308421369917463,0.962166875197627
Gna12,ENSMUSG00000000149,-0.371715261734814,0.140914636602339
Slc22a18,ENSMUSG00000000154,-2.32107901011272,0.212716592549387
Itgb2l,ENSMUSG00000000157,,
Igsf5,ENSMUSG00000000159,1.04152078479998,0.620478883655515
Pih1d2,ENSMUSG00000000167,-0.613207290527121,0.300900023931154
Dlat,ENSMUSG00000000168,0.201340207961961,0.120494491755459
Sdhd,ENSMUSG00000000171,0.43323883137273,3.39433730721108e-05
Fgf23,ENSMUSG00000000182,-1.89241636812133,0.023837849271552
Fgf6,ENSMUSG00000000183,0.421344769712176,
Ccnd2,ENSMUSG00000000184,-0.076728783197962,0.892571567008084
Gpr107,ENSMUSG00000000194,0.204768522941597,0.544665693877473
Nalcn,ENSMUSG00000000197,0.331140766148315,0.0606663568813702
Btbd17,ENSMUSG00000000202,-1.25371963273513,0.053475688032923
Slfn4,ENSMUSG00000000204,-3.40233584003382,
