gene,ensembl_gene_id,log2FoldChange,padj
Gnai3,ENSMUSG00000000001,-0.695678146570803,3.77088538646446e-11
Pbsn,ENSMUSG00000000003,,
Cdc45,ENSMUSG00000000028,0.339782595780756,0.301419544551761
H19,ENSMUSG00000000031,-2.81524223217575,0.00514674902419065
Scml2,ENSMUSG00000000037,-0.929347144125743,0.0509538315697067
Apoh,ENSMUSG00000000049,1.50614214997603,0.18158340473162
Narf,ENSMUSG00000000056,-0.0501078758553943,0.750225833673027
Cav2,ENSMUSG00000000058,-0.206789101553068,0.200477242987297
Klf6,ENSMUSG00000000078,-0.312364882029265,0.00772131106647414
Scmh1,ENSMUSG00000000085,-0.392883145688293,1.31879800812016e-06
Cox5a,ENSMUSG00000000088,1.07265707947268,1.32785214479438e-10
Tbx2,ENSMUSG00000000093,-2.52335393176418,0.0103168503937027
Tbx4,ENSMUSG00000000094,-2.82644892259812,
Zfy2,ENSMUSG00000000103,-1.09885232528501,
Ngfr,ENSMUSG00000000120,-0.256757365366112,0.355854862929655
Wnt3,ENSMUSG00000000125,0.0590535161543182,0.868331303451343
Wnt9a,ENSMUSG00000000126,0.427002281649737,0.363281308559732
Fer,ENSMUSG00000000127,-0.836400194625045,1.09335998617638e-16
Xpo6,ENSMUSG00000000131,0.362896272448054,1.65453125337874e-05
Tfe3,ENSMUSG00000000134,0.428132617110977,1.15975849415401e-05
Axin2,ENSMUSG00000000142,-0.133165874494929,0.261396299903137
Brat1,ENSMUSG00000000148,0.129633661651466,0.577971728891074
Gna12,ENSMUSG00000000149,-1.99313209764635,5.01290247195887e-51
Slc22a18,ENSMUSG00000000154,-0.788090476838273,0.269968104698704
Itgb2l,ENSMUSG00000000157,0.579414215996136,0.818254067287164
Igsf5,ENSMUSG00000000159,-0.208044977729897,0.892894507862476
Pih1d2,ENSMUSG00000000167,-0.0679778260561434,0.910476912065294
Dlat,ENSMUSG00000000168,0.575983776780807,9.55100437055668e-14
Sdhd,ENSMUSG00000000171,0.651950694007882,1.30433132229956e-06
Fgf23,ENSMUSG00000000182,-0.971572153385743,0.00482482618004521
Fgf6,ENSMUSG00000000183,1.93065263851048,
Ccnd2,ENSMUSG00000000184,-1.21803615765639,6.15942760328138e-07
Gpr107,ENSMUSG00000000194,0.156854127295186,0.188962562939169
Nalcn,ENSMUSG00000000197,0.622012326750778,3.06088738119514e-09
Btbd17,ENSMUSG00000000202,-0.136327285567061,0.700706981775792
Slfn4,ENSMUSG00000000204,,
Th,ENSMUSG00000000214,-0.739177789705058,0.0496095915507604
Ins2,ENSMUSG00000000215,-3.67038051112538,0.136762831939631
Scnn1g,ENSMUSG00000000216,-1.28711028767698,0.262247289239205
Drp2,ENSMUSG00000000223,-0.388170874458984,0.000642299807589206
Tspan32,ENSMUSG00000000244,-1.95597391212205,0.205871436865937
Lhx2,ENSMUSG00000000247,0.0260234998799076,0.945345230170767
Clec2g,ENSMUSG00000000248,1.51973479696343,
Gmpr,ENSMUSG00000000253,0.479268395189556,0.000650808836601744
Glra1,ENSMUSG00000000263,0.670941847152616,0.000812063341649164
Mid2,ENSMUSG00000000266,0.156357819891638,0.163144064521853
Trim25,ENSMUSG00000000275,-1.79978697326337,8.40700714358874e-19
Dgke,ENSMUSG00000000276,0.199392177635707,0.121222261330131
Scpep1,ENSMUSG00000000278,0.110652621808117,0.442467954707445
