gene,ensembl_gene_id,log2FoldChange,padj
Pomc,ENSMUSG00000020660,6.15425,0
Cul3,ENSMUSG00000004364,3.8142,2.12054021679303e-256
mt-Atp6,ENSMUSG00000064357,-4.57611,1.07364628719826e-178
Cartpt,ENSMUSG00000021647,3.25473,8.73299407893658e-154
Rn7sk,ENSMUSG00000065037,-2.96629,1.67929506135211e-121
Slc1a3,ENSMUSG00000005360,-2.2931,3.72038386057251e-96
Elp6,ENSMUSG00000054836,-3.12641,1.62255664248659e-92
Serpina3n,ENSMUSG00000021091,3.10314,6.11264173259155e-91
Tbx3,ENSMUSG00000018604,3.56202,1.56172450400364e-90
Asb4,ENSMUSG00000042607,2.75024,2.20894793237518e-90
mt-Nd4l,ENSMUSG00000065947,-3.26114,1.29948473509374e-89
Apoe,ENSMUSG00000002985,-2.31216,3.49208475555926e-87
Qk,ENSMUSG00000062078,-2.1693,1.96226278820093e-74
Olig1,ENSMUSG00000046160,-2.06648,5.04542109552633e-71
Plaat3,ENSMUSG00000060675,-2.37802,2.81525402259983e-70
Gpx3,ENSMUSG00000018339,1.80585,1.82862784495602e-69
Plagl1,ENSMUSG00000019817,2.45976,3.53549866686885e-69
mt-Nd5,ENSMUSG00000064367,-2.80927,3.49010360958237e-66
Zeb2,ENSMUSG00000026872,-2.41577,6.91136656207235e-61
Prdm12,ENSMUSG00000079466,3.82298,2.78784906218885e-60
Selenop,ENSMUSG00000064373,-1.99095,1.30036399789387e-59
Car2,ENSMUSG00000027562,-2.13884,3.79696509738596e-59
Pmch,ENSMUSG00000035383,-2.24034,1.1081016372437e-58
Aldh1a1,ENSMUSG00000053279,-1.96103,3.56639681749982e-57
Rn7s1,ENSMUSG00000099021,-2.37194,4.18601835647998e-56
Dbi,ENSMUSG00000026385,-1.85299,1.07698624658837e-55
Ednrb,ENSMUSG00000022122,-2.1997,2.01869608550771e-55
Myo6,ENSMUSG00000033577,-2.1269,7.05085290946443e-55
Sdc4,ENSMUSG00000017009,-1.96762,1.02479244472613e-54
Aqp4,ENSMUSG00000024411,-2.29956,1.78494512159421e-54
Ermn,ENSMUSG00000026830,-2.31153,2.83528401648856e-54
Plpp3,ENSMUSG00000028517,-2.05382,5.21526494655024e-54
Cited1,ENSMUSG00000051159,2.64202,1.16183615003348e-53
Slc4a4,ENSMUSG00000060961,-2.05997,2.43424611970888e-53
Itih3,ENSMUSG00000006522,-2.02563,1.16977109020007e-52
Glp1r,ENSMUSG00000024027,3.01328,1.53275606416505e-52
Atp1a2,ENSMUSG00000007097,-1.92902,2.11315929862828e-52
Epas1,ENSMUSG00000024140,-1.81292,2.60247520896143e-52
Ddx46,ENSMUSG00000021500,1.98337,1.48336780118869e-51
mt-Nd3,ENSMUSG00000064360,-3.23076,1.28321531394797e-49
Nfia,ENSMUSG00000028565,-1.7827,1.55810321769824e-49
Cryab,ENSMUSG00000032060,-1.79739,1.77123541868405e-48
Hepacam,ENSMUSG00000046240,-2.06529,1.77123541868405e-48
mt-Ts1,ENSMUSG00000064352,-3.34368,6.17983740658786e-47
Prex2,ENSMUSG00000048960,-1.89061,5.55280296297121e-46
Tmem229a,ENSMUSG00000048022,-1.96981,1.30675189196984e-45
Il33,ENSMUSG00000024810,-1.88439,2.05809898073643e-45
Ndrg2,ENSMUSG00000004558,-1.51261,1.45597339987324e-44
Sparc,ENSMUSG00000018593,-1.90283,9.22904142584556e-44
S100b,ENSMUSG00000033208,-2.09821,9.95199286126309e-44
Prok2,ENSMUSG00000030069,4.16132,2.12401156443021e-43
Slc1a2,ENSMUSG00000005089,-1.9483,3.3140560485805e-43
Acsbg1,ENSMUSG00000032281,-1.96101,2.30502117858331e-42
Cnp,ENSMUSG00000006782,-1.53677,3.88972465163558e-42
Hcrt,ENSMUSG00000045471,-2.41106,8.23792199456993e-42
Nwd1,ENSMUSG00000048148,-2.08689,1.03608662039855e-40
Gm28438,ENSMUSG00000101939,-3.24694,1.40031814675013e-39
2900052N01Rik,ENSMUSG00000099696,-2.1456,2.29890980764483e-39
Slc6a11,ENSMUSG00000030307,-1.70818,7.75892128556228e-39
Fam107a,ENSMUSG00000021750,-1.69575,3.39370363304585e-38
Npy1r,ENSMUSG00000036437,1.91178,3.54509006863206e-38
Glul,ENSMUSG00000026473,-1.35129,6.5642452291041e-38
Kcnj10,ENSMUSG00000044708,-1.81546,8.08324593143119e-38
Pdyn,ENSMUSG00000027400,1.95765,1.0634939221616e-37
mt-Nd4,ENSMUSG00000064363,-3.79913,1.26952759940647e-36
Gm9517,ENSMUSG00000104103,-2.18139,2.2924325175095e-36
Etnppl,ENSMUSG00000019232,-1.89661,2.84575350838748e-36
Fabp7,ENSMUSG00000019874,-1.81116,4.71778878337466e-36
Calb1,ENSMUSG00000028222,1.55225,7.83029891037653e-36
Slc7a11,ENSMUSG00000027737,-1.89947,8.26312520707322e-36
Vgf,ENSMUSG00000037428,1.95497,1.31356373480641e-35
Phgdh,ENSMUSG00000053398,-2.58896,1.34636279417089e-35
Gal,ENSMUSG00000024907,1.93057,4.65355755145948e-35
Efhd1,ENSMUSG00000026255,-2.50219,2.04393724668629e-34
Bcas1,ENSMUSG00000013523,-1.72077,2.58447555983583e-34
Zcchc24,ENSMUSG00000055538,-1.69228,2.85767417642165e-34
mt-Cytb,ENSMUSG00000064370,-3.96715,4.50293841477788e-34
Ntrk2,ENSMUSG00000055254,-1.36134,7.65639661256767e-34
Gng12,ENSMUSG00000036402,-1.58497,1.34213415189826e-33
Gm20721,ENSMUSG00000090625,1.41491,2.93975898790866e-33
Tril,ENSMUSG00000043496,-1.65791,9.00414266543078e-33
Gpm6b,ENSMUSG00000031342,-1.93404,1.39677886994949e-32
Sparcl1,ENSMUSG00000029309,-1.86195,1.72186093754788e-32
Slc39a6,ENSMUSG00000024270,1.55439,1.93245336181111e-32
Atg7,ENSMUSG00000030314,6.35057,2.28656083917859e-32
Fth1,ENSMUSG00000024661,-1.17814,3.86436745865863e-32
Mbp,ENSMUSG00000041607,-1.67209,1.55195168437081e-31
Trpm3,ENSMUSG00000052387,-1.53145,1.55195168437081e-31
Trps1,ENSMUSG00000038679,-1.4677,1.64328177999864e-31
Shisal2b,ENSMUSG00000042655,3.50714,9.64734399591798e-31
Hipk2,ENSMUSG00000061436,-1.18515,1.56634694874849e-30
Cd44,ENSMUSG00000005087,2.4176,4.57865052143916e-30
Bmpr1b,ENSMUSG00000052430,-2.20036,5.72011225041282e-30
Sfxn5,ENSMUSG00000033720,-1.33081,7.11029165367744e-30
Vcan,ENSMUSG00000021614,-2.51313,2.51021500308806e-29
Syt5,ENSMUSG00000004961,1.35317,2.79926918900082e-29
Fermt2,ENSMUSG00000037712,-1.46167,3.67655559365932e-29
Plekhh1,ENSMUSG00000060716,-1.58852,5.23889178430684e-29
