cluster_id,cluster_name,gene,avg_log2FC,p_val_adj,pct.1,pct.2,pct_diff
K169-10,Vip.Cd24a.Six6.HY1,Snhg11,-0.606030864434114,0.0000000000586588822840344,1,1,0
K240-4,Vip.Cd24a.Six6.HY1,Snhg11,-0.606030864434114,0.0000000000586588822840344,1,1,0
K169-10,Vip.Cd24a.Six6.HY1,mt-Rnr2,1.86663889402504,0.0000000980095423585495,0.716,0.216,0.5
K240-4,Vip.Cd24a.Six6.HY1,mt-Rnr2,1.86663889402504,0.0000000980095423585495,0.716,0.216,0.5
K169-10,Vip.Cd24a.Six6.HY1,Cst3,1.82289892052003,0.00000204773022440879,0.669,0.176,0.493
K240-4,Vip.Cd24a.Six6.HY1,Cst3,1.82289892052003,0.00000204773022440879,0.669,0.176,0.493
K169-10,Vip.Cd24a.Six6.HY1,Atp6v0c,2.29276539791571,0.0000340472506112514,0.757,0.451,0.306
K240-4,Vip.Cd24a.Six6.HY1,Atp6v0c,2.29276539791571,0.0000340472506112514,0.757,0.451,0.306
K169-10,Vip.Cd24a.Six6.HY1,Scg2,1.79157203252924,0.000150432862758355,0.804,0.471,0.333
K240-4,Vip.Cd24a.Six6.HY1,Scg2,1.79157203252924,0.000150432862758355,0.804,0.471,0.333
K169-10,Vip.Cd24a.Six6.HY1,Pcsk1n,1.76167632479977,0.000177664489355817,0.959,0.824,0.135
K240-4,Vip.Cd24a.Six6.HY1,Pcsk1n,1.76167632479977,0.000177664489355817,0.959,0.824,0.135
K169-10,Vip.Cd24a.Six6.HY1,Ly6h,1.09378532826702,0.000235232612328462,0.98,0.961,0.019
K240-4,Vip.Cd24a.Six6.HY1,Ly6h,1.09378532826702,0.000235232612328462,0.98,0.961,0.019
K169-10,Vip.Cd24a.Six6.HY1,Rpl21,1.37010168506035,0.00255115034537574,0.52,0.098,0.422
K240-4,Vip.Cd24a.Six6.HY1,Rpl21,1.37010168506035,0.00255115034537574,0.52,0.098,0.422
K169-10,Vip.Cd24a.Six6.HY1,Rplp1,1.3976822366994,0.00302601874231749,0.459,0.039,0.42
K240-4,Vip.Cd24a.Six6.HY1,Rplp1,1.3976822366994,0.00302601874231749,0.459,0.039,0.42
K169-10,Vip.Cd24a.Six6.HY1,Itm2b,1.40093909985319,0.00400698056283296,0.736,0.49,0.246
K240-4,Vip.Cd24a.Six6.HY1,Itm2b,1.40093909985319,0.00400698056283296,0.736,0.49,0.246
K169-10,Vip.Cd24a.Six6.HY1,Caly,1.46005139133301,0.00578519072372218,0.709,0.471,0.238
K240-4,Vip.Cd24a.Six6.HY1,Caly,1.46005139133301,0.00578519072372218,0.709,0.471,0.238
K169-10,Vip.Cd24a.Six6.HY1,Mecr,-0.690540583391508,0.00760804403875333,0.155,0.529,-0.374
K240-4,Vip.Cd24a.Six6.HY1,Mecr,-0.690540583391508,0.00760804403875333,0.155,0.529,-0.374
K169-5,Vipr2.Prokr2.Six6.HY1,Snhg11,-0.712372925396143,0.000036364785669845,0.987,1,-0.013
K240-5,Vipr2.Prokr2.Six6.HY1,Snhg11,-0.712372925396143,0.000036364785669845,0.987,1,-0.013
K169-5,Vipr2.Prokr2.Six6.HY1,Gm47283,1.64919729049467,0.00380271461506553,0.829,0.447,0.382
K240-5,Vipr2.Prokr2.Six6.HY1,Gm47283,1.64919729049467,0.00380271461506553,0.829,0.447,0.382
K169-85,Pax6.Nfix.St18.Arx.HY1,Snhg11,-0.751096423466496,1.64085705320789e-36,1,1,0
K240-93,Pax6.Nfix.St18.Arx.HY1,Snhg11,-0.751096423466496,1.64085705320789e-36,1,1,0
K329-82,Pax6.Nfix.St18.Arx.HY1,Snhg11,-0.751096423466496,1.64085705320789e-36,1,1,0
K169-85,Pax6.Nfix.St18.Arx.HY1,mt-Rnr2,1.82066811324226,1.0359887560945e-23,0.802,0.215,0.587
K240-93,Pax6.Nfix.St18.Arx.HY1,mt-Rnr2,1.82066811324226,1.0359887560945e-23,0.802,0.215,0.587
K329-82,Pax6.Nfix.St18.Arx.HY1,mt-Rnr2,1.82066811324226,1.0359887560945e-23,0.802,0.215,0.587
K169-85,Pax6.Nfix.St18.Arx.HY1,Pcsk1n,1.94970208416803,1.57725526404995e-18,0.956,0.804,0.152
K240-93,Pax6.Nfix.St18.Arx.HY1,Pcsk1n,1.94970208416803,1.57725526404995e-18,0.956,0.804,0.152
K329-82,Pax6.Nfix.St18.Arx.HY1,Pcsk1n,1.94970208416803,1.57725526404995e-18,0.956,0.804,0.152
K169-85,Pax6.Nfix.St18.Arx.HY1,Resp18,1.67858661099519,2.64809200547465e-16,0.837,0.589,0.248
K240-93,Pax6.Nfix.St18.Arx.HY1,Resp18,1.67858661099519,2.64809200547465e-16,0.837,0.589,0.248
K329-82,Pax6.Nfix.St18.Arx.HY1,Resp18,1.67858661099519,2.64809200547465e-16,0.837,0.589,0.248
K169-85,Pax6.Nfix.St18.Arx.HY1,Atp6v0c,2.69140574844407,1.03453691421593e-15,0.754,0.393,0.361
K240-93,Pax6.Nfix.St18.Arx.HY1,Atp6v0c,2.69140574844407,1.03453691421593e-15,0.754,0.393,0.361
K329-82,Pax6.Nfix.St18.Arx.HY1,Atp6v0c,2.69140574844407,1.03453691421593e-15,0.754,0.393,0.361
K169-85,Pax6.Nfix.St18.Arx.HY1,Ly6h,1.13422620816715,1.80053966832246e-15,0.98,0.907,0.073
K240-93,Pax6.Nfix.St18.Arx.HY1,Ly6h,1.13422620816715,1.80053966832246e-15,0.98,0.907,0.073
K329-82,Pax6.Nfix.St18.Arx.HY1,Ly6h,1.13422620816715,1.80053966832246e-15,0.98,0.907,0.073
K169-85,Pax6.Nfix.St18.Arx.HY1,Meg3,-0.519791314006694,1.71233373619114e-14,1,1,0
K240-93,Pax6.Nfix.St18.Arx.HY1,Meg3,-0.519791314006694,1.71233373619114e-14,1,1,0
K329-82,Pax6.Nfix.St18.Arx.HY1,Meg3,-0.519791314006694,1.71233373619114e-14,1,1,0
K169-85,Pax6.Nfix.St18.Arx.HY1,ENSMUSG00000106106,2.60173449775277,2.39429762545858e-14,0.952,0.86,0.092
