gene,ensembl_gene_id,log2FoldChange,padj
Gnai3,ENSMUSG00000000001,-0.35506,0.1010469
Cdc45,ENSMUSG00000000028,1.11602,0.1628744
Narf,ENSMUSG00000000056,-0.95666,0.0039566
Cav2,ENSMUSG00000000058,-0.74067,0.2897778
Klf6,ENSMUSG00000000078,-0.45996,0.0306196
Scmh1,ENSMUSG00000000085,-0.48131,0.0568091
Cox5a,ENSMUSG00000000088,0.95501,0.0007445
Ngfr,ENSMUSG00000000120,-2.55284,0.0221886
Fer,ENSMUSG00000000127,-0.86699,0.0220282
Xpo6,ENSMUSG00000000131,0.14804,0.3503517
Tfe3,ENSMUSG00000000134,0.52352,0.1139395
Axin2,ENSMUSG00000000142,-0.1512,0.7523485
Brat1,ENSMUSG00000000148,0.20256,0.7540146
Gna12,ENSMUSG00000000149,-0.94136,0.0017535
Pih1d2,ENSMUSG00000000167,-0.53388,0.5035161
Dlat,ENSMUSG00000000168,0.49145,0.0364726
Sdhd,ENSMUSG00000000171,0.79372,0.0019578
Fgf23,ENSMUSG00000000182,-1.12675,0.4479486
Ccnd2,ENSMUSG00000000184,0.30505,
Gpr107,ENSMUSG00000000194,0.48508,0.109175
Nalcn,ENSMUSG00000000197,-0.49777,0.1524608
Btbd17,ENSMUSG00000000202,-0.67166,0.6094773
Th,ENSMUSG00000000214,-1.4733,0.0000033
Drp2,ENSMUSG00000000223,-0.74865,0.00041
Lhx2,ENSMUSG00000000247,0.26713,0.5776022
Gmpr,ENSMUSG00000000253,0.5075,0.3944312
Glra1,ENSMUSG00000000263,-0.89265,0.2157417
Mid2,ENSMUSG00000000266,-0.2144,0.200235
Trim25,ENSMUSG00000000275,1.3661,0.0000085
Dgke,ENSMUSG00000000276,0.01049,0.977653
Scpep1,ENSMUSG00000000278,-0.11985,0.8189744
Mnt,ENSMUSG00000000282,0.48597,0.0147847
Hddc2,ENSMUSG00000000295,0.2296,0.4134046
Tpd52l1,ENSMUSG00000000296,0.47673,0.1437235
Ckmt1,ENSMUSG00000000308,-0.08948,0.7770596
Arvcf,ENSMUSG00000000325,-0.19985,0.2518855
Comt,ENSMUSG00000000326,0.29999,0.3172259
Rtca,ENSMUSG00000000339,0.81496,0.0028744
Dbt,ENSMUSG00000000340,-0.65562,0.0461233
Dazap2,ENSMUSG00000000346,-1.46653,0
Mcts1,ENSMUSG00000000355,0.65087,0.0723706
Trappc10,ENSMUSG00000000374,0.14647,0.7241521
Ccm2,ENSMUSG00000000378,0.84749,0.0039718
Tbrg4,ENSMUSG00000000384,0.22642,0.5501556
Ndufa9,ENSMUSG00000000399,0.36954,0.2602634
Egfl6,ENSMUSG00000000402,-1.69809,0.1117224
Lck,ENSMUSG00000000409,1.09683,0.0324102
Tssk3,ENSMUSG00000000411,-0.35088,0.8971113
Cttnbp2,ENSMUSG00000000416,-1.56234,0.001326
Galnt1,ENSMUSG00000000420,-0.32733,0.1880949
Mkrn2,ENSMUSG00000000439,0.44584,0.0418347
Raf1,ENSMUSG00000000441,-0.57588,0.0213263
Grasp,ENSMUSG00000000531,0.7724,0.2963897
Acvr1b,ENSMUSG00000000532,0.07201,0.8390282
Tom1l2,ENSMUSG00000000538,-0.6387,0.0000008
Zfp385a,ENSMUSG00000000552,-0.29706,0.3107529
Gabra2,ENSMUSG00000000560,-0.33421,0.2233282
Wdr77,ENSMUSG00000000561,0.86852,0.0055883
Atp5pb,ENSMUSG00000000563,0.27135,0.1486334
Sox9,ENSMUSG00000000567,-2.74143,0
Hnrnpd,ENSMUSG00000000568,-0.62745,0.0000102
Dynlt1c,ENSMUSG00000000579,0.44422,0.2463588
C1d,ENSMUSG00000000581,0.52517,0.0079918
Gm2a,ENSMUSG00000000594,-1.47916,0.0000438
Krit1,ENSMUSG00000000600,-0.35252,0.0795212
Clcn4,ENSMUSG00000000605,-0.79074,0.0718012
Sema4f,ENSMUSG00000000627,2.47239,0.0000002
Hk2,ENSMUSG00000000628,2.07505,0
Myo18a,ENSMUSG00000000631,-0.60572,0.0168092
Sez6,ENSMUSG00000000632,-0.75827,0.1898888
Loxl3,ENSMUSG00000000693,1.0114,
Kat2b,ENSMUSG00000000708,-2.04388,0
Rab5b,ENSMUSG00000000711,-0.35822,0.1016085
Icosl,ENSMUSG00000000732,-0.10821,0.9313579
Spg7,ENSMUSG00000000738,0.74796,0.0335374
Rpl13,ENSMUSG00000000740,1.33373,0
Chmp1a,ENSMUSG00000000743,1.03916,0.000003
Rpa1,ENSMUSG00000000751,-0.6401,0.0007043
Serpinf1,ENSMUSG00000000753,-1.32417,0.2118317
Tubgcp3,ENSMUSG00000000759,-0.35507,0.0599269
Oprm1,ENSMUSG00000000766,-0.10662,0.8710315
Polr3d,ENSMUSG00000000776,0.82166,0.0000156
Ddx3x,ENSMUSG00000000787,-0.32527,0.1593162
Slc5a5,ENSMUSG00000000792,-0.66013,0.2203408
Kcnn3,ENSMUSG00000000794,-0.17534,0.4202406
Usp32,ENSMUSG00000000804,-0.16871,0.3646288
