cluster_id,cluster_name,rbo_score,bacTRAP_signature
C286-176,C286-176: Serpina3n.Npy.Agrp.GABA-4,0.365176717477276,agrp
C286-177,C286-177: Acvr1c.Npy.Agrp.GABA-4,0.347380821335194,agrp
C286-178,C286-178: Lepr.Agrp.GABA-4,0.14023572153454,agrp
C286-179,C286-179: Ptprk.Npy.Sst.GABA-4,0.124574320486605,agrp
C286-180,C286-180: Sparc.Npy.Sst.GABA-4,0.102906143013003,agrp
C286-75,C286-75: Anxa2.Pomc.GLU-5,0.101231507530088,agrp
C286-196,C286-196: Nr5a2.Satb2.GABA-6,0.0922649474615004,agrp
C286-77,C286-77: Ttr.Pomc.GLU-5,0.0891982894909764,agrp
C286-148,C286-148: Nts.Crh.GABA-1,0.077461002658507,agrp
C286-162,C286-162: Sfrp1.Sox6.Lhx8.GABA-1,0.0737229349314143,agrp
C286-160,C286-160: Pou6f2.Sytl4.Tbx3.GABA-1,0.0704891520214577,agrp
C286-195,C286-195: Slc6a3.Satb2.GABA-6,0.0628922081430824,agrp
C286-130,C286-130: Tbx19.Il1rapl2.GABA-1,0.0603080142545847,agrp
C286-181,C286-181: Il1rapl2.Otp.Sst.GABA-4,0.0586082023556991,agrp
C286-159,C286-159: Crabp1.Sytl4.Tbx3.GABA-1,0.0558007455505997,agrp
C286-194,C286-194: Nfix.Satb2.GABA-6,0.0541387885883927,agrp
C286-119,C286-119: Etv1.Pmfbp1.Onecut2.GABA-2,0.0508542585514037,agrp
C286-184,C286-184: Nts.Sst.GABA-4,0.0507566347842519,agrp
C286-68,C286-68: Shisal2b.Lhx9.Mixed.GLU-4,0.0489526122627263,agrp
C286-158,C286-158: Vgll3.Tbx3.GABA-1,0.0484212737542251,agrp
C286-19,C286-19: Sst.Tent5a.GLU-2,0.0462083704860044,agrp
C286-183,C286-183: Gpr101.Otp.Sst.GABA-4,0.0458509116517108,agrp
C286-76,C286-76: Glipr1.Pomc.GLU-5,0.0450541434751388,agrp
C286-78,C286-78: Tac2.GLU-5,0.0421124170936176,agrp
C286-174,C286-174: Trh.Nkx2-4.GABA-3,0.0419232664789092,agrp
C286-169,C286-169: Gpr50.Nts.GABA-1,0.0415947744681647,agrp
C286-175,C286-175: Ghrh.GABA-3,0.0405795338165527,agrp
C286-10,C286-10: Ebf3.Nxph4.GLU-2,0.0402582915179225,agrp
C286-14,C286-14: Gsc.Ebf1.Trh.GLU-2,0.0364330146387618,agrp
C286-215,C286-215: Serpina3n.Itih3.Etnppl.Astrocytes,0.0342472986467758,agrp
C286-80,C286-80: Gpc3.Bace2.GLU-5,0.0341168207383608,agrp
C286-70,C286-70: Cped1.Mixed.GLU-4,0.033237726867082,agrp
C286-12,C286-12: Nostrin.Cbln2.Trh.GLU-2,0.0326545178755088,agrp
C286-131,C286-131: Satb1.Col6a1.Il1rapl2.GABA-1,0.0326282961510471,agrp
C286-187,C286-187: Satb1.Meis2.GABA-5,0.031434434357159,agrp
C286-182,C286-182: Th.Otp.Sst.GABA-4,0.0313610710218613,agrp
C286-18,C286-18: Ucn3.Trh.GLU-2,0.031277515882583,agrp
C286-221,C286-221: A2m.Gfap.Etnppl.Astrocytes,0.0305743621135837,agrp
C286-13,C286-13: Igfbpl1.Cbln2.Trh.GLU-2,0.0290978564952731,agrp
C286-224,C286-224: Gfap.Lgals3.Astrocytes,0.0285735333447761,agrp
C286-172,C286-172: Meis2.Nts.GABA-1,0.0281458625366676,agrp
C286-8,C286-8: Stk26.Nxph4.GLU-2,0.0269983253315111,agrp
C286-198,C286-198: Scn7a.Tanycytes,0.0246756477937459,agrp
C286-116,C286-116: Shisal2b.Onecut3.Onecut2.GABA-2,0.0232608193164126,agrp
C286-152,C286-152: Pbx3.Lhx6.GABA-1,0.0231749013024862,agrp
C286-141,C286-141: Barhl2.Lef1.GABA-1,0.0229166135403114,agrp
C286-20,C286-20: Crh.Tent5a.GLU-2,0.0227740295250126,agrp
C286-24,C286-24: Ucn3.Meis2.Samd3.GLU-2,0.0227588126579706,agrp
