name,description,description_link,signature_length,genes
Vip_Nov,Wen et al. SCN,https://www.nature.com/articles/s41593-020-0586-x,15,Vip;Nms;Npy6r;Sod3;Nov;Cebpa;Ctla2a;Creb3l1;Insl6;Rhpn2;Dusp4;D7Ertd443e;Itgb8;Flt3;Iqsec3
Vip_Grp,Wen et al. SCN,https://www.nature.com/articles/s41593-020-0586-x,5,Vip;Grp;Dsg2;Emp1;Pvrl3
Omp_Sim2,Possibly: olfactory?,"",8,Trh;Omp;Sall3;Ghrh;Mab21l2;Sim2;Gstm2;Traf3ip2
Fst_Fezf2,Not excatly in : Moffit et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6482113/,7,Fezf2;Il31ra;Fst;Samd3;Mab21l1;Tnfaip8;Gpsm3
Ttn_Foxb1,Not excatly in : Mickelsen et al. VPH,https://elifesciences.org/articles/58901,20,Foxb1;Ttn;Sall3;Asb2;Car7;Col19a1;Ccdc121;Ifit2;Tmem196;Tnc;Mapk12;Tcap;Mamdc2;Pygm;Hcn4;Rasgef1c;Glis2;Usp28;Myadml2;Robo2
Shox2_Gbx2,Moffit et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6482113/,14,Shox2;Tcf7l2;Gbx2;Nbl1;Ramp3;Gpr4;Slitrk6;Fbln1;Synpo2;Arsj;Nkd1;Edaradd;Hrk;Clmn
Gnrh1_Gng8,Moffit et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6482113/,20,A930003A15Rik;Arg1;Epcam;Fgd2;Gng8;Gnrh1;Rab25;Six1;Tstd1;Wfdc1;Tmem45b;Tmprss6;Pirt;Smim22;Fam92b;Lect1;Clic1;Meis1;Pde11a;Acbd7
Prph_Hdc,Mickelsen et al. VPH,https://elifesciences.org/articles/58901,20,Hdc;Prph;Barhl2;Tmem114;Otop3;Wnt2;Wif1;Slc35d3;Avil;Wnt9b;Tspan12;Gm8773;Slc26a4;Oas1d;Kremen1;Syk;Matn2;Lix1;Ism1;Cwh43
Pmch_Parpbp,Mickelsen et al. LHA,https://www.nature.com/articles/s41593-019-0349-8,11,Parpbp;Otx1;Mup6;Pmch;Fkbp11;Enpp2;Cd302;Tnfaip8;Nucb2;Cpxm2;Rcn1
Hcrt_Rfx4,Mickelsen et al. LHA,https://www.nature.com/articles/s41593-019-0349-8,20,Rfx4;Pter;Gm867;Pdyn;Car12;Hcrt;Vim;Mns1;Vgll2;Hspb3;Psmb8;Tmem106a;Kif26a;Igfbp3;Prrg4;Gast;Cdkl4;Tead1;Dtx3l;Gnb4
