name,description,description_link,signature_length,n_cells,marker_genes
Vip_Nov,Wen et al. SCN,https://www.nature.com/articles/s41593-020-0586-x,15,554,A930003A15Rik;Arg1;Epcam;Fgd2;Gng8;Gnrh1;Rab25;Six1;Tstd1;Wfdc1;Tmem45b;Tmprss6;Pirt;Smim22;Fam92b;Lect1;Clic1;Meis1;Pde11a;Acbd7
Vip_Grp,Wen et al. SCN,https://www.nature.com/articles/s41593-020-0586-x,5,511,Fezf2;Il31ra;Fst;Samd3;Mab21l1;Tnfaip8;Gpsm3
Omp_Sim2,Possibly: olfactory?,"",8,145,Slc18a3;Ngfr;Chat;Sln;Slc5a7;Ntrk1;Insrr;Ptgds;Chrnb3;Prima1;Npr1;Thsd4;Tpbgl;Gpx2;Xaf1;S100a4;Kctd6;Ahnak2;Zap70;Vwa7
Fst_Fezf2,Not excatly in : Moffit et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6482113/,7,210,Pomc;Ttr;Tbx3os1;Kcne1l;Tmem8c
Ttn_Foxb1,Not excatly in : Mickelsen et al. VPH,https://elifesciences.org/articles/58901,20,164,Sox14;Unc13c;Lef1;Krt73;Wif1;Bmp2;Kl;Rspo2;Bsx;Opcml
Shox2_Gbx2,Moffit et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6482113/,14,439,Foxb1;Ttn;Sall3;Asb2;Car7;Col19a1;Ccdc121;Ifit2;Tmem196;Tnc;Mapk12;Tcap;Mamdc2;Pygm;Hcn4;Rasgef1c;Glis2;Usp28;Myadml2;Robo2
Gnrh1_Gng8,Moffit et al.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6482113/,20,49,Sln;Ebf3;Ctxn3;Ebf2;Postn;Adgrd1;Eomes;Fam129a;Rbp7;Cxcl13;Pdlim3;Tmem182;Clec1a;Adprhl1;Zfp114;Col9a1;Wdfy2;Tank;Bhlhe40;Crispld2
Prph_Hdc,Mickelsen et al. VPH,https://elifesciences.org/articles/58901,20,169,Npw;Ebf1;Npy;Omp;9130206I24Rik;Nkx2-4;Rbp1;Foxd2;Mbnl3;4933403O08Rik;Esyt3;Lnx2
Pmch_Parpbp,Mickelsen et al. LHA,https://www.nature.com/articles/s41593-019-0349-8,11,173,Qrfp;Tm4sf4;Slc25a48;Rfx4;Fibcd1;Car8;Galnt15;Fam181a;Nek7;Ptpro
Hcrt_Rfx4,Mickelsen et al. LHA,https://www.nature.com/articles/s41593-019-0349-8,20,252,Ghrh;Slc18a3;Slc10a4;Chat;Scgn;Gsx1;Gm2990;Mbnl3;Colec12;Neb
Npw_Nkx24,Mickelsen et al. LHA,https://www.nature.com/articles/s41593-019-0349-8,12,49,Slc6a3;Sln;Th;Rxfp2;Coch;9130024F11Rik;Satb2;Aox3;Cgnl1;Scn7a;Trpm1;Tnfrsf11b;Sntg2;Glis3;Homer2;Man1a
