assay,method,mixing_score,purity_score,reduction,ndim,features_ngenes
scVI,scVI,64.175,79.4175,scVI_3_150_0.01_3_256_gene_zinb..scVI..60..features_RNA.log.vst.split_Batch_ID.features.1000_3b9e3ed8dac54bd9d04e434d74ffbb99,60,1000
scVI,scVI,65.645,77.6375,scVI_3_150_0.01_3_256_gene_zinb..scVI..60..features_RNA.log.vst.split_Batch_ID.features.750_3b9e3ed8dac54bd9d04e434d74ffbb99,60,750
scVI,scVI,66.27,77.815,scVI_3_150_0.01_3_256_gene_zinb..scVI..80..features_RNA.log.vst.split_Batch_ID.features.1000_8a71cab20d8ba5575858e56d9c6c5e95,80,1000
scVI,scVI,68.09,76.805,scVI_3_150_0.01_3_256_gene_zinb..scVI..80..features_RNA.log.vst.split_Batch_ID.features.750_8a71cab20d8ba5575858e56d9c6c5e95,80,750
scVI,scVI,60.155,82.59,scVI_4_150_0.01_2_128_gene_zinb..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_8046be1573ac37fa37bc3c5b56f6e65b,50,1000
scVI,scVI,60.845,79.3225,scVI_4_150_0.01_2_128_gene_zinb..scVI..50..features_RNA.log.vst.split_Batch_ID.features.750_8046be1573ac37fa37bc3c5b56f6e65b,50,750
scVI,scVI,62.97,74.295,scVI_4_150_0.01_2_128_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_8a71cab20d8ba5575858e56d9c6c5e95,90,1000
scVI,scVI,64.045,77.0675,scVI_4_150_0.01_2_128_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_8a71cab20d8ba5575858e56d9c6c5e95,90,750
scVI,scVI,60.69,83.1375,scVI_5_150_0.01_3_128_gene_zinb..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_8046be1573ac37fa37bc3c5b56f6e65b,50,1000
scVI,scVI,62.21,83.0625,scVI_5_150_0.01_3_128_gene_zinb..scVI..50..features_RNA.log.vst.split_Batch_ID.features.750_8046be1573ac37fa37bc3c5b56f6e65b,50,750
scVI,scVI,60.98,81.185,scVI_5_150_0.01_3_128_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_8a71cab20d8ba5575858e56d9c6c5e95,90,1000
scVI,scVI,64.48,80.785,scVI_5_150_0.01_3_128_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_8a71cab20d8ba5575858e56d9c6c5e95,90,750
scVI,scVI,59.395,83.3875,scVI_6_150_0.01_2_256_gene_zinb..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_8046be1573ac37fa37bc3c5b56f6e65b,50,1000
RNA,combat,66.4,41.475,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1000..30..e0758c66a6a70d30247817bce8502135,30,1000
RNA,combat,68.65,50.6325,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1000..50..e0758c66a6a70d30247817bce8502135,50,1000
RNA,combat,70.32,53.1075,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1000..60..e0758c66a6a70d30247817bce8502135,60,1000
RNA,combat,71.91,56.5375,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1000..80..e0758c66a6a70d30247817bce8502135,80,1000
RNA,combat,62.605,36.8025,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1500..30..e0758c66a6a70d30247817bce8502135,30,1500
RNA,combat,64.99,50.66,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1500..50..e0758c66a6a70d30247817bce8502135,50,1500
