cluster_id,cluster_name,clusterlevel,ncells,likely_region,pct_of_all
K4-1,HY1,K4,49327,,57.73
K4-2,HY2,K4,35162,,41.15
K4-3,Oxt,K4,919,,1.08
K4-4,Gnrh1,K4,43,,0.05
K14-1,Arx.HY1,K14,14593,,17.08
K14-11,Satb2.HY1,K14,1729,,2.02
K14-3,Hmx2.HY1,K14,12750,,14.92
K14-4,Six6.HY1,K14,8880,,10.39
K14-6,Otp.HY1,K14,5910,,6.92
K14-7,Tbx3.HY1,K14,5465,,6.4
K14-10,HY10.HY2,K14,3475,,4.07
K14-14,Gm5741.HY2,K14,25,,0.03
K14-2,Fezf1.HY2,K14,14142,,16.55
K14-5,Nrn1.HY2,K14,7995,,9.36
K14-8,Foxb1.HY2,K14,5000,,5.85
K14-9,Ppp1r1b.HY2,K14,4525,,5.3
K14-12,Oxt,K14,919,,1.08
K14-13,Gnrh1,K14,43,,0.05
K31-16,Lhx6.Arx.HY1,K31,2136,,2.5
K31-18,Lhx8.Arx.HY1,K31,1907,,2.23
K31-2,Gad2.Arx.HY1,K31,8773,,10.27
K31-20,St18.Arx.HY1,K31,1777,,2.08
K31-14,HY14.HY10.HY2,K31,2471,,2.89
K31-27,Rfx4.HY10.HY2,K31,622,,0.73
K31-28,Otx1.HY10.HY2,K31,382,,0.45
K31-19,Satb2.HY1,K31,1729,,2.02
K31-24,Oxt,K31,919,,1.08
K31-30,Gnrh1,K31,43,,0.05
K31-31,Gm5741.HY2,K31,25,,0.03
K31-13,Ifi27l2a.Fezf1.HY2,K31,2549,,2.98
K31-3,Cd40.Fezf1.HY2,K31,7334,,8.58
K31-7,Epha6.Fezf1.HY2,K31,4259,,4.98
K31-12,Six3.Hmx2.HY1,K31,2840,,3.32
K31-17,Gsx1.Hmx2.HY1,K31,2073,,2.43
K31-21,Lef1.Hmx2.HY1,K31,1684,,1.97
K31-25,Ppp1r17.Hmx2.HY1,K31,1060,,1.24
K31-4,Hmx3.Hmx2.HY1,K31,5093,,5.96
K31-1,Six6.HY1,K31,8880,,10.39
K31-29,Sst.Nrn1.HY2,K31,265,,0.31
K31-8,Tbr1.Nrn1.HY2,K31,3771,,4.41
K31-9,Sim1.Nrn1.HY2,K31,3959,,4.63
K31-11,Npy.Otp.HY1,K31,3554,,4.16
K31-15,Il1rapl2.Otp.HY1,K31,2356,,2.76
K31-22,Tac2.Tbx3.HY1,K31,959,,1.12
K31-5,Tcf7l2.Tbx3.HY1,K31,4506,,5.27
K31-26,Ebf3.Foxb1.HY2,K31,843,,0.99
K31-6,Pitx2.Foxb1.HY2,K31,4157,,4.86
K31-10,Crym.Ppp1r1b.HY2,K31,3616,,4.23
K31-23,Meis2.Ppp1r1b.HY2,K31,909,,1.06
K98-1,Prokr2.Six6.HY1,K98,2867,,3.36
K98-11,Cd24a.Six6.HY1,K98,1395,,1.63
K98-2,Nms.Six6.HY1,K98,2793,,3.27
K98-28,Vip.Six6.HY1,K98,980,,1.15
K98-57,Arx.Six6.HY1,K98,845,,0.99
K98-34,Adora2a.Crym.Ppp1r1b.HY2,K98,1015,,1.19
K98-56,Meis2.Crym.Ppp1r1b.HY2,K98,603,,0.71
K98-7,Tac1.Crym.Ppp1r1b.HY2,K98,1944,,2.27
K98-97,Crh.Crym.Ppp1r1b.HY2,K98,54,,0.06
K98-4,Agrp.Npy.Otp.HY1,K98,2625,,3.07
K98-60,Sox6.Npy.Otp.HY1,K98,661,,0.77
K98-85,Nts.Npy.Otp.HY1,K98,268,,0.31
K98-21,Nfib.Six3.Hmx2.HY1,K98,1929,,2.26
K98-46,Pthlh.Six3.Hmx2.HY1,K98,911,,1.07
K98-16,Slc17a8.Ifi27l2a.Fezf1.HY2,K98,1336,,1.56
K98-17,Foxp2.Ifi27l2a.Fezf1.HY2,K98,1213,,1.42
K98-27,Foxg1.HY14.HY10.HY2,K98,1166,,1.36
K98-50,Lef1.HY14.HY10.HY2,K98,780,,0.91
K98-81,Hk2.HY14.HY10.HY2,K98,297,,0.35
K98-87,Nrn1.HY14.HY10.HY2,K98,228,,0.27
K98-15,Sst.Il1rapl2.Otp.HY1,K98,1317,,1.54
K98-33,Bcl11b.Il1rapl2.Otp.HY1,K98,1039,,1.22
K98-14,Lhx8.Lhx6.Arx.HY1,K98,1512,,1.77
K98-78,Crh.Lhx6.Arx.HY1,K98,328,,0.38
K98-91,Ngfr.Lhx6.Arx.HY1,K98,151,,0.18
K98-92,Npy.Lhx6.Arx.HY1,K98,145,,0.17
K98-22,Ghrh.Gsx1.Hmx2.HY1,K98,1114,,1.3
K98-41,Nkx2-4.Gsx1.Hmx2.HY1,K98,959,,1.12
K98-43,Crh.Lhx8.Arx.HY1,K98,937,,1.1
K98-67,Serpinb1b.Lhx8.Arx.HY1,K98,551,,0.64
K98-72,Prox1.Lhx8.Arx.HY1,K98,419,,0.49
K98-19,Fam159b.Satb2.HY1,K98,1196,,1.4
K98-68,Nr5a2.Satb2.HY1,K98,533,,0.62
K98-23,Sp9.Gad2.Arx.HY1,K98,902,,1.06
K98-24,Meis2.Gad2.Arx.HY1,K98,1003,,1.17
K98-25,Nfix.Gad2.Arx.HY1,K98,1102,,1.29
K98-29,Onecut2.Gad2.Arx.HY1,K98,1211,,1.42
K98-31,Calca.Gad2.Arx.HY1,K98,1386,,1.62
K98-42,Crhbp.Gad2.Arx.HY1,K98,918,,1.07
K98-54,Sncg.Gad2.Arx.HY1,K98,667,,0.78
K98-58,Cplx1.Gad2.Arx.HY1,K98,636,,0.74
K98-75,Tac2.Gad2.Arx.HY1,K98,249,,0.29
K98-79,Skp1a.Gad2.Arx.HY1,K98,305,,0.36
K98-83,Crh.Gad2.Arx.HY1,K98,245,,0.29
K98-95,C1ql1.Gad2.Arx.HY1,K98,149,,0.17
K98-45,Nfix.St18.Arx.HY1,K98,854,,1
K98-61,Tmem215.St18.Arx.HY1,K98,643,,0.75
K98-93,Meis2.St18.Arx.HY1,K98,280,,0.33
K98-51,Sox14.Lef1.Hmx2.HY1,K98,657,,0.77
K98-69,Tmem114.Lef1.Hmx2.HY1,K98,647,,0.76
K98-77,Prph.Lef1.Hmx2.HY1,K98,380,,0.44
K98-40,Tac2.Tbx3.HY1,K98,959,,1.12
K98-44,Meis2.Ppp1r1b.HY2,K98,909,,1.06
K98-47,Oxt,K98,919,,1.08
K98-35,Ppp1r17.Hmx2.HY1,K98,1060,,1.24
K98-48,Ebf3.Foxb1.HY2,K98,843,,0.99
K98-74,Lhx9.Rfx4.HY10.HY2,K98,398,,0.47
K98-88,Hcrt.Rfx4.HY10.HY2,K98,224,,0.26
K98-76,Otx1.HY10.HY2,K98,382,,0.45
K98-86,Sst.Nrn1.HY2,K98,265,,0.31
K98-3,Nr5a1.Cd40.Fezf1.HY2,K98,2667,,3.12
K98-32,Gpr149.Cd40.Fezf1.HY2,K98,1150,,1.35
K98-52,Gldn.Cd40.Fezf1.HY2,K98,760,,0.89
