from,to,nchildren,height
all,K4-1,6,7
all,K4-2,6,7
all,K4-3,1,7
all,K4-4,1,7
K4-1,K14-1,4,6
K4-1,K14-3,5,6
K4-1,K14-7,2,6
K4-1,K14-6,2,6
K4-1,K14-4,1,6
K4-1,K14-11,1,6
K4-2,K14-5,3,6
K4-2,K14-10,3,6
K4-2,K14-2,3,6
K4-2,K14-9,2,6
K4-2,K14-8,2,6
K4-2,K14-14,1,6
K4-3,K14-12,1,6
K4-4,K14-13,1,6
K14-1,K31-2,12,5
K14-1,K31-20,3,5
K14-1,K31-16,4,5
K14-1,K31-18,3,5
K14-3,K31-21,3,5
K14-3,K31-4,7,5
K14-3,K31-17,2,5
K14-3,K31-12,2,5
K14-3,K31-25,1,5
K14-7,K31-5,4,5
K14-7,K31-22,1,5
K14-6,K31-11,3,5
K14-6,K31-15,2,5
K14-4,K31-1,5,5
K14-11,K31-19,2,5
K14-5,K31-9,5,5
K14-5,K31-8,7,5
K14-5,K31-29,1,5
K14-10,K31-27,2,5
K14-10,K31-14,4,5
K14-10,K31-28,1,5
K14-2,K31-3,6,5
K14-2,K31-7,3,5
K14-2,K31-13,2,5
K14-9,K31-10,4,5
K14-9,K31-23,1,5
K14-8,K31-6,4,5
K14-8,K31-26,1,5
K14-14,K31-31,1,5
K14-12,K31-24,1,5
K14-13,K31-30,1,5
K31-2,K98-95,1,4
K31-2,K98-54,1,4
K31-2,K98-23,3,4
K31-2,K98-29,2,4
K31-2,K98-42,1,4
K31-2,K98-25,2,4
K31-2,K98-31,3,4
K31-2,K98-58,1,4
K31-2,K98-24,2,4
K31-2,K98-79,1,4
K31-2,K98-75,1,4
K31-2,K98-83,1,4
K31-20,K98-45,2,4
K31-20,K98-61,1,4
K31-20,K98-93,1,4
K31-16,K98-14,3,4
K31-16,K98-92,1,4
K31-16,K98-91,1,4
K31-16,K98-78,1,4
K31-18,K98-67,2,4
K31-18,K98-43,3,4
K31-18,K98-72,2,4
K31-21,K98-77,1,4
K31-21,K98-51,1,4
K31-21,K98-69,2,4
K31-4,K98-64,1,4
K31-4,K98-36,2,4
K31-4,K98-84,1,4
K31-4,K98-62,2,4
K31-4,K98-55,1,4
K31-4,K98-26,2,4
K31-4,K98-66,1,4
K31-17,K98-22,1,4
K31-17,K98-41,2,4
K31-12,K98-21,3,4
K31-12,K98-46,2,4
K31-25,K98-35,2,4
K31-5,K98-8,2,4
K31-5,K98-9,1,4
K31-5,K98-12,2,4
K31-5,K98-59,1,4
K31-22,K98-40,1,4
K31-11,K98-4,3,4
K31-11,K98-60,1,4
K31-11,K98-85,1,4
K31-15,K98-15,2,4
K31-15,K98-33,2,4
K31-1,K98-57,2,4
K31-1,K98-1,4,4
K31-1,K98-2,3,4
K31-1,K98-28,1,4
K31-1,K98-11,2,4
K31-19,K98-68,1,4
K31-19,K98-19,2,4
K31-9,K98-37,1,4
K31-9,K98-38,2,4
K31-9,K98-20,3,4
K31-9,K98-63,2,4
K31-9,K98-94,1,4
K31-8,K98-49,2,4
K31-8,K98-65,2,4
K31-8,K98-70,2,4
K31-8,K98-39,2,4
K31-8,K98-82,1,4
K31-8,K98-90,1,4
K31-8,K98-80,1,4
K31-29,K98-86,2,4
K31-27,K98-74,2,4
K31-27,K98-88,1,4
K31-14,K98-27,3,4
K31-14,K98-50,1,4
K31-14,K98-87,1,4
K31-14,K98-81,1,4
K31-28,K98-76,2,4
K31-3,K98-3,3,4
K31-3,K98-32,3,4
K31-3,K98-73,1,4
K31-3,K98-6,2,4
K31-3,K98-52,2,4
K31-3,K98-71,1,4
K31-7,K98-5,4,4
K31-7,K98-18,2,4
K31-7,K98-53,2,4
K31-13,K98-17,2,4
K31-13,K98-16,2,4
K31-10,K98-7,3,4
K31-10,K98-34,2,4
K31-10,K98-56,2,4
K31-10,K98-97,1,4
K31-23,K98-44,1,4
K31-6,K98-30,2,4
K31-6,K98-13,2,4
K31-6,K98-10,2,4
K31-6,K98-96,1,4
K31-26,K98-48,1,4
K31-31,K98-99,1,4
K31-24,K98-47,2,4
K31-30,K98-98,1,4
K98-95,K169-153,2,3
K98-54,K169-54,2,3
K98-23,K169-97,2,3
K98-23,K169-148,1,3
K98-23,K169-156,1,3
K98-29,K169-33,2,3
K98-29,K169-87,2,3
K98-42,K169-20,2,3
K98-25,K169-49,3,3
K98-25,K169-126,1,3
K98-31,K169-74,1,3
K98-31,K169-41,2,3
K98-31,K169-146,1,3
K98-58,K169-55,1,3
K98-24,K169-71,3,3
K98-24,K169-84,1,3
K98-79,K169-117,3,3
K98-75,K169-129,1,3
K98-83,K169-77,1,3
K98-45,K169-85,1,3
K98-45,K169-103,2,3
K98-61,K169-56,1,3
K98-93,K169-124,1,3
K98-14,K169-118,1,3
K98-14,K169-63,2,3
K98-14,K169-59,2,3
K98-92,K169-155,1,3
K98-91,K169-152,1,3
K98-78,K169-115,1,3
K98-67,K169-122,1,3
K98-67,K169-131,1,3
K98-43,K169-78,2,3
K98-43,K169-98,1,3
K98-43,K169-162,1,3
K98-72,K169-114,1,3
K98-72,K169-158,1,3
K98-77,K169-107,2,3
K98-51,K169-48,1,3
K98-69,K169-73,1,3
K98-69,K169-119,1,3
K98-64,K169-60,2,3
K98-36,K169-94,1,3
K98-36,K169-38,1,3
K98-84,K169-125,1,3
K98-62,K169-92,2,3
K98-62,K169-134,1,3
K98-55,K169-37,3,3
K98-26,K169-14,3,3
K98-26,K169-140,1,3
K98-66,K169-99,1,3
K98-22,K169-6,1,3
K98-41,K169-44,1,3
K98-41,K169-128,1,3
K98-21,K169-39,1,3
K98-21,K169-17,1,3
K98-21,K169-116,1,3
