gene,cluster_id,cluster_name,parent_id,specificity,avg_log2FC,pct.1,pct.2,p_val_adj
Slc17a6,C7-1,C7-1: GLU,C2-1,26.25515583024,1.94335745571263,0.661,0.048,0
Cacna2d1,C7-1,C7-1: GLU,C2-1,4.51141028990109,1.76582978518856,0.791,0.309,0
Brinp3,C7-1,C7-1: GLU,C2-1,2.4514872493494,1.30398257944117,0.657,0.349,0
Adcyap1,C7-1,C7-1: GLU,C2-1,12.6715569596127,1.30140314720346,0.369,0.037,0
Tafa1,C7-1,C7-1: GLU,C2-1,3.24546586054407,1.14348019956993,0.385,0.135,0
Cbln1,C7-1,C7-1: GLU,C2-1,9.7483241912882,0.987172070003868,0.315,0.031,0
Tmem163,C7-1,C7-1: GLU,C2-1,5.56687499810968,0.93009213727631,0.406,0.067,0
Fezf1,C7-1,C7-1: GLU,C2-1,9.35378560517346,0.610029495989574,0.183,0.011,0
Gm2694,C7-1,C7-1: GLU,C2-1,4.54499006600245,0.558494542008776,0.235,0.028,0
Chst8,C7-1,C7-1: GLU,C2-1,3.48299656939589,0.446933188108322,0.225,0.028,0
Tenm2,C7-1,C7-1: GLU,C2-1,2.77684571711567,1.48098438246169,0.629,0.335,8.99424698137134e-303
Nxph4,C7-1,C7-1: GLU,C2-1,5.68757711924281,0.375594715421695,0.105,0.006,2.68708372965928e-285
Ntng1,C7-1,C7-1: GLU,C2-1,2.33370363315774,1.02738745603159,0.501,0.22,1.6249505917188e-268
Kcnq3,C7-1,C7-1: GLU,C2-1,2.03772250275282,0.877654468136609,0.468,0.201,2.05882150549327e-263
Rmst,C7-1,C7-1: GLU,C2-1,1.59883030211379,0.89192087665415,0.578,0.322,2.87881168143235e-224
Nkx2-1,C7-1,C7-1: GLU,C2-1,2.06217325333464,0.483817570974665,0.259,0.06,3.46347692943728e-223
Lrp1b,C7-1,C7-1: GLU,C2-1,2.14937693394201,1.28777324921525,0.695,0.416,1.18514542928466e-212
Rbfox1,C7-1,C7-1: GLU,C2-1,2.39499353194413,1.38121623284023,0.54,0.311,8.0075099588455e-208
