gene,ensembl_gene_id,log2FoldChange,padj
Oxt,ENSMUSG00000027301,4.70071,0
Avp,ENSMUSG00000037727,5.24193,0
mt-Nd2,ENSMUSG00000064345,-7.00112,0
mt-Atp8,ENSMUSG00000064356,-7.33159,0
mt-Atp6,ENSMUSG00000064357,-7.39091,0
mt-Nd6,ENSMUSG00000064368,-6.81738,0
mt-Cytb,ENSMUSG00000064370,-6.98038,0
Gm20721,ENSMUSG00000090625,5.46645,0
Cdr1,ENSMUSG00000090546,-4.5648,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000342925144339146
mt-Nd4,ENSMUSG00000064363,-6.76988,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000356637215002628
mt-Nd5,ENSMUSG00000064367,-6.19115,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000679679463473387
mt-Nd1,ENSMUSG00000064341,-6.27042,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000554065700055269
Ghrh,ENSMUSG00000027643,4.27904,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000242518666715548
Glp1r,ENSMUSG00000024027,4.6555,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000422724758889092
Fth1,ENSMUSG00000024661,-1.96298,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000172316125673521
Tmem88b,ENSMUSG00000073680,-2.90723,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000201726540583775
Sst,ENSMUSG00000004366,2.3479,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000468492901436101
Cartpt,ENSMUSG00000021647,2.52696,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000242725280660369
Nme7,ENSMUSG00000026575,-3.8375,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000621989509452337
mt-Co2,ENSMUSG00000064354,-6.68393,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000162298126952246
Nfia,ENSMUSG00000028565,-2.34919,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000472524576993641
Ankrd12,ENSMUSG00000034647,-1.85895,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000528340727341808
Gal,ENSMUSG00000024907,2.42746,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102746140219392
Trp53i11,ENSMUSG00000068735,1.81525,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000219707447046019
Snhg11,ENSMUSG00000044349,-3.73029,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000205995799749062
Pcsk1n,ENSMUSG00000039278,1.31416,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111861794215442
Sptbn1,ENSMUSG00000020315,-1.73581,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000540619732860037
Pclo,ENSMUSG00000061601,-1.932,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000154414079556515
Csrp1,ENSMUSG00000026421,-2.01153,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000372008522068723
Pmch,ENSMUSG00000035383,-2.56421,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000339416558809684
Macf1,ENSMUSG00000028649,-2.4286,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000235566821337836
Parm1,ENSMUSG00000034981,1.62123,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026711583435175
