gene,class,siteSet_name,pwm_name,total_pwms_in_gene,n_transcripts,pwms_per_transcript
Mrpl15,Background,MA0018.1,CREB1,3,1,3
Mrpl15,Background,MA0018.2,CREB1,6,1,6
Sgk3,Background,MA0018.1,CREB1,8,2,4
Sgk3,Background,MA0018.2,CREB1,12,2,6
Lmbrd1,Background,MA0018.1,CREB1,13,2,6.5
Lmbrd1,Background,MA0018.2,CREB1,23,2,11.5
Rab23,Background,MA0018.1,CREB1,2,1,2
Rab23,Background,MA0018.2,CREB1,4,1,4
Ankrd39,Background,MA0018.1,CREB1,2,1,2
Ankrd39,Background,MA0018.2,CREB1,9,1,9
Unc50,Background,MA0018.1,CREB1,6,1,6
Unc50,Background,MA0018.2,CREB1,11,1,11
Rnf149,Background,MA0018.1,CREB1,10,5,2
Rnf149,Background,MA0018.2,CREB1,28,5,5.6
Nck2,Background,MA0018.1,CREB1,11,3,3.66666666666667
Nck2,Background,MA0018.2,CREB1,21,3,7
Ankrd44,Background,MA0018.1,CREB1,4,1,4
Ankrd44,Background,MA0018.2,CREB1,7,1,7
Fzd7,Background,MA0018.1,CREB1,3,1,3
Fzd7,Background,MA0018.2,CREB1,5,1,5
Xrcc5,Background,MA0018.1,CREB1,4,1,4
Xrcc5,Background,MA0018.2,CREB1,10,1,10
Smarcal1,Background,MA0018.1,CREB1,3,2,1.5
Smarcal1,Background,MA0018.2,CREB1,7,2,3.5
Zfp142,Background,MA0018.1,CREB1,2,1,2
Zfp142,Background,MA0018.2,CREB1,5,1,5
Mrpl44,Background,MA0018.1,CREB1,2,1,2
Mrpl44,Background,MA0018.2,CREB1,3,1,3
Irs1,Background,MA0018.1,CREB1,11,3,3.66666666666667
Irs1,Background,MA0018.2,CREB1,15,3,5
4933407L21Rik,Background,MA0018.1,CREB1,3,1,3
4933407L21Rik,Background,MA0018.2,CREB1,5,1,5
Cops8,Background,MA0018.1,CREB1,6,1,6
Cops8,Background,MA0018.2,CREB1,6,1,6
Per2,IEGs,MA0018.1,CREB1,14,1,14
Per2,IEGs,MA0018.2,CREB1,13,1,13
Ndufa10,Background,MA0018.1,CREB1,10,2,5
Ndufa10,Background,MA0018.2,CREB1,13,2,6.5
Gpc1,Background,MA0018.1,CREB1,8,2,4
Gpc1,Background,MA0018.2,CREB1,14,2,7
Hdlbp,Background,MA0018.1,CREB1,17,5,3.4
Hdlbp,Background,MA0018.2,CREB1,38,5,7.6
9330185C12Rik,Background,MA0018.1,CREB1,2,1,2
