gene	class	siteSet_name	pwm_name	total_pwms_in_gene	n_transcripts	pwms_per_transcript
B3gat2	Background	MA0018.1	CREB1	4	1	4
Sdhaf4	Background	MA0018.1	CREB1	2	1	2
Col19a1	Background	MA0018.1	CREB1	1	1	1
Ccdc115	Background	MA0018.1	CREB1	4	1	4
Hs6st1	Background	MA0018.1	CREB1	7	2	3.5
Tmem131	Background	MA0018.1	CREB1	7	2	3.5
Slc9a2	Background	MA0018.1	CREB1	3	1	3
Pantr1	Background	MA0018.1	CREB1	6	4	1.5
Tex30	Background	MA0018.1	CREB1	8	1	8
Dnah7b	Background	MA0018.1	CREB1	1	1	1
Myo1b	Background	MA0018.1	CREB1	10	2	5
Osgepl1	Background	MA0018.1	CREB1	4	1	4
Sf3b1	Background	MA0018.1	CREB1	2	1	2
Fam126b	Background	MA0018.1	CREB1	4	1	4
Fzd7	Background	MA0018.1	CREB1	3	1	3
Vwc2l	Background	MA0018.1	CREB1	2	1	2
Marchf4	Background	MA0018.1	CREB1	6	2	3
Ctdsp1	Background	MA0018.1	CREB1	7	2	3.5
Bcs1l	Background	MA0018.1	CREB1	5	1	5
Tmem198	Background	MA0018.1	CREB1	11	1	11
Epha4	Background	MA0018.1	CREB1	2	1	2
Acsl3	Background	MA0018.1	CREB1	4	1	4
Daw1	Background	MA0018.1	CREB1	1	1	1
Fbxo36	Background	MA0018.1	CREB1	9	2	4.5
Usp40	Background	MA0018.1	CREB1	3	1	3
Per2	IEGs	MA0018.1	CREB1	14	1	14
Stk25	Background	MA0018.1	CREB1	12	1	12
Dtymk	Background	MA0018.1	CREB1	7	2	3.5
Pam	Background	MA0018.1	CREB1	6	4	1.5
Clasp1	Background	MA0018.1	CREB1	10	4	2.5
Dbi	Background	MA0018.1	CREB1	2	2	1
Lypd1	Background	MA0018.1	CREB1	5	3	1.66666666666667
Ikbke	IEGs	MA0018.1	CREB1	3	2	1.5
Mdm4	Background	MA0018.1	CREB1	2	2	1
Atp2b4	Background	MA0018.1	CREB1	5	2	2.5
Btg2	IEGs	MA0018.1	CREB1	7	1	7
Lgr6	Background	MA0018.1	CREB1	5	2	2.5
Glrx2	Background	MA0018.1	CREB1	9	3	3
Rgs2	IEGs	MA0018.1	CREB1	7	1	7
Rgs1	IEGs	MA0018.1	CREB1	2	1	2
Pla2g4a	Background	MA0018.1	CREB1	5	3	1.66666666666667
Ptgs2	IEGs	MA0018.1	CREB1	7	3	2.33333333333333
Edem3	Background	MA0018.1	CREB1	2	1	2
Ier5	IEGs	MA0018.1	CREB1	10	2	5
Ccdc190	Background	MA0018.1	CREB1	4	2	2
Kcnj10	Background	MA0018.1	CREB1	2	1	2
Tagln2	Background	MA0018.1	CREB1	14	4	3.5
Akt3	Background	MA0018.1	CREB1	8	1	8
Adss	Background	MA0018.1	CREB1	4	2	2
Cox20	Background	MA0018.1	CREB1	7	1	7
Hnrnpu	Background	MA0018.1	CREB1	14	7	2
Tmem63a	Background	MA0018.1	CREB1	10	3	3.33333333333333
Brox	Background	MA0018.1	CREB1	4	1	4
Taf1a	Background	MA0018.1	CREB1	2	1	2
Smyd2	Background	MA0018.1	CREB1	5	2	2.5
Atf3	IEGs	MA0018.1	CREB1	15	3	5
Gstp-ps	Background	MA0018.1	CREB1	1	1	1
Myct1	Background	MA0018.1	CREB1	1	1	1
Stxbp5	Background	MA0018.1	CREB1	1	1	1
Fbxo30	Background	MA0018.1	CREB1	7	1	7
Phactr2	Background	MA0018.1	CREB1	6	4	1.5
Vta1	Background	MA0018.1	CREB1	1	1	1
Tnfaip3	IEGs	MA0018.1	CREB1	20	6	3.33333333333333
Slc35d3	Background	MA0018.1	CREB1	6	1	6
Sgk1	IEGs	MA0018.1	CREB1	22	7	3.14285714285714
Gm48893	Background	MA0018.1	CREB1	3	1	3
Themis	Background	MA0018.1	CREB1	1	1	1
Ncoa7	IEGs	MA0018.1	CREB1	7	3	2.33333333333333
Clvs2	Background	MA0018.1	CREB1	3	1	3
Frk	Background	MA0018.1	CREB1	1	1	1
Rev3l	Background	MA0018.1	CREB1	4	1	4
Slc16a10	Background	MA0018.1	CREB1	1	1	1
